AGE|AGE_SPECIFIC_CI_LOWER|AGE_SPECIFIC_CI_UPPER|AGE_SPECIFIC_RATE|COUNT|EVENT_TYPE|POPULATION|SITE|YEAR
5-9|~|~|~|~|Mortality|20606460|Esophagus|1999
<1|~|~|~|~|Mortality|3795762|Esophagus|1999
1-4|~|~|~|~|Incidence|14328395|Esophagus|1999
10-14|~|~|~|~|Incidence|18868530|Esophagus|1999
15-19|~|~|~|~|Incidence|18711679|Esophagus|1999
5-9|~|~|~|~|Incidence|19255907|Esophagus|1999
<1|~|~|~|~|Incidence|3542217|Esophagus|1999
1-4|~|~|~|~|Mortality|7493614|Female Breast|1999
10-14|~|~|~|~|Mortality|9855664|Female Breast|1999
15-19|~|~|~|~|Mortality|9761569|Female Breast|1999
5-9|~|~|~|~|Mortality|10052618|Female Breast|1999
<1|~|~|~|~|Mortality|1852123|Female Breast|1999
1-4|~|~|~|~|Incidence|6999432|Female Breast|1999
10-14|~|~|~|~|Incidence|9199430|Female Breast|1999
15-19|~|~|~|~|Incidence|9092150|Female Breast|1999
5-9|~|~|~|~|Incidence|9393183|Female Breast|1999
<1|~|~|~|~|Incidence|1728420|Female Breast|1999
1-4|~|~|~|~|Incidence|6999432|Female Breast, <i>in situ</i>|1999
10-14|~|~|~|~|Incidence|9199430|Female Breast, <i>in situ</i>|1999
15-19|~|~|~|~|Incidence|9092150|Female Breast, <i>in situ</i>|1999
5-9|~|~|~|~|Incidence|9393183|Female Breast, <i>in situ</i>|1999
<1|~|~|~|~|Incidence|1728420|Female Breast, <i>in situ</i>|1999
1-4|~|~|~|~|Mortality|15339782|Hodgkin Lymphoma|1999
10-14|~|~|~|~|Mortality|20213364|Hodgkin Lymphoma|1999
15-19|0.1|0.2|0.2|31|Mortality|20084602|Hodgkin Lymphoma|1999
5-9|~|~|~|~|Mortality|20606460|Hodgkin Lymphoma|1999
<1|~|~|~|~|Mortality|3795762|Hodgkin Lymphoma|1999
1-4|~|~|~|~|Incidence|14328395|Hodgkin Lymphoma|1999
10-14|1.0|1.3|1.2|218|Incidence|18868530|Hodgkin Lymphoma|1999
15-19|2.9|3.4|3.1|585|Incidence|18711679|Hodgkin Lymphoma|1999
5-9|0.3|0.5|0.4|76|Incidence|19255907|Hodgkin Lymphoma|1999
<1|~|~|~|~|Incidence|3542217|Hodgkin Lymphoma|1999
1-4|.|.|.|.|Mortality|15339782|Kaposi Sarcoma|1999
10-14|.|.|.|.|Mortality|20213364|Kaposi Sarcoma|1999
15-19|.|.|.|.|Mortality|20084602|Kaposi Sarcoma|1999
5-9|.|.|.|.|Mortality|20606460|Kaposi Sarcoma|1999
<1|.|.|.|.|Mortality|3795762|Kaposi Sarcoma|1999
1-4|~|~|~|~|Incidence|14328395|Kaposi Sarcoma|1999
10-14|~|~|~|~|Incidence|18868530|Kaposi Sarcoma|1999
15-19|~|~|~|~|Incidence|18711679|Kaposi Sarcoma|1999
5-9|~|~|~|~|Incidence|19255907|Kaposi Sarcoma|1999
<1|~|~|~|~|Incidence|3542217|Kaposi Sarcoma|1999
1-4|0.1|0.2|0.1|19|Mortality|15339782|Kidney and Renal Pelvis|1999
10-14|~|~|~|~|Mortality|20213364|Kidney and Renal Pelvis|1999
15-19|~|~|~|~|Mortality|20084602|Kidney and Renal Pelvis|1999
5-9|0.1|0.2|0.1|23|Mortality|20606460|Kidney and Renal Pelvis|1999
<1|~|~|~|~|Mortality|3795762|Kidney and Renal Pelvis|1999
1-4|1.7|2.1|1.9|272|Incidence|14328395|Kidney and Renal Pelvis|1999
10-14|0.1|0.2|0.1|25|Incidence|18868530|Kidney and Renal Pelvis|1999
15-19|0.1|0.2|0.1|28|Incidence|18711679|Kidney and Renal Pelvis|1999
5-9|0.4|0.6|0.5|102|Incidence|19255907|Kidney and Renal Pelvis|1999
<1|1.5|2.4|1.9|68|Incidence|3542217|Kidney and Renal Pelvis|1999
1-4|~|~|~|~|Mortality|15339782|Larynx|1999
10-14|~|~|~|~|Mortality|20213364|Larynx|1999
15-19|~|~|~|~|Mortality|20084602|Larynx|1999
5-9|~|~|~|~|Mortality|20606460|Larynx|1999
<1|~|~|~|~|Mortality|3795762|Larynx|1999
1-4|~|~|~|~|Incidence|14328395|Larynx|1999
10-14|~|~|~|~|Incidence|18868530|Larynx|1999
15-19|~|~|~|~|Incidence|18711679|Larynx|1999
5-9|~|~|~|~|Incidence|19255907|Larynx|1999
<1|~|~|~|~|Incidence|3542217|Larynx|1999
1-4|0.6|0.9|0.8|119|Mortality|15339782|Leukemias|1999
10-14|0.7|1.0|0.9|175|Mortality|20213364|Leukemias|1999
15-19|1.0|1.3|1.1|221|Mortality|20084602|Leukemias|1999
5-9|0.5|0.7|0.6|130|Mortality|20606460|Leukemias|1999
<1|0.5|1.0|0.7|27|Mortality|3795762|Leukemias|1999
1-4|7.6|8.5|8.1|1156|Incidence|14328395|Leukemias|1999
10-14|2.6|3.1|2.9|543|Incidence|18868530|Leukemias|1999
15-19|2.5|3.0|2.7|506|Incidence|18711679|Leukemias|1999
5-9|3.4|4.0|3.7|712|Incidence|19255907|Leukemias|1999
<1|3.8|5.2|4.5|158|Incidence|3542217|Leukemias|1999
1-4|0.1|0.3|0.2|29|Mortality|15339782|Liver and Intrahepatic Bile Duct|1999
10-14|~|~|~|~|Mortality|20213364|Liver and Intrahepatic Bile Duct|1999
15-19|0.1|0.1|0.1|19|Mortality|20084602|Liver and Intrahepatic Bile Duct|1999
5-9|~|~|~|~|Mortality|20606460|Liver and Intrahepatic Bile Duct|1999
<1|~|~|~|~|Mortality|3795762|Liver and Intrahepatic Bile Duct|1999
1-4|0.4|0.6|0.5|66|Incidence|14328395|Liver and Intrahepatic Bile Duct|1999
10-14|0.1|0.2|0.1|18|Incidence|18868530|Liver and Intrahepatic Bile Duct|1999
15-19|0.1|0.3|0.2|35|Incidence|18711679|Liver and Intrahepatic Bile Duct|1999
5-9|~|~|~|~|Incidence|19255907|Liver and Intrahepatic Bile Duct|1999
<1|0.7|1.4|1.0|35|Incidence|3542217|Liver and Intrahepatic Bile Duct|1999
1-4|~|~|~|~|Mortality|15339782|Lung and Bronchus|1999
10-14|~|~|~|~|Mortality|20213364|Lung and Bronchus|1999
15-19|~|~|~|~|Mortality|20084602|Lung and Bronchus|1999
5-9|~|~|~|~|Mortality|20606460|Lung and Bronchus|1999
<1|~|~|~|~|Mortality|3795762|Lung and Bronchus|1999
1-4|~|~|~|~|Incidence|14328395|Lung and Bronchus|1999
10-14|~|~|~|~|Incidence|18868530|Lung and Bronchus|1999
15-19|0.1|0.2|0.2|29|Incidence|18711679|Lung and Bronchus|1999
5-9|~|~|~|~|Incidence|19255907|Lung and Bronchus|1999
<1|~|~|~|~|Incidence|3542217|Lung and Bronchus|1999
1-4|~|~|~|~|Mortality|7493614|Male and Female Breast|1999
10-14|~|~|~|~|Mortality|9855664|Male and Female Breast|1999
15-19|~|~|~|~|Mortality|9761569|Male and Female Breast|1999
5-9|~|~|~|~|Mortality|10052618|Male and Female Breast|1999
<1|~|~|~|~|Mortality|1852123|Male and Female Breast|1999
1-4|~|~|~|~|Incidence|6999432|Male and Female Breast|1999
10-14|~|~|~|~|Incidence|9199430|Male and Female Breast|1999
15-19|~|~|~|~|Incidence|9092150|Male and Female Breast|1999
5-9|~|~|~|~|Incidence|9393183|Male and Female Breast|1999
<1|~|~|~|~|Incidence|1728420|Male and Female Breast|1999
1-4|~|~|~|~|Incidence|6999432|Male and Female Breast, <i>in situ</i>|1999
10-14|~|~|~|~|Incidence|9199430|Male and Female Breast, <i>in situ</i>|1999
15-19|~|~|~|~|Incidence|9092150|Male and Female Breast, <i>in situ</i>|1999
5-9|~|~|~|~|Incidence|9393183|Male and Female Breast, <i>in situ</i>|1999
<1|~|~|~|~|Incidence|1728420|Male and Female Breast, <i>in situ</i>|1999
1-4|~|~|~|~|Mortality|15339782|Melanomas of the Skin|1999
10-14|~|~|~|~|Mortality|20213364|Melanomas of the Skin|1999
15-19|~|~|~|~|Mortality|20084602|Melanomas of the Skin|1999
5-9|~|~|~|~|Mortality|20606460|Melanomas of the Skin|1999
<1|~|~|~|~|Mortality|3795762|Melanomas of the Skin|1999
1-4|~|~|~|~|Incidence|14328395|Melanomas of the Skin|1999
10-14|0.2|0.4|0.3|61|Incidence|18868530|Melanomas of the Skin|1999
15-19|1.2|1.5|1.3|250|Incidence|18711679|Melanomas of the Skin|1999
5-9|~|~|~|~|Incidence|19255907|Melanomas of the Skin|1999
<1|~|~|~|~|Incidence|3542217|Melanomas of the Skin|1999
1-4|~|~|~|~|Mortality|15339782|Mesothelioma|1999
10-14|~|~|~|~|Mortality|20213364|Mesothelioma|1999
15-19|~|~|~|~|Mortality|20084602|Mesothelioma|1999
5-9|~|~|~|~|Mortality|20606460|Mesothelioma|1999
<1|~|~|~|~|Mortality|3795762|Mesothelioma|1999
1-4|~|~|~|~|Incidence|14328395|Mesothelioma|1999
10-14|~|~|~|~|Incidence|18868530|Mesothelioma|1999
15-19|~|~|~|~|Incidence|18711679|Mesothelioma|1999
5-9|~|~|~|~|Incidence|19255907|Mesothelioma|1999
<1|~|~|~|~|Incidence|3542217|Mesothelioma|1999
1-4|~|~|~|~|Mortality|15339782|Myeloma|1999
10-14|~|~|~|~|Mortality|20213364|Myeloma|1999
15-19|~|~|~|~|Mortality|20084602|Myeloma|1999
5-9|~|~|~|~|Mortality|20606460|Myeloma|1999
<1|~|~|~|~|Mortality|3795762|Myeloma|1999
1-4|~|~|~|~|Incidence|14328395|Myeloma|1999
10-14|~|~|~|~|Incidence|18868530|Myeloma|1999
15-19|~|~|~|~|Incidence|18711679|Myeloma|1999
5-9|~|~|~|~|Incidence|19255907|Myeloma|1999
<1|~|~|~|~|Incidence|3542217|Myeloma|1999
1-4|0.1|0.2|0.1|16|Mortality|15339782|Non-Hodgkin Lymphoma|1999
10-14|0.1|0.2|0.1|25|Mortality|20213364|Non-Hodgkin Lymphoma|1999
15-19|0.2|0.3|0.3|51|Mortality|20084602|Non-Hodgkin Lymphoma|1999
5-9|~|~|~|~|Mortality|20606460|Non-Hodgkin Lymphoma|1999
<1|~|~|~|~|Mortality|3795762|Non-Hodgkin Lymphoma|1999
1-4|0.6|0.9|0.7|102|Incidence|14328395|Non-Hodgkin Lymphoma|1999
10-14|1.1|1.4|1.2|228|Incidence|18868530|Non-Hodgkin Lymphoma|1999
15-19|1.4|1.8|1.6|296|Incidence|18711679|Non-Hodgkin Lymphoma|1999
5-9|0.7|1.0|0.9|165|Incidence|19255907|Non-Hodgkin Lymphoma|1999
<1|~|~|~|~|Incidence|3542217|Non-Hodgkin Lymphoma|1999
1-4|~|~|~|~|Mortality|15339782|Oral Cavity and Pharynx|1999
10-14|~|~|~|~|Mortality|20213364|Oral Cavity and Pharynx|1999
15-19|~|~|~|~|Mortality|20084602|Oral Cavity and Pharynx|1999
5-9|~|~|~|~|Mortality|20606460|Oral Cavity and Pharynx|1999
<1|~|~|~|~|Mortality|3795762|Oral Cavity and Pharynx|1999
1-4|~|~|~|~|Incidence|14328395|Oral Cavity and Pharynx|1999
10-14|0.2|0.4|0.3|52|Incidence|18868530|Oral Cavity and Pharynx|1999
15-19|0.3|0.5|0.4|68|Incidence|18711679|Oral Cavity and Pharynx|1999
5-9|0.1|0.1|0.1|17|Incidence|19255907|Oral Cavity and Pharynx|1999
<1|~|~|~|~|Incidence|3542217|Oral Cavity and Pharynx|1999
1-4|~|~|~|~|Mortality|7493614|Ovary|1999
10-14|~|~|~|~|Mortality|9855664|Ovary|1999
15-19|~|~|~|~|Mortality|9761569|Ovary|1999
5-9|~|~|~|~|Mortality|10052618|Ovary|1999
<1|~|~|~|~|Mortality|1852123|Ovary|1999
1-4|~|~|~|~|Incidence|6999432|Ovary|1999
10-14|0.5|0.9|0.7|64|Incidence|9199430|Ovary|1999
15-19|1.1|1.6|1.3|122|Incidence|9092150|Ovary|1999
5-9|0.1|0.3|0.2|16|Incidence|9393183|Ovary|1999
<1|~|~|~|~|Incidence|1728420|Ovary|1999
1-4|~|~|~|~|Mortality|15339782|Pancreas|1999
10-14|~|~|~|~|Mortality|20213364|Pancreas|1999
15-19|~|~|~|~|Mortality|20084602|Pancreas|1999
5-9|~|~|~|~|Mortality|20606460|Pancreas|1999
<1|~|~|~|~|Mortality|3795762|Pancreas|1999
1-4|~|~|~|~|Incidence|14328395|Pancreas|1999
10-14|~|~|~|~|Incidence|18868530|Pancreas|1999
15-19|~|~|~|~|Incidence|18711679|Pancreas|1999
5-9|~|~|~|~|Incidence|19255907|Pancreas|1999
<1|~|~|~|~|Incidence|3542217|Pancreas|1999
1-4|~|~|~|~|Mortality|7846168|Prostate|1999
10-14|~|~|~|~|Mortality|10357700|Prostate|1999
15-19|~|~|~|~|Mortality|10323033|Prostate|1999
5-9|~|~|~|~|Mortality|10553842|Prostate|1999
<1|~|~|~|~|Mortality|1943639|Prostate|1999
1-4|~|~|~|~|Incidence|7328963|Prostate|1999
10-14|~|~|~|~|Incidence|9669100|Prostate|1999
15-19|~|~|~|~|Incidence|9619529|Prostate|1999
5-9|~|~|~|~|Incidence|9862724|Prostate|1999
<1|~|~|~|~|Incidence|1813797|Prostate|1999
1-4|~|~|~|~|Mortality|15339782|Stomach|1999
10-14|~|~|~|~|Mortality|20213364|Stomach|1999
15-19|~|~|~|~|Mortality|20084602|Stomach|1999
5-9|~|~|~|~|Mortality|20606460|Stomach|1999
<1|~|~|~|~|Mortality|3795762|Stomach|1999
1-4|~|~|~|~|Incidence|14328395|Stomach|1999
10-14|~|~|~|~|Incidence|18868530|Stomach|1999
15-19|~|~|~|~|Incidence|18711679|Stomach|1999
5-9|~|~|~|~|Incidence|19255907|Stomach|1999
<1|~|~|~|~|Incidence|3542217|Stomach|1999
1-4|~|~|~|~|Mortality|7846168|Testis|1999
10-14|~|~|~|~|Mortality|10357700|Testis|1999
15-19|~|~|~|~|Mortality|10323033|Testis|1999
5-9|~|~|~|~|Mortality|10553842|Testis|1999
<1|~|~|~|~|Mortality|1943639|Testis|1999
1-4|0.2|0.5|0.4|26|Incidence|7328963|Testis|1999
10-14|~|~|~|~|Incidence|9669100|Testis|1999
15-19|3.0|3.7|3.3|319|Incidence|9619529|Testis|1999
5-9|~|~|~|~|Incidence|9862724|Testis|1999
<1|0.7|1.7|1.1|20|Incidence|1813797|Testis|1999
1-4|~|~|~|~|Mortality|15339782|Thyroid|1999
10-14|~|~|~|~|Mortality|20213364|Thyroid|1999
15-19|~|~|~|~|Mortality|20084602|Thyroid|1999
5-9|~|~|~|~|Mortality|20606460|Thyroid|1999
<1|~|~|~|~|Mortality|3795762|Thyroid|1999
1-4|~|~|~|~|Incidence|14328395|Thyroid|1999
10-14|0.3|0.5|0.4|71|Incidence|18868530|Thyroid|1999
15-19|1.6|2.0|1.8|335|Incidence|18711679|Thyroid|1999
5-9|0.1|0.2|0.2|32|Incidence|19255907|Thyroid|1999
<1|~|~|~|~|Incidence|3542217|Thyroid|1999
1-4|~|~|~|~|Mortality|15339782|Urinary Bladder|1999
10-14|~|~|~|~|Mortality|20213364|Urinary Bladder|1999
15-19|~|~|~|~|Mortality|20084602|Urinary Bladder|1999
5-9|~|~|~|~|Mortality|20606460|Urinary Bladder|1999
<1|~|~|~|~|Mortality|3795762|Urinary Bladder|1999
1-4|~|~|~|~|Incidence|14328395|Urinary Bladder|1999
10-14|~|~|~|~|Incidence|18868530|Urinary Bladder|1999
15-19|0.1|0.2|0.1|21|Incidence|18711679|Urinary Bladder|1999
5-9|~|~|~|~|Incidence|19255907|Urinary Bladder|1999
<1|~|~|~|~|Incidence|3542217|Urinary Bladder|1999
1-4|2.5|3.0|2.7|420|Mortality|15322337|All Cancer Sites Combined|2000
10-14|2.3|2.8|2.5|525|Mortality|20637696|All Cancer Sites Combined|2000
15-19|3.4|3.9|3.7|745|Mortality|20294955|All Cancer Sites Combined|2000
5-9|2.2|2.6|2.4|489|Mortality|20463852|All Cancer Sites Combined|2000
<1|1.9|2.9|2.4|92|Mortality|3855956|All Cancer Sites Combined|2000
1-4|19.9|21.4|20.7|2959|Incidence|14307286|All Cancer Sites Combined|2000
10-14|12.0|13.0|12.5|2402|Incidence|19268598|All Cancer Sites Combined|2000
15-19|20.0|21.3|20.6|3905|Incidence|18916654|All Cancer Sites Combined|2000
5-9|11.2|12.2|11.7|2230|Incidence|19120872|All Cancer Sites Combined|2000
<1|22.2|25.4|23.7|854|Incidence|3597900|All Cancer Sites Combined|2000
1-4|0.6|0.8|0.7|104|Mortality|15322337|Brain and Other Nervous System|2000
10-14|0.6|0.9|0.7|150|Mortality|20637696|Brain and Other Nervous System|2000
15-19|0.4|0.6|0.5|105|Mortality|20294955|Brain and Other Nervous System|2000
5-9|0.7|0.9|0.8|166|Mortality|20463852|Brain and Other Nervous System|2000
<1|0.3|0.8|0.5|20|Mortality|3855956|Brain and Other Nervous System|2000
1-4|3.8|4.5|4.2|594|Incidence|14307286|Brain and Other Nervous System|2000
10-14|2.6|3.0|2.8|536|Incidence|19268598|Brain and Other Nervous System|2000
15-19|2.0|2.4|2.2|421|Incidence|18916654|Brain and Other Nervous System|2000
5-9|3.2|3.7|3.4|655|Incidence|19120872|Brain and Other Nervous System|2000
<1|3.5|4.8|4.1|148|Incidence|3597900|Brain and Other Nervous System|2000
1-4|~|~|~|~|Mortality|7485852|Cervix|2000
10-14|~|~|~|~|Mortality|10063054|Cervix|2000
15-19|~|~|~|~|Mortality|9854932|Cervix|2000
5-9|~|~|~|~|Mortality|9984495|Cervix|2000
<1|~|~|~|~|Mortality|1881822|Cervix|2000
1-4|~|~|~|~|Incidence|6989803|Cervix|2000
10-14|~|~|~|~|Incidence|9394953|Cervix|2000
15-19|0.2|0.4|0.3|23|Incidence|9183440|Cervix|2000
5-9|~|~|~|~|Incidence|9328742|Cervix|2000
<1|~|~|~|~|Incidence|1755943|Cervix|2000
1-4|~|~|~|~|Mortality|15322337|Colon and Rectum|2000
10-14|~|~|~|~|Mortality|20637696|Colon and Rectum|2000
15-19|~|~|~|~|Mortality|20294955|Colon and Rectum|2000
5-9|~|~|~|~|Mortality|20463852|Colon and Rectum|2000
<1|~|~|~|~|Mortality|3855956|Colon and Rectum|2000
1-4|~|~|~|~|Incidence|14307286|Colon and Rectum|2000
10-14|~|~|~|~|Incidence|19268598|Colon and Rectum|2000
15-19|0.2|0.4|0.3|51|Incidence|18916654|Colon and Rectum|2000
5-9|~|~|~|~|Incidence|19120872|Colon and Rectum|2000
<1|~|~|~|~|Incidence|3597900|Colon and Rectum|2000
1-4|~|~|~|~|Mortality|7485852|Corpus and Uterus, NOS|2000
10-14|~|~|~|~|Mortality|10063054|Corpus and Uterus, NOS|2000
15-19|~|~|~|~|Mortality|9854932|Corpus and Uterus, NOS|2000
5-9|~|~|~|~|Mortality|9984495|Corpus and Uterus, NOS|2000
<1|~|~|~|~|Mortality|1881822|Corpus and Uterus, NOS|2000
1-4|~|~|~|~|Incidence|6989803|Corpus and Uterus, NOS|2000
10-14|~|~|~|~|Incidence|9394953|Corpus and Uterus, NOS|2000
15-19|~|~|~|~|Incidence|9183440|Corpus and Uterus, NOS|2000
5-9|~|~|~|~|Incidence|9328742|Corpus and Uterus, NOS|2000
<1|~|~|~|~|Incidence|1755943|Corpus and Uterus, NOS|2000
1-4|~|~|~|~|Mortality|15322337|Esophagus|2000
10-14|~|~|~|~|Mortality|20637696|Esophagus|2000
15-19|~|~|~|~|Mortality|20294955|Esophagus|2000
5-9|~|~|~|~|Mortality|20463852|Esophagus|2000
<1|~|~|~|~|Mortality|3855956|Esophagus|2000
1-4|~|~|~|~|Incidence|14307286|Esophagus|2000
10-14|~|~|~|~|Incidence|19268598|Esophagus|2000
15-19|~|~|~|~|Incidence|18916654|Esophagus|2000
5-9|~|~|~|~|Incidence|19120872|Esophagus|2000
<1|~|~|~|~|Incidence|3597900|Esophagus|2000
1-4|~|~|~|~|Mortality|7485852|Female Breast|2000
10-14|~|~|~|~|Mortality|10063054|Female Breast|2000
15-19|~|~|~|~|Mortality|9854932|Female Breast|2000
5-9|~|~|~|~|Mortality|9984495|Female Breast|2000
<1|~|~|~|~|Mortality|1881822|Female Breast|2000
1-4|~|~|~|~|Incidence|6989803|Female Breast|2000
10-14|~|~|~|~|Incidence|9394953|Female Breast|2000
15-19|~|~|~|~|Incidence|9183440|Female Breast|2000
5-9|~|~|~|~|Incidence|9328742|Female Breast|2000
<1|~|~|~|~|Incidence|1755943|Female Breast|2000
1-4|~|~|~|~|Incidence|6989803|Female Breast, <i>in situ</i>|2000
10-14|~|~|~|~|Incidence|9394953|Female Breast, <i>in situ</i>|2000
15-19|~|~|~|~|Incidence|9183440|Female Breast, <i>in situ</i>|2000
5-9|~|~|~|~|Incidence|9328742|Female Breast, <i>in situ</i>|2000
<1|~|~|~|~|Incidence|1755943|Female Breast, <i>in situ</i>|2000
1-4|~|~|~|~|Mortality|15322337|Hodgkin Lymphoma|2000
10-14|~|~|~|~|Mortality|20637696|Hodgkin Lymphoma|2000
15-19|0.1|0.2|0.1|21|Mortality|20294955|Hodgkin Lymphoma|2000
5-9|~|~|~|~|Mortality|20463852|Hodgkin Lymphoma|2000
<1|~|~|~|~|Mortality|3855956|Hodgkin Lymphoma|2000
1-4|0.1|0.2|0.1|16|Incidence|14307286|Hodgkin Lymphoma|2000
10-14|1.1|1.5|1.3|247|Incidence|19268598|Hodgkin Lymphoma|2000
15-19|2.9|3.4|3.1|595|Incidence|18916654|Hodgkin Lymphoma|2000
5-9|0.3|0.5|0.4|70|Incidence|19120872|Hodgkin Lymphoma|2000
<1|~|~|~|~|Incidence|3597900|Hodgkin Lymphoma|2000
1-4|.|.|.|.|Mortality|15322337|Kaposi Sarcoma|2000
10-14|.|.|.|.|Mortality|20637696|Kaposi Sarcoma|2000
15-19|.|.|.|.|Mortality|20294955|Kaposi Sarcoma|2000
5-9|.|.|.|.|Mortality|20463852|Kaposi Sarcoma|2000
<1|.|.|.|.|Mortality|3855956|Kaposi Sarcoma|2000
1-4|~|~|~|~|Incidence|14307286|Kaposi Sarcoma|2000
10-14|~|~|~|~|Incidence|19268598|Kaposi Sarcoma|2000
15-19|~|~|~|~|Incidence|18916654|Kaposi Sarcoma|2000
5-9|~|~|~|~|Incidence|19120872|Kaposi Sarcoma|2000
<1|~|~|~|~|Incidence|3597900|Kaposi Sarcoma|2000
1-4|~|~|~|~|Mortality|15322337|Kidney and Renal Pelvis|2000
10-14|~|~|~|~|Mortality|20637696|Kidney and Renal Pelvis|2000
15-19|~|~|~|~|Mortality|20294955|Kidney and Renal Pelvis|2000
5-9|0.1|0.2|0.1|21|Mortality|20463852|Kidney and Renal Pelvis|2000
<1|~|~|~|~|Mortality|3855956|Kidney and Renal Pelvis|2000
1-4|1.9|2.4|2.1|304|Incidence|14307286|Kidney and Renal Pelvis|2000
10-14|0.1|0.2|0.1|23|Incidence|19268598|Kidney and Renal Pelvis|2000
15-19|0.1|0.2|0.1|25|Incidence|18916654|Kidney and Renal Pelvis|2000
5-9|0.5|0.7|0.6|118|Incidence|19120872|Kidney and Renal Pelvis|2000
<1|1.2|2.0|1.5|55|Incidence|3597900|Kidney and Renal Pelvis|2000
1-4|~|~|~|~|Mortality|15322337|Larynx|2000
10-14|~|~|~|~|Mortality|20637696|Larynx|2000
15-19|~|~|~|~|Mortality|20294955|Larynx|2000
5-9|~|~|~|~|Mortality|20463852|Larynx|2000
<1|~|~|~|~|Mortality|3855956|Larynx|2000
1-4|~|~|~|~|Incidence|14307286|Larynx|2000
10-14|~|~|~|~|Incidence|19268598|Larynx|2000
15-19|~|~|~|~|Incidence|18916654|Larynx|2000
5-9|~|~|~|~|Incidence|19120872|Larynx|2000
