Edition,Report Type,Measure Name,State Name,Rank,Value,Score,Lower CI,Upper CI
2016,2016 Senior,All Determinants - Senior,Alaska,21,0.099,0.099,,
2016,2016 Senior,All Determinants - Senior,Alabama,40,-0.146,-0.146,,
2016,2016 Senior,All Determinants - Senior,United States,,,,,
2016,2016 Senior,All Determinants - Senior,Arkansas,47,-0.335,-0.335,,
2016,2016 Senior,All Determinants - Senior,Arizona,32,-0.067,-0.067,,
2016,2016 Senior,All Determinants - Senior,California,30,-0.028,-0.028,,
2016,2016 Senior,All Determinants - Senior,Colorado,6,0.333,0.333,,
2016,2016 Senior,All Determinants - Senior,Connecticut,9,0.247,0.247,,
2016,2016 Senior,All Determinants - Senior,District of Columbia,,,,,
2016,2016 Senior,All Determinants - Senior,Delaware,24,0.083,0.083,,
2016,2016 Senior,All Determinants - Senior,Florida,20,0.111,0.111,,
2016,2016 Senior,All Determinants - Senior,Georgia,37,-0.13,-0.13,,
2016,2016 Senior,All Determinants - Senior,Hawaii,7,0.324,0.324,,
2016,2016 Senior,All Determinants - Senior,Iowa,22,0.097,0.097,,
2016,2016 Senior,All Determinants - Senior,Idaho,14,0.156,0.156,,
2016,2016 Senior,All Determinants - Senior,Illinois,42,-0.189,-0.189,,
2016,2016 Senior,All Determinants - Senior,Indiana,33,-0.067,-0.067,,
2016,2016 Senior,All Determinants - Senior,Kansas,35,-0.093,-0.093,,
2016,2016 Senior,All Determinants - Senior,Kentucky,44,-0.292,-0.292,,
2016,2016 Senior,All Determinants - Senior,Louisiana,50,-0.568,-0.568,,
2016,2016 Senior,All Determinants - Senior,Massachusetts,1,0.428,0.428,,
2016,2016 Senior,All Determinants - Senior,Maryland,16,0.142,0.142,,
2016,2016 Senior,All Determinants - Senior,Maine,4,0.383,0.383,,
2016,2016 Senior,All Determinants - Senior,Michigan,18,0.116,0.116,,
2016,2016 Senior,All Determinants - Senior,Minnesota,8,0.288,0.288,,
2016,2016 Senior,All Determinants - Senior,Missouri,38,-0.14,-0.14,,
2016,2016 Senior,All Determinants - Senior,Mississippi,49,-0.401,-0.401,,
2016,2016 Senior,All Determinants - Senior,Montana,34,-0.083,-0.083,,
2016,2016 Senior,All Determinants - Senior,North Carolina,19,0.113,0.113,,
2016,2016 Senior,All Determinants - Senior,North Dakota,23,0.092,0.092,,
2016,2016 Senior,All Determinants - Senior,Nebraska,26,0.068,0.068,,
2016,2016 Senior,All Determinants - Senior,New Hampshire,5,0.367,0.367,,
2016,2016 Senior,All Determinants - Senior,New Jersey,15,0.143,0.143,,
2016,2016 Senior,All Determinants - Senior,New Mexico,29,-0.017,-0.017,,
2016,2016 Senior,All Determinants - Senior,Nevada,46,-0.334,-0.334,,
2016,2016 Senior,All Determinants - Senior,New York,25,0.079,0.079,,
2016,2016 Senior,All Determinants - Senior,Ohio,36,-0.095,-0.095,,
2016,2016 Senior,All Determinants - Senior,Oklahoma,48,-0.376,-0.376,,
2016,2016 Senior,All Determinants - Senior,Oregon,11,0.228,0.228,,
2016,2016 Senior,All Determinants - Senior,Pennsylvania,12,0.204,0.204,,
2016,2016 Senior,All Determinants - Senior,Rhode Island,13,0.184,0.184,,
2016,2016 Senior,All Determinants - Senior,South Carolina,27,0.017,0.017,,
2016,2016 Senior,All Determinants - Senior,South Dakota,28,-0.013,-0.013,,
2016,2016 Senior,All Determinants - Senior,Tennessee,39,-0.142,-0.142,,
2016,2016 Senior,All Determinants - Senior,Texas,43,-0.239,-0.239,,
2016,2016 Senior,All Determinants - Senior,Utah,3,0.41,0.41,,
2016,2016 Senior,All Determinants - Senior,Virginia,31,-0.063,-0.063,,
2016,2016 Senior,All Determinants - Senior,Vermont,2,0.426,0.426,,
2016,2016 Senior,All Determinants - Senior,Washington,10,0.232,0.232,,
2016,2016 Senior,All Determinants - Senior,Wisconsin,17,0.129,0.129,,
2016,2016 Senior,All Determinants - Senior,West Virginia,45,-0.304,-0.304,,
2016,2016 Senior,All Determinants - Senior,Wyoming,41,-0.161,-0.161,,
2016,2016 Senior,All Outcomes - Senior,Alaska,26,0.073,0.073,,
2016,2016 Senior,All Outcomes - Senior,Alabama,49,-0.329,-0.329,,
2016,2016 Senior,All Outcomes - Senior,United States,,,,,
2016,2016 Senior,All Outcomes - Senior,Arkansas,47,-0.313,-0.313,,
2016,2016 Senior,All Outcomes - Senior,Arizona,22,0.085,0.085,,
2016,2016 Senior,All Outcomes - Senior,California,28,0.044,0.044,,
2016,2016 Senior,All Outcomes - Senior,Colorado,4,0.234,0.234,,
2016,2016 Senior,All Outcomes - Senior,Connecticut,5,0.212,0.212,,
2016,2016 Senior,All Outcomes - Senior,District of Columbia,,,,,
2016,2016 Senior,All Outcomes - Senior,Delaware,23,0.084,0.084,,
2016,2016 Senior,All Outcomes - Senior,Florida,27,0.053,0.053,,
2016,2016 Senior,All Outcomes - Senior,Georgia,41,-0.137,-0.137,,
2016,2016 Senior,All Outcomes - Senior,Hawaii,2,0.272,0.272,,
2016,2016 Senior,All Outcomes - Senior,Iowa,19,0.109,0.109,,
2016,2016 Senior,All Outcomes - Senior,Idaho,17,0.112,0.112,,
2016,2016 Senior,All Outcomes - Senior,Illinois,31,0.018,0.018,,
2016,2016 Senior,All Outcomes - Senior,Indiana,39,-0.117,-0.117,,
2016,2016 Senior,All Outcomes - Senior,Kansas,29,0.025,0.025,,
2016,2016 Senior,All Outcomes - Senior,Kentucky,50,-0.335,-0.335,,
2016,2016 Senior,All Outcomes - Senior,Louisiana,43,-0.193,-0.193,,
2016,2016 Senior,All Outcomes - Senior,Massachusetts,6,0.199,0.199,,
2016,2016 Senior,All Outcomes - Senior,Maryland,10,0.179,0.179,,
2016,2016 Senior,All Outcomes - Senior,Maine,13,0.139,0.139,,
2016,2016 Senior,All Outcomes - Senior,Michigan,33,-0.021,-0.021,,
2016,2016 Senior,All Outcomes - Senior,Minnesota,1,0.312,0.312,,
2016,2016 Senior,All Outcomes - Senior,Missouri,42,-0.166,-0.166,,
2016,2016 Senior,All Outcomes - Senior,Mississippi,44,-0.247,-0.247,,
2016,2016 Senior,All Outcomes - Senior,Montana,25,0.074,0.074,,
2016,2016 Senior,All Outcomes - Senior,North Carolina,38,-0.113,-0.113,,
2016,2016 Senior,All Outcomes - Senior,North Dakota,12,0.144,0.144,,
2016,2016 Senior,All Outcomes - Senior,Nebraska,15,0.127,0.127,,
2016,2016 Senior,All Outcomes - Senior,New Hampshire,3,0.235,0.235,,
2016,2016 Senior,All Outcomes - Senior,New Jersey,20,0.094,0.094,,
2016,2016 Senior,All Outcomes - Senior,New Mexico,35,-0.08,-0.08,,
2016,2016 Senior,All Outcomes - Senior,Nevada,34,-0.075,-0.075,,
2016,2016 Senior,All Outcomes - Senior,New York,21,0.086,0.086,,
2016,2016 Senior,All Outcomes - Senior,Ohio,36,-0.09,-0.09,,
2016,2016 Senior,All Outcomes - Senior,Oklahoma,46,-0.306,-0.306,,
2016,2016 Senior,All Outcomes - Senior,Oregon,18,0.11,0.11,,
2016,2016 Senior,All Outcomes - Senior,Pennsylvania,32,0.011,0.011,,
2016,2016 Senior,All Outcomes - Senior,Rhode Island,11,0.158,0.158,,
2016,2016 Senior,All Outcomes - Senior,South Carolina,40,-0.13,-0.13,,
2016,2016 Senior,All Outcomes - Senior,South Dakota,14,0.133,0.133,,
2016,2016 Senior,All Outcomes - Senior,Tennessee,45,-0.298,-0.298,,
2016,2016 Senior,All Outcomes - Senior,Texas,37,-0.097,-0.097,,
2016,2016 Senior,All Outcomes - Senior,Utah,9,0.179,0.179,,
2016,2016 Senior,All Outcomes - Senior,Virginia,24,0.075,0.075,,
2016,2016 Senior,All Outcomes - Senior,Vermont,8,0.192,0.192,,
2016,2016 Senior,All Outcomes - Senior,Washington,16,0.125,0.125,,
2016,2016 Senior,All Outcomes - Senior,Wisconsin,7,0.198,0.198,,
2016,2016 Senior,All Outcomes - Senior,West Virginia,48,-0.328,-0.328,,
2016,2016 Senior,All Outcomes - Senior,Wyoming,30,0.019,0.019,,
2016,2016 Senior,Behaviors - Seniors,Alaska,40,-0.08,-0.08,,
2016,2016 Senior,Behaviors - Seniors,Alabama,32,-0.037,-0.037,,
2016,2016 Senior,Behaviors - Seniors,United States,,,,,
2016,2016 Senior,Behaviors - Seniors,Arkansas,45,-0.118,-0.118,,
2016,2016 Senior,Behaviors - Seniors,Arizona,21,0.009,0.009,,
2016,2016 Senior,Behaviors - Seniors,California,9,0.081,0.081,,
2016,2016 Senior,Behaviors - Seniors,Colorado,2,0.185,0.185,,
2016,2016 Senior,Behaviors - Seniors,Connecticut,16,0.045,0.045,,
2016,2016 Senior,Behaviors - Seniors,District of Columbia,,,,,
2016,2016 Senior,Behaviors - Seniors,Delaware,43,-0.102,-0.102,,
2016,2016 Senior,Behaviors - Seniors,Florida,12,0.062,0.062,,
2016,2016 Senior,Behaviors - Seniors,Georgia,24,0.003,0.003,,
2016,2016 Senior,Behaviors - Seniors,Hawaii,17,0.045,0.045,,
2016,2016 Senior,Behaviors - Seniors,Iowa,36,-0.067,-0.067,,
2016,2016 Senior,Behaviors - Seniors,Idaho,4,0.136,0.136,,
2016,2016 Senior,Behaviors - Seniors,Illinois,46,-0.144,-0.144,,
2016,2016 Senior,Behaviors - Seniors,Indiana,44,-0.109,-0.109,,
2016,2016 Senior,Behaviors - Seniors,Kansas,35,-0.05,-0.05,,
2016,2016 Senior,Behaviors - Seniors,Kentucky,42,-0.093,-0.093,,
2016,2016 Senior,Behaviors - Seniors,Louisiana,50,-0.204,-0.204,,
2016,2016 Senior,Behaviors - Seniors,Massachusetts,10,0.071,0.071,,
2016,2016 Senior,Behaviors - Seniors,Maryland,18,0.04,0.04,,
2016,2016 Senior,Behaviors - Seniors,Maine,6,0.118,0.118,,
2016,2016 Senior,Behaviors - Seniors,Michigan,31,-0.034,-0.034,,
2016,2016 Senior,Behaviors - Seniors,Minnesota,28,-0.014,-0.014,,
2016,2016 Senior,Behaviors - Seniors,Missouri,38,-0.072,-0.072,,
2016,2016 Senior,Behaviors - Seniors,Mississippi,22,0.006,0.006,,
2016,2016 Senior,Behaviors - Seniors,Montana,19,0.036,0.036,,
2016,2016 Senior,Behaviors - Seniors,North Carolina,8,0.085,0.085,,
2016,2016 Senior,Behaviors - Seniors,North Dakota,41,-0.089,-0.089,,
2016,2016 Senior,Behaviors - Seniors,Nebraska,26,-0.005,-0.005,,
2016,2016 Senior,Behaviors - Seniors,New Hampshire,11,0.066,0.066,,
2016,2016 Senior,Behaviors - Seniors,New Jersey,14,0.058,0.058,,
2016,2016 Senior,Behaviors - Seniors,New Mexico,5,0.126,0.126,,
2016,2016 Senior,Behaviors - Seniors,Nevada,49,-0.198,-0.198,,
2016,2016 Senior,Behaviors - Seniors,New York,25,-0.001,-0.001,,
2016,2016 Senior,Behaviors - Seniors,Ohio,47,-0.149,-0.149,,
2016,2016 Senior,Behaviors - Seniors,Oklahoma,34,-0.05,-0.05,,
2016,2016 Senior,Behaviors - Seniors,Oregon,15,0.052,0.052,,
2016,2016 Senior,Behaviors - Seniors,Pennsylvania,29,-0.014,-0.014,,
2016,2016 Senior,Behaviors - Seniors,Rhode Island,13,0.061,0.061,,
2016,2016 Senior,Behaviors - Seniors,South Carolina,30,-0.017,-0.017,,
2016,2016 Senior,Behaviors - Seniors,South Dakota,20,0.021,0.021,,
2016,2016 Senior,Behaviors - Seniors,Tennessee,33,-0.041,-0.041,,
2016,2016 Senior,Behaviors - Seniors,Texas,39,-0.078,-0.078,,
2016,2016 Senior,Behaviors - Seniors,Utah,1,0.205,0.205,,
2016,2016 Senior,Behaviors - Seniors,Virginia,23,0.005,0.005,,
2016,2016 Senior,Behaviors - Seniors,Vermont,3,0.139,0.139,,
2016,2016 Senior,Behaviors - Seniors,Washington,7,0.106,0.106,,
2016,2016 Senior,Behaviors - Seniors,Wisconsin,37,-0.068,-0.068,,
2016,2016 Senior,Behaviors - Seniors,West Virginia,48,-0.154,-0.154,,
2016,2016 Senior,Behaviors - Seniors,Wyoming,27,-0.006,-0.006,,
2016,2016 Senior,Clinical Care - Seniors,Alaska,49,-0.111,-0.111,,
2016,2016 Senior,Clinical Care - Seniors,Alabama,26,0.005,0.005,,
2016,2016 Senior,Clinical Care - Seniors,United States,,,,,
2016,2016 Senior,Clinical Care - Seniors,Arkansas,42,-0.051,-0.051,,
2016,2016 Senior,Clinical Care - Seniors,Arizona,19,0.019,0.019,,
2016,2016 Senior,Clinical Care - Seniors,California,38,-0.027,-0.027,,
2016,2016 Senior,Clinical Care - Seniors,Colorado,1,0.102,0.102,,
2016,2016 Senior,Clinical Care - Seniors,Connecticut,17,0.032,0.032,,
2016,2016 Senior,Clinical Care - Seniors,District of Columbia,,,,,
2016,2016 Senior,Clinical Care - Seniors,Delaware,3,0.089,0.089,,
2016,2016 Senior,Clinical Care - Seniors,Florida,15,0.034,0.034,,
2016,2016 Senior,Clinical Care - Seniors,Georgia,28,-0.001,-0.001,,
2016,2016 Senior,Clinical Care - Seniors,Hawaii,7,0.068,0.068,,
2016,2016 Senior,Clinical Care - Seniors,Iowa,10,0.054,0.054,,
2016,2016 Senior,Clinical Care - Seniors,Idaho,21,0.014,0.014,,
2016,2016 Senior,Clinical Care - Seniors,Illinois,36,-0.024,-0.024,,
2016,2016 Senior,Clinical Care - Seniors,Indiana,41,-0.04,-0.04,,
2016,2016 Senior,Clinical Care - Seniors,Kansas,29,-0.003,-0.003,,
2016,2016 Senior,Clinical Care - Seniors,Kentucky,44,-0.061,-0.061,,
2016,2016 Senior,Clinical Care - Seniors,Louisiana,34,-0.022,-0.022,,
2016,2016 Senior,Clinical Care - Seniors,Massachusetts,14,0.043,0.043,,
2016,2016 Senior,Clinical Care - Seniors,Maryland,31,-0.004,-0.004,,
2016,2016 Senior,Clinical Care - Seniors,Maine,2,0.092,0.092,,
2016,2016 Senior,Clinical Care - Seniors,Michigan,18,0.029,0.029,,
2016,2016 Senior,Clinical Care - Seniors,Minnesota,4,0.085,0.085,,
2016,2016 Senior,Clinical Care - Seniors,Missouri,27,0.004,0.004,,
2016,2016 Senior,Clinical Care - Seniors,Mississippi,50,-0.125,-0.125,,
2016,2016 Senior,Clinical Care - Seniors,Montana,37,-0.026,-0.026,,
2016,2016 Senior,Clinical Care - Seniors,North Carolina,9,0.061,0.061,,
2016,2016 Senior,Clinical Care - Seniors,North Dakota,40,-0.033,-0.033,,
2016,2016 Senior,Clinical Care - Seniors,Nebraska,22,0.014,0.014,,
2016,2016 Senior,Clinical Care - Seniors,New Hampshire,8,0.066,0.066,,
2016,2016 Senior,Clinical Care - Seniors,New Jersey,39,-0.03,-0.03,,
2016,2016 Senior,Clinical Care - Seniors,New Mexico,35,-0.024,-0.024,,
2016,2016 Senior,Clinical Care - Seniors,Nevada,46,-0.063,-0.063,,
2016,2016 Senior,Clinical Care - Seniors,New York,43,-0.052,-0.052,,
2016,2016 Senior,Clinical Care - Seniors,Ohio,25,0.005,0.005,,
2016,2016 Senior,Clinical Care - Seniors,Oklahoma,45,-0.062,-0.062,,
2016,2016 Senior,Clinical Care - Seniors,Oregon,12,0.045,0.045,,
2016,2016 Senior,Clinical Care - Seniors,Pennsylvania,16,0.033,0.033,,
2016,2016 Senior,Clinical Care - Seniors,Rhode Island,13,0.044,0.044,,
2016,2016 Senior,Clinical Care - Seniors,South Carolina,11,0.053,0.053,,
2016,2016 Senior,Clinical Care - Seniors,South Dakota,24,0.01,0.01,,
2016,2016 Senior,Clinical Care - Seniors,Tennessee,33,-0.018,-0.018,,
2016,2016 Senior,Clinical Care - Seniors,Texas,20,0.017,0.017,,
2016,2016 Senior,Clinical Care - Seniors,Utah,5,0.078,0.078,,
2016,2016 Senior,Clinical Care - Seniors,Virginia,23,0.011,0.011,,
2016,2016 Senior,Clinical Care - Seniors,Vermont,30,-0.004,-0.004,,
2016,2016 Senior,Clinical Care - Seniors,Washington,32,-0.016,-0.016,,
2016,2016 Senior,Clinical Care - Seniors,Wisconsin,6,0.073,0.073,,
2016,2016 Senior,Clinical Care - Seniors,West Virginia,48,-0.098,-0.098,,
2016,2016 Senior,Clinical Care - Seniors,Wyoming,47,-0.095,-0.095,,
2016,2016 Senior,Cognition - Seniors,Alaska,34,9.9,0.5,13.6,6.2
2016,2016 Senior,Cognition - Seniors,Alabama,47,11.4,1.4,12.4,10.4
2016,2016 Senior,Cognition - Seniors,United States,,9.1,,9.3,8.9
2016,2016 Senior,Cognition - Seniors,Arkansas,43,10.6,0.9,12,9.2
2016,2016 Senior,Cognition - Seniors,Arizona,26,8.7,-0.3,9.7,7.7
2016,2016 Senior,Cognition - Seniors,California,38,10.2,0.7,10.6,9.8
2016,2016 Senior,Cognition - Seniors,Colorado,12,7.8,-0.8,8.8,6.8
2016,2016 Senior,Cognition - Seniors,Connecticut,9,7.6,-0.9,8.6,6.6
2016,2016 Senior,Cognition - Seniors,District of Columbia,,11.2,,15.1,7.3
2016,2016 Senior,Cognition - Seniors,Delaware,9,7.6,-0.9,9.8,5.4
2016,2016 Senior,Cognition - Seniors,Florida,27,8.8,-0.2,9.4,8.2
2016,2016 Senior,Cognition - Seniors,Georgia,41,10.3,0.8,11.1,9.5
2016,2016 Senior,Cognition - Seniors,Hawaii,49,12.2,2,14.6,9.8
2016,2016 Senior,Cognition - Seniors,Iowa,1,6.3,-1.8,7.3,5.3
2016,2016 Senior,Cognition - Seniors,Idaho,33,9.8,0.4,12,7.6
2016,2016 Senior,Cognition - Seniors,Illinois,15,8.1,-0.6,8.7,7.5
2016,2016 Senior,Cognition - Seniors,Indiana,31,9.2,0.1,10.2,8.2
2016,2016 Senior,Cognition - Seniors,Kansas,11,7.7,-0.9,8.9,6.5
2016,2016 Senior,Cognition - Seniors,Kentucky,45,11.1,1.3,12.3,9.9
2016,2016 Senior,Cognition - Seniors,Louisiana,44,11,1.2,12.2,9.8
2016,2016 Senior,Cognition - Seniors,Massachusetts,24,8.6,-0.3,9.4,7.8
2016,2016 Senior,Cognition - Seniors,Maryland,15,8.1,-0.6,9.1,7.1
2016,2016 Senior,Cognition - Seniors,Maine,6,7.1,-1.3,8.5,5.7
2016,2016 Senior,Cognition - Seniors,Michigan,27,8.8,-0.2,9.4,8.2
2016,2016 Senior,Cognition - Seniors,Minnesota,7,7.2,-1.2,8,6.4
2016,2016 Senior,Cognition - Seniors,Missouri,23,8.4,-0.4,9.2,7.6
2016,2016 Senior,Cognition - Seniors,Mississippi,50,13.2,2,15.2,11.2
2016,2016 Senior,Cognition - Seniors,Montana,5,7,-1.3,9,5
2016,2016 Senior,Cognition - Seniors,North Carolina,32,9.3,0.1,10.1,8.5
2016,2016 Senior,Cognition - Seniors,North Dakota,2,6.6,-1.6,9.3,3.9
2016,2016 Senior,Cognition - Seniors,Nebraska,8,7.3,-1.1,8.7,5.9
2016,2016 Senior,Cognition - Seniors,New Hampshire,4,6.8,-1.4,8.4,5.2
2016,2016 Senior,Cognition - Seniors,New Jersey,20,8.2,-0.6,9,7.4
2016,2016 Senior,Cognition - Seniors,New Mexico,48,11.8,1.7,13.8,9.8
2016,2016 Senior,Cognition - Seniors,Nevada,30,9.1,0,10.7,7.5
2016,2016 Senior,Cognition - Seniors,New York,29,9,-0.1,9.6,8.4
2016,2016 Senior,Cognition - Seniors,Ohio,20,8.2,-0.6,8.8,7.6
2016,2016 Senior,Cognition - Seniors,Oklahoma,34,9.9,0.5,10.9,8.9
2016,2016 Senior,Cognition - Seniors,Oregon,36,10.1,0.6,11.3,8.9
2016,2016 Senior,Cognition - Seniors,Pennsylvania,15,8.1,-0.6,8.7,7.5
2016,2016 Senior,Cognition - Seniors,Rhode Island,14,7.9,-0.8,9.7,6.1
2016,2016 Senior,Cognition - Seniors,South Carolina,38,10.2,0.7,11.2,9.2
2016,2016 Senior,Cognition - Seniors,South Dakota,20,8.2,-0.6,10.4,6
2016,2016 Senior,Cognition - Seniors,Tennessee,42,10.4,0.8,11.4,9.4
2016,2016 Senior,Cognition - Seniors,Texas,36,10.1,0.6,10.7,9.5
2016,2016 Senior,Cognition - Seniors,Utah,12,7.8,-0.8,9.2,6.4
2016,2016 Senior,Cognition - Seniors,Virginia,15,8.1,-0.6,8.9,7.3
2016,2016 Senior,Cognition - Seniors,Vermont,24,8.6,-0.3,10.6,6.6
2016,2016 Senior,Cognition - Seniors,Washington,38,10.2,0.7,11.2,9.2
2016,2016 Senior,Cognition - Seniors,Wisconsin,2,6.6,-1.6,7.4,5.8
2016,2016 Senior,Cognition - Seniors,West Virginia,45,11.1,1.3,12.9,9.3
2016,2016 Senior,Cognition - Seniors,Wyoming,15,8.1,-0.6,10.8,5.4
2016,2016 Senior,Community & Environment - Macro - Seniors,Alaska,7,0.096,0.096,,
2016,2016 Senior,Community & Environment - Macro - Seniors,Alabama,37,-0.024,-0.024,,
2016,2016 Senior,Community & Environment - Macro - Seniors,United States,,,,,
2016,2016 Senior,Community & Environment - Macro - Seniors,Arkansas,36,-0.023,-0.023,,
2016,2016 Senior,Community & Environment - Macro - Seniors,Arizona,33,-0.012,-0.012,,
2016,2016 Senior,Community & Environment - Macro - Seniors,California,32,-0.011,-0.011,,
2016,2016 Senior,Community & Environment - Macro - Seniors,Colorado,13,0.083,0.083,,
2016,2016 Senior,Community & Environment - Macro - Seniors,Connecticut,15,0.073,0.073,,
2016,2016 Senior,Community & Environment - Macro - Seniors,District of Columbia,,,,,
2016,2016 Senior,Community & Environment - Macro - Seniors,Delaware,15,0.073,0.073,,
2016,2016 Senior,Community & Environment - Macro - Seniors,Florida,39,-0.033,-0.033,,
2016,2016 Senior,Community & Environment - Macro - Seniors,Georgia,44,-0.085,-0.085,,
2016,2016 Senior,Community & Environment - Macro - Seniors,Hawaii,18,0.06,0.06,,
2016,2016 Senior,Community & Environment - Macro - Seniors,Iowa,6,0.101,0.101,,
2016,2016 Senior,Community & Environment - Macro - Seniors,Idaho,11,0.084,0.084,,
2016,2016 Senior,Community & Environment - Macro - Seniors,Illinois,35,-0.023,-0.023,,
2016,2016 Senior,Community & Environment - Macro - Seniors,Indiana,17,0.067,0.067,,
2016,2016 Senior,Community & Environment - Macro - Seniors,Kansas,14,0.08,0.08,,
2016,2016 Senior,Community & Environment - Macro - Seniors,Kentucky,48,-0.113,-0.113,,
2016,2016 Senior,Community & Environment - Macro - Seniors,Louisiana,50,-0.173,-0.173,,
2016,2016 Senior,Community & Environment - Macro - Seniors,Massachusetts,26,0.014,0.014,,
2016,2016 Senior,Community & Environment - Macro - Seniors,Maryland,19,0.056,0.056,,
2016,2016 Senior,Community & Environment - Macro - Seniors,Maine,9,0.088,0.088,,
2016,2016 Senior,Community & Environment - Macro - Seniors,Michigan,23,0.028,0.028,,
2016,2016 Senior,Community & Environment - Macro - Seniors,Minnesota,3,0.129,0.129,,
2016,2016 Senior,Community & Environment - Macro - Seniors,Missouri,27,0.011,0.011,,
2016,2016 Senior,Community & Environment - Macro - Seniors,Mississippi,47,-0.111,-0.111,,
2016,2016 Senior,Community & Environment - Macro - Seniors,Montana,24,0.023,0.023,,
2016,2016 Senior,Community & Environment - Macro - Seniors,North Carolina,41,-0.036,-0.036,,
2016,2016 Senior,Community & Environment - Macro - Seniors,North Dakota,1,0.138,0.138,,
2016,2016 Senior,Community & Environment - Macro - Seniors,Nebraska,11,0.084,0.084,,
2016,2016 Senior,Community & Environment - Macro - Seniors,New Hampshire,4,0.112,0.112,,
2016,2016 Senior,Community & Environment - Macro - Seniors,New Jersey,22,0.03,0.03,,
2016,2016 Senior,Community & Environment - Macro - Seniors,New Mexico,49,-0.123,-0.123,,
