AGE_ADJUSTED_CI_LOWER|AGE_ADJUSTED_CI_UPPER|AGE_ADJUSTED_RATE|COUNT|ICCC_GROUP|POPULATION|AGE|RACE|SEX|YEAR|CRUDE_CI_LOWER|CRUDE_CI_UPPER|CRUDE_RATE
~|~|~|~|VII(b) Hepatic carcinomas|56294656|0-14|All Races|Male and Female|2000|||
~|~|~|~|VII(c) Unspecified malignant hepatic tumors|56294656|0-14|All Races|Male and Female|2000|||
5.9|7.3|6.6|373|VIII Malignant bone tumors|56294656|0-14|All Races|Male and Female|2000|||
3.1|4.1|3.6|203|VIII(a) Osteosarcomas|56294656|0-14|All Races|Male and Female|2000|||
~|~|~|~|VIII(b) Chondrosarcomas|56294656|0-14|All Races|Male and Female|2000|||
2.3|3.1|2.7|151|VIII(c) Ewing tumor and related sarcomas of bone|56294656|0-14|All Races|Male and Female|2000|||
~|~|~|~|VIII(d) Other specified malignant bone tumors|56294656|0-14|All Races|Male and Female|2000|||
~|~|~|~|VIII(e) Unspecified malignant bone tumors|56294656|0-14|All Races|Male and Female|2000|||
4.4|5.5|4.9|277|X Germ cell, trophoblastic tumors & neoplasms of gonads|56294656|0-14|All Races|Male and Female|2000|||
1.1|1.8|1.4|81|X(a) Intracranial & intraspinal germ cell tumors|56294656|0-14|All Races|Male and Female|2000|||
0.8|1.4|1.1|61|X(b) Malignant extracranial & extragonadal germ cell tumors|56294656|0-14|All Races|Male and Female|2000|||
1.8|2.6|2.2|124|X(c) Malignant gonadal germ cell tumors|56294656|0-14|All Races|Male and Female|2000|||
~|~|~|~|X(d) Gonadal carcinomas|56294656|0-14|All Races|Male and Female|2000|||
~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|56294656|0-14|All Races|Male and Female|2000|||
5.1|6.3|5.7|321|XI Other malignant epithelial neoplasms and malignant melanomas|56294656|0-14|All Races|Male and Female|2000|||
0.2|0.5|0.3|17|XI(a) Adrenocortical carcinomas|56294656|0-14|All Races|Male and Female|2000|||
1.5|2.2|1.8|103|XI(b) Thyroid carcinomas|56294656|0-14|All Races|Male and Female|2000|||
0.2|0.5|0.3|19|XI(c) Nasopharyngeal carcinomas|56294656|0-14|All Races|Male and Female|2000|||
1.4|2.1|1.7|98|XI(d) Malignant melanomas|56294656|0-14|All Races|Male and Female|2000|||
~|~|~|~|XI(e) Skin carcinomas|56294656|0-14|All Races|Male and Female|2000|||
1.1|1.8|1.4|81|XI(f) Other and unspecified carcinomas|56294656|0-14|All Races|Male and Female|2000|||
0.6|1.1|0.8|44|XII Other and unspecified malignant neoplasms|56294656|0-14|All Races|Male and Female|2000|||
~|~|~|~|XII(a) Other specified malignant tumors|56294656|0-14|All Races|Male and Female|2000|||
0.4|0.8|0.6|31|XII(b) Other unspecified malignant tumors|56294656|0-14|All Races|Male and Female|2000|||
153.8|160.3|157.0|8973|All ICCC Groups Combined|57180220|0-14|All Races|Male and Female|2001|||
49.1|52.9|51.0|2897|I Leukemias, myeloproliferative & myelodysplastic diseases|57180220|0-14|All Races|Male and Female|2001|||
37.5|40.7|39.1|2215|I(a) Lymphoid leukemias|57180220|0-14|All Races|Male and Female|2001|||
6.7|8.1|7.4|423|I(b) Acute myeloid leukemias|57180220|0-14|All Races|Male and Female|2001|||
1.3|2.0|1.6|94|I(c) Chronic myeloproliferative diseases|57180220|0-14|All Races|Male and Female|2001|||
1.3|2.0|1.7|95|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|57180220|0-14|All Races|Male and Female|2001|||
1.0|1.6|1.2|70|I(e) Unspecified and other specified leukemias|57180220|0-14|All Races|Male and Female|2001|||
15.1|17.2|16.1|926|II Lymphomas and reticuloendothelial neoplasms|57180220|0-14|All Races|Male and Female|2001|||
5.3|6.5|5.9|339|II(a) Hodgkin lymphomas|57180220|0-14|All Races|Male and Female|2001|||
5.9|7.2|6.5|376|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|57180220|0-14|All Races|Male and Female|2001|||
1.9|2.7|2.3|129|II(c) Burkitt lymphoma|57180220|0-14|All Races|Male and Female|2001|||
0.8|1.3|1.0|58|II(d) Miscellaneous lymphoreticular neoplasms|57180220|0-14|All Races|Male and Female|2001|||
0.3|0.6|0.4|24|II(e) Unspecified lymphomas|57180220|0-14|All Races|Male and Female|2001|||
31.4|34.4|32.8|1873|III CNS and misc intracranial and intraspinal neoplasms|57180220|0-14|All Races|Male and Female|2001|||
2.4|3.2|2.8|158|III(a) Ependymomas and choroid plexus tumor|57180220|0-14|All Races|Male and Female|2001|||
15.3|17.4|16.3|930|III(b) Astrocytomas|57180220|0-14|All Races|Male and Female|2001|||
6.6|8.0|7.3|416|III(c) Intracranial and intraspinal embryonal tumors|57180220|0-14|All Races|Male and Female|2001|||
4.8|6.1|5.4|310|III(d) Other gliomas|57180220|0-14|All Races|Male and Female|2001|||
0.5|0.9|0.7|38|III(e) Other specified intracranial & intraspinal neoplasms|57180220|0-14|All Races|Male and Female|2001|||
0.2|0.6|0.4|21|III(f) Unspecified intracranial and intraspinal neoplasms|57180220|0-14|All Races|Male and Female|2001|||
10.9|12.7|11.8|675|IV Neuroblastoma and other peripheral nervous cell tumors|57180220|0-14|All Races|Male and Female|2001|||
10.8|12.6|11.7|668|IV(a) Neuroblastoma and ganglioneuroblastoma|57180220|0-14|All Races|Male and Female|2001|||
~|~|~|~|IV(b) Other peripheral nervous cell tumors|57180220|0-14|All Races|Male and Female|2001|||
9.6|11.3|10.5|600|IX Soft tissue and other extraosseous sarcomas|57180220|0-14|All Races|Male and Female|2001|||
4.6|5.8|5.2|293|IX(a) Rhabdomyosarcomas|57180220|0-14|All Races|Male and Female|2001|||
1.0|1.6|1.3|73|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|57180220|0-14|All Races|Male and Female|2001|||
~|~|~|~|IX(c) Kaposi sarcoma|57180220|0-14|All Races|Male and Female|2001|||
2.6|3.6|3.1|177|IX(d) Other specified soft tissue sarcomas|57180220|0-14|All Races|Male and Female|2001|||
0.7|1.3|1.0|57|IX(e) Unspecified soft tissue sarcomas|57180220|0-14|All Races|Male and Female|2001|||
~|~|~|~|Not classified by ICCC|57180220|0-14|All Races|Male and Female|2001|||
3.9|5.0|4.5|256|V Retinoblastoma|57180220|0-14|All Races|Male and Female|2001|||
7.9|9.4|8.6|488|VI Renal tumors|57180220|0-14|All Races|Male and Female|2001|||
7.5|9.0|8.2|467|VI(a) Nephroblastoma and other nonepithelial renal tumors|57180220|0-14|All Races|Male and Female|2001|||
0.2|0.5|0.3|19|VI(b) Renal carcinomas|57180220|0-14|All Races|Male and Female|2001|||
~|~|~|~|VI(c) Unspecified malignant renal tumors|57180220|0-14|All Races|Male and Female|2001|||
1.7|2.5|2.1|119|VII Hepatic tumors|57180220|0-14|All Races|Male and Female|2001|||
1.4|2.0|1.7|96|VII(a) Hepatoblastoma|57180220|0-14|All Races|Male and Female|2001|||
0.2|0.6|0.4|22|VII(b) Hepatic carcinomas|57180220|0-14|All Races|Male and Female|2001|||
~|~|~|~|VII(c) Unspecified malignant hepatic tumors|57180220|0-14|All Races|Male and Female|2001|||
6.2|7.6|6.9|399|VIII Malignant bone tumors|57180220|0-14|All Races|Male and Female|2001|||
3.3|4.3|3.8|218|VIII(a) Osteosarcomas|57180220|0-14|All Races|Male and Female|2001|||
~|~|~|~|VIII(b) Chondrosarcomas|57180220|0-14|All Races|Male and Female|2001|||
2.3|3.1|2.7|154|VIII(c) Ewing tumor and related sarcomas of bone|57180220|0-14|All Races|Male and Female|2001|||
~|~|~|~|VIII(d) Other specified malignant bone tumors|57180220|0-14|All Races|Male and Female|2001|||
~|~|~|~|VIII(e) Unspecified malignant bone tumors|57180220|0-14|All Races|Male and Female|2001|||
4.5|5.7|5.0|292|X Germ cell, trophoblastic tumors & neoplasms of gonads|57180220|0-14|All Races|Male and Female|2001|||
1.0|1.6|1.3|74|X(a) Intracranial & intraspinal germ cell tumors|57180220|0-14|All Races|Male and Female|2001|||
1.1|1.7|1.4|81|X(b) Malignant extracranial & extragonadal germ cell tumors|57180220|0-14|All Races|Male and Female|2001|||
1.7|2.5|2.1|119|X(c) Malignant gonadal germ cell tumors|57180220|0-14|All Races|Male and Female|2001|||
~|~|~|~|X(d) Gonadal carcinomas|57180220|0-14|All Races|Male and Female|2001|||
~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|57180220|0-14|All Races|Male and Female|2001|||
6.1|7.5|6.8|392|XI Other malignant epithelial neoplasms and malignant melanomas|57180220|0-14|All Races|Male and Female|2001|||
~|~|~|~|XI(a) Adrenocortical carcinomas|57180220|0-14|All Races|Male and Female|2001|||
2.0|2.8|2.4|137|XI(b) Thyroid carcinomas|57180220|0-14|All Races|Male and Female|2001|||
0.2|0.5|0.3|19|XI(c) Nasopharyngeal carcinomas|57180220|0-14|All Races|Male and Female|2001|||
1.7|2.5|2.1|120|XI(d) Malignant melanomas|57180220|0-14|All Races|Male and Female|2001|||
~|~|~|~|XI(e) Skin carcinomas|57180220|0-14|All Races|Male and Female|2001|||
1.4|2.1|1.7|98|XI(f) Other and unspecified carcinomas|57180220|0-14|All Races|Male and Female|2001|||
0.5|1.0|0.7|41|XII Other and unspecified malignant neoplasms|57180220|0-14|All Races|Male and Female|2001|||
0.2|0.6|0.4|22|XII(a) Other specified malignant tumors|57180220|0-14|All Races|Male and Female|2001|||
0.2|0.5|0.3|19|XII(b) Other unspecified malignant tumors|57180220|0-14|All Races|Male and Female|2001|||
152.8|159.3|156.0|8919|All ICCC Groups Combined|57184152|0-14|All Races|Male and Female|2002|||
47.9|51.6|49.7|2830|I Leukemias, myeloproliferative & myelodysplastic diseases|57184152|0-14|All Races|Male and Female|2002|||
35.7|38.9|37.3|2118|I(a) Lymphoid leukemias|57184152|0-14|All Races|Male and Female|2002|||
7.2|8.7|7.9|456|I(b) Acute myeloid leukemias|57184152|0-14|All Races|Male and Female|2002|||
1.3|2.0|1.6|92|I(c) Chronic myeloproliferative diseases|57184152|0-14|All Races|Male and Female|2002|||
1.3|2.0|1.6|92|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|57184152|0-14|All Races|Male and Female|2002|||
1.0|1.6|1.3|72|I(e) Unspecified and other specified leukemias|57184152|0-14|All Races|Male and Female|2002|||
14.6|16.7|15.7|902|II Lymphomas and reticuloendothelial neoplasms|57184152|0-14|All Races|Male and Female|2002|||
4.8|6.0|5.4|312|II(a) Hodgkin lymphomas|57184152|0-14|All Races|Male and Female|2002|||
5.6|6.9|6.2|355|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|57184152|0-14|All Races|Male and Female|2002|||
2.3|3.2|2.8|157|II(c) Burkitt lymphoma|57184152|0-14|All Races|Male and Female|2002|||
0.9|1.5|1.2|66|II(d) Miscellaneous lymphoreticular neoplasms|57184152|0-14|All Races|Male and Female|2002|||
~|~|~|~|II(e) Unspecified lymphomas|57184152|0-14|All Races|Male and Female|2002|||
33.1|36.2|34.7|1974|III CNS and misc intracranial and intraspinal neoplasms|57184152|0-14|All Races|Male and Female|2002|||
3.2|4.2|3.6|208|III(a) Ependymomas and choroid plexus tumor|57184152|0-14|All Races|Male and Female|2002|||
15.4|17.5|16.5|938|III(b) Astrocytomas|57184152|0-14|All Races|Male and Female|2002|||
6.8|8.2|7.5|424|III(c) Intracranial and intraspinal embryonal tumors|57184152|0-14|All Races|Male and Female|2002|||
5.3|6.6|6.0|339|III(d) Other gliomas|57184152|0-14|All Races|Male and Female|2002|||
0.5|1.0|0.7|42|III(e) Other specified intracranial & intraspinal neoplasms|57184152|0-14|All Races|Male and Female|2002|||
0.3|0.6|0.4|23|III(f) Unspecified intracranial and intraspinal neoplasms|57184152|0-14|All Races|Male and Female|2002|||
10.2|11.9|11.0|630|IV Neuroblastoma and other peripheral nervous cell tumors|57184152|0-14|All Races|Male and Female|2002|||
10.1|11.8|10.9|622|IV(a) Neuroblastoma and ganglioneuroblastoma|57184152|0-14|All Races|Male and Female|2002|||
~|~|~|~|IV(b) Other peripheral nervous cell tumors|57184152|0-14|All Races|Male and Female|2002|||
10.2|11.9|11.0|632|IX Soft tissue and other extraosseous sarcomas|57184152|0-14|All Races|Male and Female|2002|||
4.9|6.1|5.5|312|IX(a) Rhabdomyosarcomas|57184152|0-14|All Races|Male and Female|2002|||
0.9|1.5|1.2|69|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|57184152|0-14|All Races|Male and Female|2002|||
~|~|~|~|IX(c) Kaposi sarcoma|57184152|0-14|All Races|Male and Female|2002|||
3.0|3.9|3.4|197|IX(d) Other specified soft tissue sarcomas|57184152|0-14|All Races|Male and Female|2002|||
0.7|1.2|0.9|54|IX(e) Unspecified soft tissue sarcomas|57184152|0-14|All Races|Male and Female|2002|||
0.2|0.5|0.3|19|Not classified by ICCC|57184152|0-14|All Races|Male and Female|2002|||
3.3|4.3|3.7|214|V Retinoblastoma|57184152|0-14|All Races|Male and Female|2002|||
7.5|9.0|8.2|468|VI Renal tumors|57184152|0-14|All Races|Male and Female|2002|||
7.3|8.8|8.0|455|VI(a) Nephroblastoma and other nonepithelial renal tumors|57184152|0-14|All Races|Male and Female|2002|||
~|~|~|~|VI(b) Renal carcinomas|57184152|0-14|All Races|Male and Female|2002|||
~|~|~|~|VI(c) Unspecified malignant renal tumors|57184152|0-14|All Races|Male and Female|2002|||
1.6|2.3|1.9|111|VII Hepatic tumors|57184152|0-14|All Races|Male and Female|2002|||
1.3|1.9|1.6|90|VII(a) Hepatoblastoma|57184152|0-14|All Races|Male and Female|2002|||
0.2|0.5|0.3|20|VII(b) Hepatic carcinomas|57184152|0-14|All Races|Male and Female|2002|||
~|~|~|~|VII(c) Unspecified malignant hepatic tumors|57184152|0-14|All Races|Male and Female|2002|||
6.4|7.7|7.0|406|VIII Malignant bone tumors|57184152|0-14|All Races|Male and Female|2002|||
3.3|4.3|3.8|218|VIII(a) Osteosarcomas|57184152|0-14|All Races|Male and Female|2002|||
~|~|~|~|VIII(b) Chondrosarcomas|57184152|0-14|All Races|Male and Female|2002|||
2.2|3.1|2.6|152|VIII(c) Ewing tumor and related sarcomas of bone|57184152|0-14|All Races|Male and Female|2002|||
0.2|0.5|0.3|20|VIII(d) Other specified malignant bone tumors|57184152|0-14|All Races|Male and Female|2002|||
~|~|~|~|VIII(e) Unspecified malignant bone tumors|57184152|0-14|All Races|Male and Female|2002|||
4.8|6.1|5.4|314|X Germ cell, trophoblastic tumors & neoplasms of gonads|57184152|0-14|All Races|Male and Female|2002|||
1.2|1.8|1.5|86|X(a) Intracranial & intraspinal germ cell tumors|57184152|0-14|All Races|Male and Female|2002|||
1.2|1.9|1.5|87|X(b) Malignant extracranial & extragonadal germ cell tumors|57184152|0-14|All Races|Male and Female|2002|||
1.9|2.7|2.2|130|X(c) Malignant gonadal germ cell tumors|57184152|0-14|All Races|Male and Female|2002|||
~|~|~|~|X(d) Gonadal carcinomas|57184152|0-14|All Races|Male and Female|2002|||
~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|57184152|0-14|All Races|Male and Female|2002|||
5.9|7.3|6.6|383|XI Other malignant epithelial neoplasms and malignant melanomas|57184152|0-14|All Races|Male and Female|2002|||
~|~|~|~|XI(a) Adrenocortical carcinomas|57184152|0-14|All Races|Male and Female|2002|||
1.6|2.4|2.0|115|XI(b) Thyroid carcinomas|57184152|0-14|All Races|Male and Female|2002|||
~|~|~|~|XI(c) Nasopharyngeal carcinomas|57184152|0-14|All Races|Male and Female|2002|||
2.0|2.8|2.4|136|XI(d) Malignant melanomas|57184152|0-14|All Races|Male and Female|2002|||
~|~|~|~|XI(e) Skin carcinomas|57184152|0-14|All Races|Male and Female|2002|||
1.4|2.0|1.7|98|XI(f) Other and unspecified carcinomas|57184152|0-14|All Races|Male and Female|2002|||
0.4|0.9|0.6|36|XII Other and unspecified malignant neoplasms|57184152|0-14|All Races|Male and Female|2002|||
0.2|0.6|0.4|21|XII(a) Other specified malignant tumors|57184152|0-14|All Races|Male and Female|2002|||
~|~|~|~|XII(b) Other unspecified malignant tumors|57184152|0-14|All Races|Male and Female|2002|||
148.8|155.1|151.9|9231|All ICCC Groups Combined|60628650|0-14|All Races|Male and Female|2003|||
45.9|49.4|47.6|2876|I Leukemias, myeloproliferative & myelodysplastic diseases|60628650|0-14|All Races|Male and Female|2003|||
34.4|37.5|35.9|2166|I(a) Lymphoid leukemias|60628650|0-14|All Races|Male and Female|2003|||
6.8|8.2|7.5|456|I(b) Acute myeloid leukemias|60628650|0-14|All Races|Male and Female|2003|||
1.2|1.8|1.4|88|I(c) Chronic myeloproliferative diseases|60628650|0-14|All Races|Male and Female|2003|||
