AGE|AGE_ADJUSTED_CI_LOWER|AGE_ADJUSTED_CI_UPPER|AGE_ADJUSTED_RATE|BEHAVIOR|COUNT|POPULATION|SEX|SITE|YEAR|CRUDE_CI_LOWER|CRUDE_CI_UPPER|CRUDE_RATE
0-19|~|~|~|Benign/Borderline|~|40165421|Female|Astrocytoma, NOS|2006|~|~|~
0-19|0.2|0.3|0.2|Malignant|90|40165421|Female|Astrocytoma, NOS|2006|0.2|0.3|0.2
0-19|~|~|~|Benign/Borderline|~|40382360|Female|Astrocytoma, NOS|2007|~|~|~
0-19|0.2|0.3|0.2|Malignant|86|40382360|Female|Astrocytoma, NOS|2007|0.2|0.3|0.2
0-19|~|~|~|Benign/Borderline|~|40576293|Female|Astrocytoma, NOS|2008|~|~|~
0-19|0.2|0.3|0.2|Malignant|85|40576293|Female|Astrocytoma, NOS|2008|0.2|0.3|0.2
0-19|~|~|~|Benign/Borderline|~|40670476|Female|Astrocytoma, NOS|2009|~|~|~
0-19|0.2|0.3|0.2|Malignant|94|40670476|Female|Astrocytoma, NOS|2009|0.2|0.3|0.2
0-19|~|~|~|Benign/Borderline|~|200535373|Female|Astrocytoma, NOS|2009-2013|~|~|~
0-19|0.2|0.2|0.2|Malignant|443|200535373|Female|Astrocytoma, NOS|2009-2013|0.2|0.2|0.2
0-19|~|~|~|Benign/Borderline|~|40634361|Female|Astrocytoma, NOS|2010|~|~|~
0-19|0.2|0.3|0.2|Malignant|93|40634361|Female|Astrocytoma, NOS|2010|0.2|0.3|0.2
0-19|~|~|~|Benign/Borderline|~|40110316|Female|Astrocytoma, NOS|2011|~|~|~
0-19|0.2|0.2|0.2|Malignant|81|40110316|Female|Astrocytoma, NOS|2011|0.2|0.3|0.2
0-19|~|~|~|Benign/Borderline|~|39959221|Female|Astrocytoma, NOS|2012|~|~|~
0-19|0.2|0.3|0.2|Malignant|83|39959221|Female|Astrocytoma, NOS|2012|0.2|0.3|0.2
0-19|~|~|~|Benign/Borderline|~|39877536|Female|Astrocytoma, NOS|2013|~|~|~
0-19|0.2|0.3|0.2|Malignant|94|39877536|Female|Astrocytoma, NOS|2013|0.2|0.3|0.2
0-19|0.0|0.1|0.1|Benign/Borderline|29|39865121|Female|Choroid plexus|2004|0.0|0.1|0.1
0-19|~|~|~|Malignant|~|39865121|Female|Choroid plexus|2004|~|~|~
0-19|0.0|0.1|0.0|Benign/Borderline|20|39998876|Female|Choroid plexus|2005|0.0|0.1|0.1
0-19|~|~|~|Malignant|~|39998876|Female|Choroid plexus|2005|~|~|~
0-19|0.0|0.1|0.1|Benign/Borderline|28|40165421|Female|Choroid plexus|2006|0.0|0.1|0.1
0-19|~|~|~|Malignant|~|40165421|Female|Choroid plexus|2006|~|~|~
0-19|0.0|0.1|0.1|Benign/Borderline|30|40382360|Female|Choroid plexus|2007|0.1|0.1|0.1
0-19|~|~|~|Malignant|~|40382360|Female|Choroid plexus|2007|~|~|~
0-19|0.1|0.1|0.1|Benign/Borderline|42|40576293|Female|Choroid plexus|2008|0.1|0.1|0.1
0-19|~|~|~|Malignant|~|40576293|Female|Choroid plexus|2008|~|~|~
0-19|0.0|0.1|0.1|Benign/Borderline|22|40670476|Female|Choroid plexus|2009|0.0|0.1|0.1
0-19|~|~|~|Malignant|~|40670476|Female|Choroid plexus|2009|~|~|~
0-19|0.1|0.1|0.1|Benign/Borderline|127|200535373|Female|Choroid plexus|2009-2013|0.1|0.1|0.1
0-19|0.0|0.0|0.0|Malignant|42|200535373|Female|Choroid plexus|2009-2013|0.0|0.0|0.0
0-19|0.0|0.1|0.1|Benign/Borderline|28|40634361|Female|Choroid plexus|2010|0.0|0.1|0.1
0-19|~|~|~|Malignant|~|40634361|Female|Choroid plexus|2010|~|~|~
0-19|0.0|0.1|0.1|Benign/Borderline|26|40110316|Female|Choroid plexus|2011|0.0|0.1|0.1
0-19|~|~|~|Malignant|~|40110316|Female|Choroid plexus|2011|~|~|~
0-19|0.0|0.1|0.1|Benign/Borderline|24|39959221|Female|Choroid plexus|2012|0.0|0.1|0.1
0-19|~|~|~|Malignant|~|39959221|Female|Choroid plexus|2012|~|~|~
0-19|0.0|0.1|0.1|Benign/Borderline|28|39877536|Female|Choroid plexus|2013|0.0|0.1|0.1
0-19|~|~|~|Malignant|~|39877536|Female|Choroid plexus|2013|~|~|~
0-19|0.2|0.3|0.2|Benign/Borderline|81|39865121|Female|Craniopharyngioma|2004|0.2|0.3|0.2
0-19|~|~|~|Malignant|~|39865121|Female|Craniopharyngioma|2004|~|~|~
0-19|0.1|0.2|0.2|Benign/Borderline|75|39998876|Female|Craniopharyngioma|2005|0.1|0.2|0.2
0-19|~|~|~|Malignant|~|39998876|Female|Craniopharyngioma|2005|~|~|~
0-19|0.1|0.2|0.2|Benign/Borderline|75|40165421|Female|Craniopharyngioma|2006|0.1|0.2|0.2
0-19|~|~|~|Malignant|~|40165421|Female|Craniopharyngioma|2006|~|~|~
0-19|0.2|0.3|0.2|Benign/Borderline|95|40382360|Female|Craniopharyngioma|2007|0.2|0.3|0.2
0-19|~|~|~|Malignant|~|40382360|Female|Craniopharyngioma|2007|~|~|~
0-19|0.1|0.2|0.2|Benign/Borderline|62|40576293|Female|Craniopharyngioma|2008|0.1|0.2|0.2
0-19|~|~|~|Malignant|~|40576293|Female|Craniopharyngioma|2008|~|~|~
0-19|0.2|0.3|0.2|Benign/Borderline|91|40670476|Female|Craniopharyngioma|2009|0.2|0.3|0.2
0-19|~|~|~|Malignant|~|40670476|Female|Craniopharyngioma|2009|~|~|~
0-19|0.2|0.2|0.2|Benign/Borderline|424|200535373|Female|Craniopharyngioma|2009-2013|0.2|0.2|0.2
0-19|~|~|~|Malignant|~|200535373|Female|Craniopharyngioma|2009-2013|~|~|~
0-19|0.2|0.3|0.2|Benign/Borderline|90|40634361|Female|Craniopharyngioma|2010|0.2|0.3|0.2
0-19|~|~|~|Malignant|~|40634361|Female|Craniopharyngioma|2010|~|~|~
0-19|0.2|0.3|0.2|Benign/Borderline|83|40110316|Female|Craniopharyngioma|2011|0.2|0.3|0.2
0-19|~|~|~|Malignant|~|40110316|Female|Craniopharyngioma|2011|~|~|~
0-19|0.2|0.2|0.2|Benign/Borderline|78|39959221|Female|Craniopharyngioma|2012|0.2|0.2|0.2
0-19|~|~|~|Malignant|~|39959221|Female|Craniopharyngioma|2012|~|~|~
0-19|0.2|0.3|0.2|Benign/Borderline|82|39877536|Female|Craniopharyngioma|2013|0.2|0.3|0.2
0-19|~|~|~|Malignant|~|39877536|Female|Craniopharyngioma|2013|~|~|~
0-19|~|~|~|Benign/Borderline|~|39865121|Female|Diffuse astrocytoma|2004|~|~|~
0-19|0.0|0.1|0.1|Malignant|20|39865121|Female|Diffuse astrocytoma|2004|0.0|0.1|0.1
0-19|~|~|~|Benign/Borderline|~|39998876|Female|Diffuse astrocytoma|2005|~|~|~
0-19|0.0|0.1|0.0|Malignant|20|39998876|Female|Diffuse astrocytoma|2005|0.0|0.1|0.1
0-19|~|~|~|Benign/Borderline|~|40165421|Female|Diffuse astrocytoma|2006|~|~|~
0-19|~|~|~|Malignant|~|40165421|Female|Diffuse astrocytoma|2006|~|~|~
0-19|~|~|~|Benign/Borderline|~|40382360|Female|Diffuse astrocytoma|2007|~|~|~
0-19|0.0|0.1|0.0|Malignant|17|40382360|Female|Diffuse astrocytoma|2007|0.0|0.1|0.0
0-19|~|~|~|Benign/Borderline|~|40576293|Female|Diffuse astrocytoma|2008|~|~|~
0-19|0.0|0.1|0.1|Malignant|21|40576293|Female|Diffuse astrocytoma|2008|0.0|0.1|0.1
0-19|~|~|~|Benign/Borderline|~|40670476|Female|Diffuse astrocytoma|2009|~|~|~
0-19|0.0|0.1|0.0|Malignant|18|40670476|Female|Diffuse astrocytoma|2009|0.0|0.1|0.0
0-19|~|~|~|Benign/Borderline|~|200535373|Female|Diffuse astrocytoma|2009-2013|~|~|~
0-19|0.0|0.0|0.0|Malignant|63|200535373|Female|Diffuse astrocytoma|2009-2013|0.0|0.0|0.0
0-19|~|~|~|Benign/Borderline|~|40634361|Female|Diffuse astrocytoma|2010|~|~|~
0-19|0.0|0.1|0.0|Malignant|18|40634361|Female|Diffuse astrocytoma|2010|0.0|0.1|0.0
0-19|~|~|~|Benign/Borderline|~|40110316|Female|Diffuse astrocytoma|2011|~|~|~
0-19|~|~|~|Malignant|~|40110316|Female|Diffuse astrocytoma|2011|~|~|~
0-19|~|~|~|Benign/Borderline|~|39959221|Female|Diffuse astrocytoma|2012|~|~|~
0-19|~|~|~|Malignant|~|39959221|Female|Diffuse astrocytoma|2012|~|~|~
0-19|~|~|~|Benign/Borderline|~|39877536|Female|Diffuse astrocytoma|2013|~|~|~
0-19|~|~|~|Malignant|~|39877536|Female|Diffuse astrocytoma|2013|~|~|~
0-19|~|~|~|Benign/Borderline|~|39865121|Female|Embryonal/primitive/medulloblastoma|2004|~|~|~
0-19|0.5|0.6|0.5|Malignant|216|39865121|Female|Embryonal/primitive/medulloblastoma|2004|0.5|0.6|0.5
0-19|~|~|~|Benign/Borderline|~|39998876|Female|Embryonal/primitive/medulloblastoma|2005|~|~|~
0-19|0.4|0.5|0.5|Malignant|185|39998876|Female|Embryonal/primitive/medulloblastoma|2005|0.4|0.5|0.5
0-19|~|~|~|Benign/Borderline|~|40165421|Female|Embryonal/primitive/medulloblastoma|2006|~|~|~
0-19|0.4|0.6|0.5|Malignant|202|40165421|Female|Embryonal/primitive/medulloblastoma|2006|0.4|0.6|0.5
0-19|~|~|~|Benign/Borderline|~|40382360|Female|Embryonal/primitive/medulloblastoma|2007|~|~|~
0-19|0.5|0.6|0.5|Malignant|219|40382360|Female|Embryonal/primitive/medulloblastoma|2007|0.5|0.6|0.5
0-19|~|~|~|Benign/Borderline|~|40576293|Female|Embryonal/primitive/medulloblastoma|2008|~|~|~
0-19|0.5|0.7|0.6|Malignant|231|40576293|Female|Embryonal/primitive/medulloblastoma|2008|0.5|0.6|0.6
0-19|~|~|~|Benign/Borderline|~|40670476|Female|Embryonal/primitive/medulloblastoma|2009|~|~|~
0-19|0.4|0.6|0.5|Malignant|203|40670476|Female|Embryonal/primitive/medulloblastoma|2009|0.4|0.6|0.5
0-19|~|~|~|Benign/Borderline|~|200535373|Female|Embryonal/primitive/medulloblastoma|2009-2013|~|~|~
0-19|0.4|0.5|0.5|Malignant|930|200535373|Female|Embryonal/primitive/medulloblastoma|2009-2013|0.4|0.5|0.5
0-19|~|~|~|Benign/Borderline|~|40634361|Female|Embryonal/primitive/medulloblastoma|2010|~|~|~
0-19|0.4|0.5|0.4|Malignant|174|40634361|Female|Embryonal/primitive/medulloblastoma|2010|0.4|0.5|0.4
0-19|~|~|~|Benign/Borderline|~|40110316|Female|Embryonal/primitive/medulloblastoma|2011|~|~|~
0-19|0.4|0.6|0.5|Malignant|193|40110316|Female|Embryonal/primitive/medulloblastoma|2011|0.4|0.6|0.5
0-19|~|~|~|Benign/Borderline|~|39959221|Female|Embryonal/primitive/medulloblastoma|2012|~|~|~
0-19|0.4|0.5|0.5|Malignant|183|39959221|Female|Embryonal/primitive/medulloblastoma|2012|0.4|0.5|0.5
0-19|~|~|~|Benign/Borderline|~|39877536|Female|Embryonal/primitive/medulloblastoma|2013|~|~|~
0-19|0.4|0.5|0.5|Malignant|182|39877536|Female|Embryonal/primitive/medulloblastoma|2013|0.4|0.5|0.5
0-19|~|~|~|Benign/Borderline|~|39865121|Female|Ependymoma variants|2004|~|~|~
0-19|~|~|~|Malignant|~|39865121|Female|Ependymoma variants|2004|~|~|~
0-19|~|~|~|Benign/Borderline|~|39998876|Female|Ependymoma variants|2005|~|~|~
0-19|~|~|~|Malignant|~|39998876|Female|Ependymoma variants|2005|~|~|~
0-19|~|~|~|Benign/Borderline|~|40165421|Female|Ependymoma variants|2006|~|~|~
0-19|~|~|~|Malignant|~|40165421|Female|Ependymoma variants|2006|~|~|~
0-19|~|~|~|Benign/Borderline|~|40382360|Female|Ependymoma variants|2007|~|~|~
0-19|~|~|~|Malignant|~|40382360|Female|Ependymoma variants|2007|~|~|~
0-19|~|~|~|Benign/Borderline|~|40576293|Female|Ependymoma variants|2008|~|~|~
0-19|~|~|~|Malignant|~|40576293|Female|Ependymoma variants|2008|~|~|~
0-19|~|~|~|Benign/Borderline|~|40670476|Female|Ependymoma variants|2009|~|~|~
0-19|~|~|~|Malignant|~|40670476|Female|Ependymoma variants|2009|~|~|~
0-19|0.0|0.0|0.0|Benign/Borderline|71|200535373|Female|Ependymoma variants|2009-2013|0.0|0.0|0.0
0-19|~|~|~|Malignant|~|200535373|Female|Ependymoma variants|2009-2013|~|~|~
0-19|~|~|~|Benign/Borderline|~|40634361|Female|Ependymoma variants|2010|~|~|~
0-19|~|~|~|Malignant|~|40634361|Female|Ependymoma variants|2010|~|~|~
0-19|0.0|0.1|0.0|Benign/Borderline|19|40110316|Female|Ependymoma variants|2011|0.0|0.1|0.0
0-19|~|~|~|Malignant|~|40110316|Female|Ependymoma variants|2011|~|~|~
0-19|~|~|~|Benign/Borderline|~|39959221|Female|Ependymoma variants|2012|~|~|~
0-19|~|~|~|Malignant|~|39959221|Female|Ependymoma variants|2012|~|~|~
0-19|0.0|0.1|0.0|Benign/Borderline|17|39877536|Female|Ependymoma variants|2013|0.0|0.1|0.0
0-19|~|~|~|Malignant|~|39877536|Female|Ependymoma variants|2013|~|~|~
0-19|~|~|~|Benign/Borderline|~|39865121|Female|Ependymoma/anaplastic ependymoma|2004|~|~|~
0-19|0.2|0.3|0.2|Malignant|96|39865121|Female|Ependymoma/anaplastic ependymoma|2004|0.2|0.3|0.2
0-19|~|~|~|Benign/Borderline|~|39998876|Female|Ependymoma/anaplastic ependymoma|2005|~|~|~
0-19|0.2|0.3|0.3|Malignant|111|39998876|Female|Ependymoma/anaplastic ependymoma|2005|0.2|0.3|0.3
0-19|~|~|~|Benign/Borderline|~|40165421|Female|Ependymoma/anaplastic ependymoma|2006|~|~|~
0-19|0.2|0.3|0.2|Malignant|97|40165421|Female|Ependymoma/anaplastic ependymoma|2006|0.2|0.3|0.2
0-19|~|~|~|Benign/Borderline|~|40382360|Female|Ependymoma/anaplastic ependymoma|2007|~|~|~
0-19|0.1|0.2|0.2|Malignant|71|40382360|Female|Ependymoma/anaplastic ependymoma|2007|0.1|0.2|0.2
0-19|~|~|~|Benign/Borderline|~|40576293|Female|Ependymoma/anaplastic ependymoma|2008|~|~|~
0-19|0.1|0.2|0.2|Malignant|75|40576293|Female|Ependymoma/anaplastic ependymoma|2008|0.1|0.2|0.2
0-19|~|~|~|Benign/Borderline|~|40670476|Female|Ependymoma/anaplastic ependymoma|2009|~|~|~
0-19|0.2|0.2|0.2|Malignant|80|40670476|Female|Ependymoma/anaplastic ependymoma|2009|0.2|0.2|0.2
0-19|~|~|~|Benign/Borderline|~|200535373|Female|Ependymoma/anaplastic ependymoma|2009-2013|~|~|~
0-19|0.2|0.2|0.2|Malignant|436|200535373|Female|Ependymoma/anaplastic ependymoma|2009-2013|0.2|0.2|0.2
0-19|~|~|~|Benign/Borderline|~|40634361|Female|Ependymoma/anaplastic ependymoma|2010|~|~|~
0-19|0.2|0.3|0.2|Malignant|90|40634361|Female|Ependymoma/anaplastic ependymoma|2010|0.2|0.3|0.2
0-19|~|~|~|Benign/Borderline|~|40110316|Female|Ependymoma/anaplastic ependymoma|2011|~|~|~
0-19|0.2|0.3|0.2|Malignant|96|40110316|Female|Ependymoma/anaplastic ependymoma|2011|0.2|0.3|0.2
0-19|~|~|~|Benign/Borderline|~|39959221|Female|Ependymoma/anaplastic ependymoma|2012|~|~|~
0-19|0.2|0.3|0.2|Malignant|86|39959221|Female|Ependymoma/anaplastic ependymoma|2012|0.2|0.3|0.2
0-19|~|~|~|Benign/Borderline|~|39877536|Female|Ependymoma/anaplastic ependymoma|2013|~|~|~
0-19|0.2|0.3|0.2|Malignant|86|39877536|Female|Ependymoma/anaplastic ependymoma|2013|0.2|0.3|0.2
0-19|~|~|~|Benign/Borderline|~|39865121|Female|Germ Cell Tumors|2004|~|~|~
0-19|0.1|0.1|0.1|Malignant|42|39865121|Female|Germ Cell Tumors|2004|0.1|0.1|0.1
0-19|~|~|~|Benign/Borderline|~|39998876|Female|Germ Cell Tumors|2005|~|~|~
0-19|0.1|0.2|0.1|Malignant|47|39998876|Female|Germ Cell Tumors|2005|0.1|0.2|0.1
0-19|0.0|0.1|0.0|Benign/Borderline|17|40165421|Female|Germ Cell Tumors|2006|0.0|0.1|0.0
0-19|0.0|0.1|0.1|Malignant|24|40165421|Female|Germ Cell Tumors|2006|0.0|0.1|0.1
0-19|~|~|~|Benign/Borderline|~|40382360|Female|Germ Cell Tumors|2007|~|~|~
0-19|0.1|0.1|0.1|Malignant|34|40382360|Female|Germ Cell Tumors|2007|0.1|0.1|0.1
0-19|0.0|0.1|0.0|Benign/Borderline|17|40576293|Female|Germ Cell Tumors|2008|0.0|0.1|0.0
0-19|0.0|0.1|0.1|Malignant|28|40576293|Female|Germ Cell Tumors|2008|0.0|0.1|0.1
0-19|0.0|0.1|0.0|Benign/Borderline|19|40670476|Female|Germ Cell Tumors|2009|0.0|0.1|0.0
0-19|0.1|0.1|0.1|Malignant|42|40670476|Female|Germ Cell Tumors|2009|0.1|0.1|0.1
0-19|0.0|0.1|0.0|Benign/Borderline|91|200535373|Female|Germ Cell Tumors|2009-2013|0.0|0.1|0.0
0-19|0.1|0.1|0.1|Malignant|198|200535373|Female|Germ Cell Tumors|2009-2013|0.1|0.1|0.1
0-19|0.0|0.1|0.0|Benign/Borderline|19|40634361|Female|Germ Cell Tumors|2010|0.0|0.1|0.0
0-19|0.1|0.2|0.1|Malignant|53|40634361|Female|Germ Cell Tumors|2010|0.1|0.2|0.1
0-19|0.0|0.1|0.1|Benign/Borderline|22|40110316|Female|Germ Cell Tumors|2011|0.0|0.1|0.1
0-19|0.1|0.1|0.1|Malignant|38|40110316|Female|Germ Cell Tumors|2011|0.1|0.1|0.1
0-19|~|~|~|Benign/Borderline|~|39959221|Female|Germ Cell Tumors|2012|~|~|~
0-19|0.0|0.1|0.1|Malignant|21|39959221|Female|Germ Cell Tumors|2012|0.0|0.1|0.1
0-19|0.0|0.1|0.0|Benign/Borderline|18|39877536|Female|Germ Cell Tumors|2013|0.0|0.1|0.0
0-19|0.1|0.1|0.1|Malignant|44|39877536|Female|Germ Cell Tumors|2013|0.1|0.1|0.1
0-19|~|~|~|Benign/Borderline|~|39865121|Female|Glioblastoma|2004|~|~|~
0-19|0.1|0.2|0.1|Malignant|53|39865121|Female|Glioblastoma|2004|0.1|0.2|0.1
0-19|~|~|~|Benign/Borderline|~|39998876|Female|Glioblastoma|2005|~|~|~
0-19|0.1|0.1|0.1|Malignant|38|39998876|Female|Glioblastoma|2005|0.1|0.1|0.1
0-19|~|~|~|Benign/Borderline|~|40165421|Female|Glioblastoma|2006|~|~|~
0-19|0.1|0.1|0.1|Malignant|44|40165421|Female|Glioblastoma|2006|0.1|0.1|0.1
0-19|~|~|~|Benign/Borderline|~|40382360|Female|Glioblastoma|2007|~|~|~
0-19|0.1|0.2|0.1|Malignant|60|40382360|Female|Glioblastoma|2007|0.1|0.2|0.1
0-19|~|~|~|Benign/Borderline|~|40576293|Female|Glioblastoma|2008|~|~|~
0-19|0.1|0.2|0.2|Malignant|62|40576293|Female|Glioblastoma|2008|0.1|0.2|0.2
0-19|~|~|~|Benign/Borderline|~|40670476|Female|Glioblastoma|2009|~|~|~
0-19|0.1|0.1|0.1|Malignant|39|40670476|Female|Glioblastoma|2009|0.1|0.1|0.1
0-19|~|~|~|Benign/Borderline|~|200535373|Female|Glioblastoma|2009-2013|~|~|~
0-19|0.1|0.2|0.1|Malignant|298|200535373|Female|Glioblastoma|2009-2013|0.1|0.2|0.1
0-19|~|~|~|Benign/Borderline|~|40634361|Female|Glioblastoma|2010|~|~|~
0-19|0.1|0.2|0.1|Malignant|51|40634361|Female|Glioblastoma|2010|0.1|0.2|0.1
0-19|~|~|~|Benign/Borderline|~|40110316|Female|Glioblastoma|2011|~|~|~
0-19|0.1|0.2|0.2|Malignant|69|40110316|Female|Glioblastoma|2011|0.1|0.2|0.2
0-19|~|~|~|Benign/Borderline|~|39959221|Female|Glioblastoma|2012|~|~|~
0-19|0.1|0.2|0.2|Malignant|72|39959221|Female|Glioblastoma|2012|0.1|0.2|0.2
0-19|~|~|~|Benign/Borderline|~|39877536|Female|Glioblastoma|2013|~|~|~
0-19|0.1|0.2|0.2|Malignant|68|39877536|Female|Glioblastoma|2013|0.1|0.2|0.2
0-19|~|~|~|Benign/Borderline|~|39865121|Female|Glioma malignant, NOS|2004|~|~|~
0-19|0.5|0.7|0.6|Malignant|231|39865121|Female|Glioma malignant, NOS|2004|0.5|0.7|0.6
