"Notes"	"Leading Cancer Sites"	"Leading Cancer Sites Code"	"State"	"State Code"	Deaths
	"Breast"	"26000"	"Delaware"	"10"	133
	"Breast"	"26000"	"District of Columbia"	"11"	108
	"Breast"	"26000"	"Florida"	"12"	2819
	"Breast"	"26000"	"Georgia"	"13"	1258
	"Breast"	"26000"	"Hawaii"	"15"	140
	"Breast"	"26000"	"Idaho"	"16"	207
	"Breast"	"26000"	"Illinois"	"17"	1783
	"Breast"	"26000"	"Indiana"	"18"	894
	"Breast"	"26000"	"Iowa"	"19"	386
	"Breast"	"26000"	"Kansas"	"20"	337
	"Breast"	"26000"	"Kentucky"	"21"	591
	"Breast"	"26000"	"Louisiana"	"22"	663
	"Breast"	"26000"	"Maine"	"23"	187
	"Breast"	"26000"	"Maryland"	"24"	797
	"Breast"	"26000"	"Massachusetts"	"25"	846
	"Breast"	"26000"	"Michigan"	"26"	1393
	"Breast"	"26000"	"Minnesota"	"27"	671
	"Breast"	"26000"	"Mississippi"	"28"	421
	"Breast"	"26000"	"Missouri"	"29"	866
	"Breast"	"26000"	"Montana"	"30"	139
	"Breast"	"26000"	"Nebraska"	"31"	248
	"Breast"	"26000"	"Nevada"	"32"	359
	"Breast"	"26000"	"New Hampshire"	"33"	177
	"Breast"	"26000"	"New Jersey"	"34"	1368
	"Breast"	"26000"	"New Mexico"	"35"	224
	"Breast"	"26000"	"New York"	"36"	2664
	"Breast"	"26000"	"North Carolina"	"37"	1265
	"Breast"	"26000"	"North Dakota"	"38"	79
	"Breast"	"26000"	"Ohio"	"39"	1796
	"Breast"	"26000"	"Oklahoma"	"40"	547
	"Breast"	"26000"	"Oregon"	"41"	523
	"Breast"	"26000"	"Pennsylvania"	"42"	2020
	"Breast"	"26000"	"Rhode Island"	"44"	144
	"Breast"	"26000"	"South Carolina"	"45"	648
	"Breast"	"26000"	"South Dakota"	"46"	111
	"Breast"	"26000"	"Tennessee"	"47"	934
	"Breast"	"26000"	"Texas"	"48"	2773
	"Breast"	"26000"	"Utah"	"49"	258
	"Breast"	"26000"	"Vermont"	"50"	80
	"Breast"	"26000"	"Virginia"	"51"	1068
	"Breast"	"26000"	"Washington"	"53"	867
	"Breast"	"26000"	"West Virginia"	"54"	284
	"Breast"	"26000"	"Wisconsin"	"55"	772
	"Breast"	"26000"	"Wyoming"	"56"	74
	"Cervix Uteri"	"27010"	"Alabama"	"01"	102
	"Cervix Uteri"	"27010"	"Arizona"	"04"	89
	"Cervix Uteri"	"27010"	"Arkansas"	"05"	55
	"Cervix Uteri"	"27010"	"California"	"06"	496
	"Cervix Uteri"	"27010"	"Colorado"	"08"	55
	"Cervix Uteri"	"27010"	"Connecticut"	"09"	33
	"Cervix Uteri"	"27010"	"Florida"	"12"	352
	"Cervix Uteri"	"27010"	"Georgia"	"13"	121
	"Cervix Uteri"	"27010"	"Hawaii"	"15"	19
	"Cervix Uteri"	"27010"	"Illinois"	"17"	171
	"Cervix Uteri"	"27010"	"Indiana"	"18"	82
	"Cervix Uteri"	"27010"	"Iowa"	"19"	41
	"Cervix Uteri"	"27010"	"Kansas"	"20"	27
	"Cervix Uteri"	"27010"	"Kentucky"	"21"	73
	"Cervix Uteri"	"27010"	"Louisiana"	"22"	87
	"Cervix Uteri"	"27010"	"Maryland"	"24"	70
	"Cervix Uteri"	"27010"	"Massachusetts"	"25"	40
	"Cervix Uteri"	"27010"	"Michigan"	"26"	129
	"Cervix Uteri"	"27010"	"Minnesota"	"27"	51
	"Cervix Uteri"	"27010"	"Mississippi"	"28"	68
	"Cervix Uteri"	"27010"	"Missouri"	"29"	98
	"Cervix Uteri"	"27010"	"Montana"	"30"	19
	"Cervix Uteri"	"27010"	"Nebraska"	"31"	25
	"Cervix Uteri"	"27010"	"Nevada"	"32"	36
	"Cervix Uteri"	"27010"	"New Jersey"	"34"	104
	"Cervix Uteri"	"27010"	"New Mexico"	"35"	22
	"Cervix Uteri"	"27010"	"New York"	"36"	288
	"Cervix Uteri"	"27010"	"North Carolina"	"37"	128
	"Cervix Uteri"	"27010"	"Ohio"	"39"	171
	"Cervix Uteri"	"27010"	"Oklahoma"	"40"	47
	"Cervix Uteri"	"27010"	"Oregon"	"41"	41
	"Cervix Uteri"	"27010"	"Pennsylvania"	"42"	170
	"Cervix Uteri"	"27010"	"South Carolina"	"45"	75
	"Cervix Uteri"	"27010"	"Tennessee"	"47"	111
	"Cervix Uteri"	"27010"	"Texas"	"48"	365
	"Cervix Uteri"	"27010"	"Utah"	"49"	22
	"Cervix Uteri"	"27010"	"Virginia"	"51"	83
	"Cervix Uteri"	"27010"	"Washington"	"53"	77
	"Cervix Uteri"	"27010"	"West Virginia"	"54"	34
	"Cervix Uteri"	"27010"	"Wisconsin"	"55"	42
	"Colon and Rectum"	"21041-21052"	"Alabama"	"01"	982
	"Colon and Rectum"	"21041-21052"	"Alaska"	"02"	99
	"Colon and Rectum"	"21041-21052"	"Arizona"	"04"	987
	"Colon and Rectum"	"21041-21052"	"Arkansas"	"05"	623
	"Colon and Rectum"	"21041-21052"	"California"	"06"	5179
	"Colon and Rectum"	"21041-21052"	"Colorado"	"08"	640
	"Colon and Rectum"	"21041-21052"	"Connecticut"	"09"	537
	"Colon and Rectum"	"21041-21052"	"Delaware"	"10"	151
	"Colon and Rectum"	"21041-21052"	"District of Columbia"	"11"	86
	"Colon and Rectum"	"21041-21052"	"Florida"	"12"	3698
	"Colon and Rectum"	"21041-21052"	"Georgia"	"13"	1452
	"Colon and Rectum"	"21041-21052"	"Hawaii"	"15"	245
	"Colon and Rectum"	"21041-21052"	"Idaho"	"16"	232
	"Colon and Rectum"	"21041-21052"	"Illinois"	"17"	2265
	"Colon and Rectum"	"21041-21052"	"Indiana"	"18"	1135
	"Colon and Rectum"	"21041-21052"	"Iowa"	"19"	606
	"Colon and Rectum"	"21041-21052"	"Kansas"	"20"	506
	"Colon and Rectum"	"21041-21052"	"Kentucky"	"21"	849
	"Colon and Rectum"	"21041-21052"	"Louisiana"	"22"	909
	"Colon and Rectum"	"21041-21052"	"Maine"	"23"	230
	"Colon and Rectum"	"21041-21052"	"Maryland"	"24"	919
	"Colon and Rectum"	"21041-21052"	"Massachusetts"	"25"	1039
	"Colon and Rectum"	"21041-21052"	"Michigan"	"26"	1730
	"Colon and Rectum"	"21041-21052"	"Minnesota"	"27"	792
	"Colon and Rectum"	"21041-21052"	"Mississippi"	"28"	615
	"Colon and Rectum"	"21041-21052"	"Missouri"	"29"	1116
	"Colon and Rectum"	"21041-21052"	"Montana"	"30"	161
	"Colon and Rectum"	"21041-21052"	"Nebraska"	"31"	320
	"Colon and Rectum"	"21041-21052"	"Nevada"	"32"	482
	"Colon and Rectum"	"21041-21052"	"New Hampshire"	"33"	207
	"Colon and Rectum"	"21041-21052"	"New Jersey"	"34"	1542
	"Colon and Rectum"	"21041-21052"	"New Mexico"	"35"	338
	"Colon and Rectum"	"21041-21052"	"New York"	"36"	3189
	"Colon and Rectum"	"21041-21052"	"North Carolina"	"37"	1441
	"Colon and Rectum"	"21041-21052"	"North Dakota"	"38"	135
	"Colon and Rectum"	"21041-21052"	"Ohio"	"39"	2258
	"Colon and Rectum"	"21041-21052"	"Oklahoma"	"40"	746
	"Colon and Rectum"	"21041-21052"	"Oregon"	"41"	670
	"Colon and Rectum"	"21041-21052"	"Pennsylvania"	"42"	2657
	"Colon and Rectum"	"21041-21052"	"Rhode Island"	"44"	179
	"Colon and Rectum"	"21041-21052"	"South Carolina"	"45"	823
	"Colon and Rectum"	"21041-21052"	"South Dakota"	"46"	167
	"Colon and Rectum"	"21041-21052"	"Tennessee"	"47"	1219
	"Colon and Rectum"	"21041-21052"	"Texas"	"48"	3581
	"Colon and Rectum"	"21041-21052"	"Utah"	"49"	252
	"Colon and Rectum"	"21041-21052"	"Vermont"	"50"	113
	"Colon and Rectum"	"21041-21052"	"Virginia"	"51"	1203
	"Colon and Rectum"	"21041-21052"	"Washington"	"53"	970
	"Colon and Rectum"	"21041-21052"	"West Virginia"	"54"	484
	"Colon and Rectum"	"21041-21052"	"Wisconsin"	"55"	975
	"Colon and Rectum"	"21041-21052"	"Wyoming"	"56"	79
	"Corpus Uteri"	"27020"	"Alabama"	"01"	48
	"Corpus Uteri"	"27020"	"Arizona"	"04"	56
	"Corpus Uteri"	"27020"	"Arkansas"	"05"	16
	"Corpus Uteri"	"27020"	"California"	"06"	369
	"Corpus Uteri"	"27020"	"Colorado"	"08"	45
	"Corpus Uteri"	"27020"	"Connecticut"	"09"	43
	"Corpus Uteri"	"27020"	"Delaware"	"10"	17
	"Corpus Uteri"	"27020"	"Florida"	"12"	252
	"Corpus Uteri"	"27020"	"Georgia"	"13"	124
	"Corpus Uteri"	"27020"	"Hawaii"	"15"	18
	"Corpus Uteri"	"27020"	"Idaho"	"16"	20
	"Corpus Uteri"	"27020"	"Illinois"	"17"	160
	"Corpus Uteri"	"27020"	"Indiana"	"18"	118
	"Corpus Uteri"	"27020"	"Iowa"	"19"	58
	"Corpus Uteri"	"27020"	"Kansas"	"20"	19
	"Corpus Uteri"	"27020"	"Kentucky"	"21"	57
	"Corpus Uteri"	"27020"	"Louisiana"	"22"	43
	"Corpus Uteri"	"27020"	"Maine"	"23"	21
	"Corpus Uteri"	"27020"	"Maryland"	"24"	88
	"Corpus Uteri"	"27020"	"Massachusetts"	"25"	129
	"Corpus Uteri"	"27020"	"Michigan"	"26"	126
	"Corpus Uteri"	"27020"	"Minnesota"	"27"	79
	"Corpus Uteri"	"27020"	"Mississippi"	"28"	21
	"Corpus Uteri"	"27020"	"Missouri"	"29"	75
	"Corpus Uteri"	"27020"	"Montana"	"30"	24
	"Corpus Uteri"	"27020"	"Nebraska"	"31"	40
	"Corpus Uteri"	"27020"	"Nevada"	"32"	24
	"Corpus Uteri"	"27020"	"New Hampshire"	"33"	22
	"Corpus Uteri"	"27020"	"New Jersey"	"34"	126
	"Corpus Uteri"	"27020"	"New Mexico"	"35"	24
	"Corpus Uteri"	"27020"	"New York"	"36"	314
	"Corpus Uteri"	"27020"	"North Carolina"	"37"	136
	"Corpus Uteri"	"27020"	"Ohio"	"39"	165
	"Corpus Uteri"	"27020"	"Oklahoma"	"40"	26
	"Corpus Uteri"	"27020"	"Oregon"	"41"	56
	"Corpus Uteri"	"27020"	"Pennsylvania"	"42"	216
	"Corpus Uteri"	"27020"	"Rhode Island"	"44"	21
	"Corpus Uteri"	"27020"	"South Carolina"	"45"	64
	"Corpus Uteri"	"27020"	"Tennessee"	"47"	49
	"Corpus Uteri"	"27020"	"Texas"	"48"	210
	"Corpus Uteri"	"27020"	"Utah"	"49"	26
	"Corpus Uteri"	"27020"	"Vermont"	"50"	16
	"Corpus Uteri"	"27020"	"Virginia"	"51"	95
	"Corpus Uteri"	"27020"	"Washington"	"53"	98
	"Corpus Uteri"	"27020"	"West Virginia"	"54"	25
	"Corpus Uteri"	"27020"	"Wisconsin"	"55"	93
	"Esophagus"	"21010"	"Alabama"	"01"	212
	"Esophagus"	"21010"	"Alaska"	"02"	31
	"Esophagus"	"21010"	"Arizona"	"04"	328
	"Esophagus"	"21010"	"Arkansas"	"05"	161
	"Esophagus"	"21010"	"California"	"06"	1252
	"Esophagus"	"21010"	"Colorado"	"08"	215
	"Esophagus"	"21010"	"Connecticut"	"09"	188
	"Esophagus"	"21010"	"Delaware"	"10"	49
	"Esophagus"	"21010"	"District of Columbia"	"11"	23
	"Esophagus"	"21010"	"Florida"	"12"	1064
	"Esophagus"	"21010"	"Georgia"	"13"	408
	"Esophagus"	"21010"	"Hawaii"	"15"	45
	"Esophagus"	"21010"	"Idaho"	"16"	72
	"Esophagus"	"21010"	"Illinois"	"17"	646
	"Esophagus"	"21010"	"Indiana"	"18"	357
	"Esophagus"	"21010"	"Iowa"	"19"	161
	"Esophagus"	"21010"	"Kansas"	"20"	154
	"Esophagus"	"21010"	"Kentucky"	"21"	227
	"Esophagus"	"21010"	"Louisiana"	"22"	238
	"Esophagus"	"21010"	"Maine"	"23"	101
	"Esophagus"	"21010"	"Maryland"	"24"	253
	"Esophagus"	"21010"	"Massachusetts"	"25"	344
	"Esophagus"	"21010"	"Michigan"	"26"	552
	"Esophagus"	"21010"	"Minnesota"	"27"	250
	"Esophagus"	"21010"	"Mississippi"	"28"	166
	"Esophagus"	"21010"	"Missouri"	"29"	335
	"Esophagus"	"21010"	"Montana"	"30"	47
	"Esophagus"	"21010"	"Nebraska"	"31"	93
	"Esophagus"	"21010"	"Nevada"	"32"	129
	"Esophagus"	"21010"	"New Hampshire"	"33"	93
	"Esophagus"	"21010"	"New Jersey"	"34"	382
	"Esophagus"	"21010"	"New Mexico"	"35"	78
	"Esophagus"	"21010"	"New York"	"36"	891
	"Esophagus"	"21010"	"North Carolina"	"37"	459
	"Esophagus"	"21010"	"North Dakota"	"38"	31
	"Esophagus"	"21010"	"Ohio"	"39"	707
	"Esophagus"	"21010"	"Oklahoma"	"40"	183
	"Esophagus"	"21010"	"Oregon"	"41"	213
	"Esophagus"	"21010"	"Pennsylvania"	"42"	796
	"Esophagus"	"21010"	"Rhode Island"	"44"	60
	"Esophagus"	"21010"	"South Carolina"	"45"	231
	"Esophagus"	"21010"	"South Dakota"	"46"	44
	"Esophagus"	"21010"	"Tennessee"	"47"	324
	"Esophagus"	"21010"	"Texas"	"48"	847
	"Esophagus"	"21010"	"Utah"	"49"	83
	"Esophagus"	"21010"	"Vermont"	"50"	38
	"Esophagus"	"21010"	"Virginia"	"51"	354
	"Esophagus"	"21010"	"Washington"	"53"	282
	"Esophagus"	"21010"	"West Virginia"	"54"	113
	"Esophagus"	"21010"	"Wisconsin"	"55"	351
	"Esophagus"	"21010"	"Wyoming"	"56"	28
	"Gallbladder"	"21080"	"Alabama"	"01"	22
	"Gallbladder"	"21080"	"Arizona"	"04"	44
	"Gallbladder"	"21080"	"Arkansas"	"05"	19
	"Gallbladder"	"21080"	"California"	"06"	254
	"Gallbladder"	"21080"	"Colorado"	"08"	25
	"Gallbladder"	"21080"	"Connecticut"	"09"	30
	"Gallbladder"	"21080"	"Delaware"	"10"	16
	"Gallbladder"	"21080"	"Florida"	"12"	127
	"Gallbladder"	"21080"	"Georgia"	"13"	57
	"Gallbladder"	"21080"	"Illinois"	"17"	99
	"Gallbladder"	"21080"	"Indiana"	"18"	57
	"Gallbladder"	"21080"	"Iowa"	"19"	26
	"Gallbladder"	"21080"	"Kansas"	"20"	17
	"Gallbladder"	"21080"	"Kentucky"	"21"	37
	"Gallbladder"	"21080"	"Louisiana"	"22"	27
	"Gallbladder"	"21080"	"Maryland"	"24"	51
	"Gallbladder"	"21080"	"Massachusetts"	"25"	41
	"Gallbladder"	"21080"	"Michigan"	"26"	64
	"Gallbladder"	"21080"	"Minnesota"	"27"	42
	"Gallbladder"	"21080"	"Missouri"	"29"	50
	"Gallbladder"	"21080"	"Nebraska"	"31"	17
	"Gallbladder"	"21080"	"New Jersey"	"34"	76
	"Gallbladder"	"21080"	"New Mexico"	"35"	17
	"Gallbladder"	"21080"	"New York"	"36"	171
	"Gallbladder"	"21080"	"North Carolina"	"37"	63
	"Gallbladder"	"21080"	"Ohio"	"39"	69
	"Gallbladder"	"21080"	"Oklahoma"	"40"	30
	"Gallbladder"	"21080"	"Oregon"	"41"	29
	"Gallbladder"	"21080"	"Pennsylvania"	"42"	94
	"Gallbladder"	"21080"	"South Carolina"	"45"	30
	"Gallbladder"	"21080"	"Tennessee"	"47"	32
	"Gallbladder"	"21080"	"Texas"	"48"	168
	"Gallbladder"	"21080"	"Virginia"	"51"	54
	"Gallbladder"	"21080"	"Washington"	"53"	47
	"Gallbladder"	"21080"	"West Virginia"	"54"	16
	"Gallbladder"	"21080"	"Wisconsin"	"55"	41
	"Kidney and Renal Pelvis"	"29020"	"Alabama"	"01"	241
	"Kidney and Renal Pelvis"	"29020"	"Alaska"	"02"	28
	"Kidney and Renal Pelvis"	"29020"	"Arizona"	"04"	280
	"Kidney and Renal Pelvis"	"29020"	"Arkansas"	"05"	173
	"Kidney and Renal Pelvis"	"29020"	"California"	"06"	1355
	"Kidney and Renal Pelvis"	"29020"	"Colorado"	"08"	186
	"Kidney and Renal Pelvis"	"29020"	"Connecticut"	"09"	123
	"Kidney and Renal Pelvis"	"29020"	"Delaware"	"10"	55
	"Kidney and Renal Pelvis"	"29020"	"District of Columbia"	"11"	16
	"Kidney and Renal Pelvis"	"29020"	"Florida"	"12"	920
	"Kidney and Renal Pelvis"	"29020"	"Georgia"	"13"	356
	"Kidney and Renal Pelvis"	"29020"	"Hawaii"	"15"	47
	"Kidney and Renal Pelvis"	"29020"	"Idaho"	"16"	66
	"Kidney and Renal Pelvis"	"29020"	"Illinois"	"17"	625
	"Kidney and Renal Pelvis"	"29020"	"Indiana"	"18"	305
	"Kidney and Renal Pelvis"	"29020"	"Iowa"	"19"	186
	"Kidney and Renal Pelvis"	"29020"	"Kansas"	"20"	140
	"Kidney and Renal Pelvis"	"29020"	"Kentucky"	"21"	240
	"Kidney and Renal Pelvis"	"29020"	"Louisiana"	"22"	231
	"Kidney and Renal Pelvis"	"29020"	"Maine"	"23"	78
	"Kidney and Renal Pelvis"	"29020"	"Maryland"	"24"	237
	"Kidney and Renal Pelvis"	"29020"	"Massachusetts"	"25"	276
	"Kidney and Renal Pelvis"	"29020"	"Michigan"	"26"	513
	"Kidney and Renal Pelvis"	"29020"	"Minnesota"	"27"	260
	"Kidney and Renal Pelvis"	"29020"	"Mississippi"	"28"	157
	"Kidney and Renal Pelvis"	"29020"	"Missouri"	"29"	340
	"Kidney and Renal Pelvis"	"29020"	"Montana"	"30"	47
	"Kidney and Renal Pelvis"	"29020"	"Nebraska"	"31"	88
	"Kidney and Renal Pelvis"	"29020"	"Nevada"	"32"	97
	"Kidney and Renal Pelvis"	"29020"	"New Hampshire"	"33"	73
	"Kidney and Renal Pelvis"	"29020"	"New Jersey"	"34"	334
	"Kidney and Renal Pelvis"	"29020"	"New Mexico"	"35"	107
	"Kidney and Renal Pelvis"	"29020"	"New York"	"36"	691
	"Kidney and Renal Pelvis"	"29020"	"North Carolina"	"37"	426
	"Kidney and Renal Pelvis"	"29020"	"North Dakota"	"38"	22
	"Kidney and Renal Pelvis"	"29020"	"Ohio"	"39"	609
	"Kidney and Renal Pelvis"	"29020"	"Oklahoma"	"40"	247
	"Kidney and Renal Pelvis"	"29020"	"Oregon"	"41"	182
	"Kidney and Renal Pelvis"	"29020"	"Pennsylvania"	"42"	631
	"Kidney and Renal Pelvis"	"29020"	"Rhode Island"	"44"	56
	"Kidney and Renal Pelvis"	"29020"	"South Carolina"	"45"	230
	"Kidney and Renal Pelvis"	"29020"	"South Dakota"	"46"	45
	"Kidney and Renal Pelvis"	"29020"	"Tennessee"	"47"	363
	"Kidney and Renal Pelvis"	"29020"	"Texas"	"48"	1109
	"Kidney and Renal Pelvis"	"29020"	"Utah"	"49"	74
	"Kidney and Renal Pelvis"	"29020"	"Vermont"	"50"	22
	"Kidney and Renal Pelvis"	"29020"	"Virginia"	"51"	313
	"Kidney and Renal Pelvis"	"29020"	"Washington"	"53"	274
	"Kidney and Renal Pelvis"	"29020"	"West Virginia"	"54"	118
	"Kidney and Renal Pelvis"	"29020"	"Wisconsin"	"55"	298
	"Kidney and Renal Pelvis"	"29020"	"Wyoming"	"56"	16
	"Larynx"	"22020"	"Alabama"	"01"	63
	"Larynx"	"22020"	"Arizona"	"04"	55
	"Larynx"	"22020"	"Arkansas"	"05"	33
	"Larynx"	"22020"	"California"	"06"	283
	"Larynx"	"22020"	"Colorado"	"08"	29
	"Larynx"	"22020"	"Connecticut"	"09"	36
	"Larynx"	"22020"	"Florida"	"12"	297
	"Larynx"	"22020"	"Georgia"	"13"	95
	"Larynx"	"22020"	"Hawaii"	"15"	20
	"Larynx"	"22020"	"Illinois"	"17"	181
	"Larynx"	"22020"	"Indiana"	"18"	76
	"Larynx"	"22020"	"Iowa"	"19"	40
	"Larynx"	"22020"	"Kansas"	"20"	27
	"Larynx"	"22020"	"Kentucky"	"21"	79
	"Larynx"	"22020"	"Louisiana"	"22"	75
	"Larynx"	"22020"	"Maine"	"23"	29
	"Larynx"	"22020"	"Maryland"	"24"	69
	"Larynx"	"22020"	"Massachusetts"	"25"	70
	"Larynx"	"22020"	"Michigan"	"26"	158
	"Larynx"	"22020"	"Minnesota"	"27"	32
	"Larynx"	"22020"	"Mississippi"	"28"	36
	"Larynx"	"22020"	"Missouri"	"29"	85
	"Larynx"	"22020"	"Nebraska"	"31"	28
	"Larynx"	"22020"	"New Jersey"	"34"	130
	"Larynx"	"22020"	"New Mexico"	"35"	19
	"Larynx"	"22020"	"New York"	"36"	274
	"Larynx"	"22020"	"North Carolina"	"37"	131
	"Larynx"	"22020"	"Ohio"	"39"	169
	"Larynx"	"22020"	"Oklahoma"	"40"	37
	"Larynx"	"22020"	"Oregon"	"41"	38
	"Larynx"	"22020"	"Pennsylvania"	"42"	194
	"Larynx"	"22020"	"South Carolina"	"45"	79
	"Larynx"	"22020"	"Tennessee"	"47"	110
	"Larynx"	"22020"	"Texas"	"48"	278
	"Larynx"	"22020"	"Virginia"	"51"	88
	"Larynx"	"22020"	"Washington"	"53"	67
	"Larynx"	"22020"	"West Virginia"	"54"	46
	"Larynx"	"22020"	"Wisconsin"	"55"	50
	"Leukemias"	"35011-35043"	"Alabama"	"01"	376
	"Leukemias"	"35011-35043"	"Alaska"	"02"	29
	"Leukemias"	"35011-35043"	"Arizona"	"04"	504
	"Leukemias"	"35011-35043"	"Arkansas"	"05"	279
	"Leukemias"	"35011-35043"	"California"	"06"	2470
	"Leukemias"	"35011-35043"	"Colorado"	"08"	304
	"Leukemias"	"35011-35043"	"Connecticut"	"09"	282
	"Leukemias"	"35011-35043"	"Delaware"	"10"	59
	"Leukemias"	"35011-35043"	"District of Columbia"	"11"	30
	"Leukemias"	"35011-35043"	"Florida"	"12"	1719
	"Leukemias"	"35011-35043"	"Georgia"	"13"	601
	"Leukemias"	"35011-35043"	"Hawaii"	"15"	79
	"Leukemias"	"35011-35043"	"Idaho"	"16"	103
	"Leukemias"	"35011-35043"	"Illinois"	"17"	1042
	"Leukemias"	"35011-35043"	"Indiana"	"18"	495
	"Leukemias"	"35011-35043"	"Iowa"	"19"	282
	"Leukemias"	"35011-35043"	"Kansas"	"20"	234
	"Leukemias"	"35011-35043"	"Kentucky"	"21"	371
	"Leukemias"	"35011-35043"	"Louisiana"	"22"	322
	"Leukemias"	"35011-35043"	"Maine"	"23"	114
	"Leukemias"	"35011-35043"	"Maryland"	"24"	440
	"Leukemias"	"35011-35043"	"Massachusetts"	"25"	550
	"Leukemias"	"35011-35043"	"Michigan"	"26"	799
	"Leukemias"	"35011-35043"	"Minnesota"	"27"	438
	"Leukemias"	"35011-35043"	"Mississippi"	"28"	237
	"Leukemias"	"35011-35043"	"Missouri"	"29"	507
	"Leukemias"	"35011-35043"	"Montana"	"30"	86
	"Leukemias"	"35011-35043"	"Nebraska"	"31"	136
	"Leukemias"	"35011-35043"	"Nevada"	"32"	196
	"Leukemias"	"35011-35043"	"New Hampshire"	"33"	103
	"Leukemias"	"35011-35043"	"New Jersey"	"34"	643
	"Leukemias"	"35011-35043"	"New Mexico"	"35"	138
	"Leukemias"	"35011-35043"	"New York"	"36"	1441
	"Leukemias"	"35011-35043"	"North Carolina"	"37"	673
	"Leukemias"	"35011-35043"	"North Dakota"	"38"	54
	"Leukemias"	"35011-35043"	"Ohio"	"39"	960
	"Leukemias"	"35011-35043"	"Oklahoma"	"40"	319
	"Leukemias"	"35011-35043"	"Oregon"	"41"	328
