AGE|AGE_SPECIFIC_CI_LOWER|AGE_SPECIFIC_CI_UPPER|AGE_SPECIFIC_RATE|COUNT|ICCC_GROUP|POPULATION|YEAR
15-19|~|~|~|~|II(d) Miscellaneous lymphoreticular neoplasms|18711679|1999
5-9|~|~|~|~|II(d) Miscellaneous lymphoreticular neoplasms|19255907|1999
<1|3.2|8.4|5.4|19|II(d) Miscellaneous lymphoreticular neoplasms|3542217|1999
1-4|~|~|~|~|II(e) Unspecified lymphomas|14328395|1999
10-14|~|~|~|~|II(e) Unspecified lymphomas|18868530|1999
15-19|0.7|1.7|1.1|20|II(e) Unspecified lymphomas|18711679|1999
5-9|~|~|~|~|II(e) Unspecified lymphomas|19255907|1999
<1|~|~|~|~|II(e) Unspecified lymphomas|3542217|1999
1-4|35.2|41.7|38.4|550|III CNS and misc intracranial and intraspinal neoplasms|14328395|1999
10-14|23.7|28.3|25.9|489|III CNS and misc intracranial and intraspinal neoplasms|18868530|1999
15-19|18.0|22.1|19.9|373|III CNS and misc intracranial and intraspinal neoplasms|18711679|1999
5-9|30.2|35.3|32.7|629|III CNS and misc intracranial and intraspinal neoplasms|19255907|1999
<1|24.5|36.2|29.9|106|III CNS and misc intracranial and intraspinal neoplasms|3542217|1999
1-4|3.4|5.6|4.4|63|III(a) Ependymomas and choroid plexus tumor|14328395|1999
10-14|1.6|2.9|2.2|41|III(a) Ependymomas and choroid plexus tumor|18868530|1999
15-19|1.1|2.3|1.6|30|III(a) Ependymomas and choroid plexus tumor|18711679|1999
5-9|1.6|3.0|2.2|43|III(a) Ependymomas and choroid plexus tumor|19255907|1999
<1|2.8|7.7|4.8|17|III(a) Ependymomas and choroid plexus tumor|3542217|1999
1-4|13.8|18.0|15.8|227|III(b) Astrocytomas|14328395|1999
10-14|12.0|15.4|13.6|257|III(b) Astrocytomas|18868530|1999
15-19|9.7|12.7|11.1|208|III(b) Astrocytomas|18711679|1999
5-9|12.7|16.1|14.3|276|III(b) Astrocytomas|19255907|1999
<1|9.0|16.7|12.4|44|III(b) Astrocytomas|3542217|1999
1-4|8.9|12.3|10.5|150|III(c) Intracranial and intraspinal embryonal tumors|14328395|1999
10-14|4.8|7.1|5.9|111|III(c) Intracranial and intraspinal embryonal tumors|18868530|1999
15-19|2.4|4.1|3.2|59|III(c) Intracranial and intraspinal embryonal tumors|18711679|1999
5-9|7.1|9.8|8.4|161|III(c) Intracranial and intraspinal embryonal tumors|19255907|1999
<1|3.9|9.4|6.2|22|III(c) Intracranial and intraspinal embryonal tumors|3542217|1999
1-4|4.9|7.6|6.1|88|III(d) Other gliomas|14328395|1999
10-14|2.7|4.4|3.4|65|III(d) Other gliomas|18868530|1999
15-19|2.4|4.1|3.2|60|III(d) Other gliomas|18711679|1999
5-9|5.6|8.0|6.7|129|III(d) Other gliomas|19255907|1999
<1|~|~|~|~|III(d) Other gliomas|3542217|1999
1-4|~|~|~|~|III(e) Other specified intracranial & intraspinal neoplasms|14328395|1999
10-14|~|~|~|~|III(e) Other specified intracranial & intraspinal neoplasms|18868530|1999
15-19|~|~|~|~|III(e) Other specified intracranial & intraspinal neoplasms|18711679|1999
5-9|~|~|~|~|III(e) Other specified intracranial & intraspinal neoplasms|19255907|1999
<1|~|~|~|~|III(e) Other specified intracranial & intraspinal neoplasms|3542217|1999
1-4|0.7|1.9|1.2|17|III(f) Unspecified intracranial and intraspinal neoplasms|14328395|1999
10-14|~|~|~|~|III(f) Unspecified intracranial and intraspinal neoplasms|18868530|1999
15-19|~|~|~|~|III(f) Unspecified intracranial and intraspinal neoplasms|18711679|1999
5-9|~|~|~|~|III(f) Unspecified intracranial and intraspinal neoplasms|19255907|1999
<1|~|~|~|~|III(f) Unspecified intracranial and intraspinal neoplasms|3542217|1999
1-4|18.6|23.4|20.9|299|IV Neuroblastoma and other peripheral nervous cell tumors|14328395|1999
10-14|0.7|1.8|1.2|22|IV Neuroblastoma and other peripheral nervous cell tumors|18868530|1999
15-19|0.7|1.7|1.1|20|IV Neuroblastoma and other peripheral nervous cell tumors|18711679|1999
5-9|2.1|3.7|2.8|54|IV Neuroblastoma and other peripheral nervous cell tumors|19255907|1999
<1|51.5|67.9|59.3|210|IV Neuroblastoma and other peripheral nervous cell tumors|3542217|1999
1-4|18.6|23.4|20.9|299|IV(a) Neuroblastoma and ganglioneuroblastoma|14328395|1999
10-14|~|~|~|~|IV(a) Neuroblastoma and ganglioneuroblastoma|18868530|1999
15-19|~|~|~|~|IV(a) Neuroblastoma and ganglioneuroblastoma|18711679|1999
5-9|2.0|3.5|2.7|52|IV(a) Neuroblastoma and ganglioneuroblastoma|19255907|1999
<1|51.5|67.9|59.3|210|IV(a) Neuroblastoma and ganglioneuroblastoma|3542217|1999
1-4|~|~|~|~|IV(b) Other peripheral nervous cell tumors|14328395|1999
10-14|~|~|~|~|IV(b) Other peripheral nervous cell tumors|18868530|1999
15-19|~|~|~|~|IV(b) Other peripheral nervous cell tumors|18711679|1999
5-9|~|~|~|~|IV(b) Other peripheral nervous cell tumors|19255907|1999
<1|~|~|~|~|IV(b) Other peripheral nervous cell tumors|3542217|1999
1-4|8.0|11.3|9.6|137|IX Soft tissue and other extraosseous sarcomas|14328395|1999
10-14|8.0|10.8|9.3|175|IX Soft tissue and other extraosseous sarcomas|18868530|1999
15-19|13.4|16.9|15.1|282|IX Soft tissue and other extraosseous sarcomas|18711679|1999
5-9|7.3|9.9|8.5|164|IX Soft tissue and other extraosseous sarcomas|19255907|1999
<1|10.7|18.9|14.4|51|IX Soft tissue and other extraosseous sarcomas|3542217|1999
1-4|5.1|7.8|6.4|91|IX(a) Rhabdomyosarcomas|14328395|1999
10-14|2.5|4.2|3.3|62|IX(a) Rhabdomyosarcomas|18868530|1999
15-19|2.6|4.4|3.4|64|IX(a) Rhabdomyosarcomas|18711679|1999
5-9|3.9|5.9|4.8|93|IX(a) Rhabdomyosarcomas|19255907|1999
<1|5.0|11.1|7.6|27|IX(a) Rhabdomyosarcomas|3542217|1999
1-4|~|~|~|~|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|14328395|1999
10-14|~|~|~|~|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|18868530|1999
15-19|1.2|2.4|1.7|32|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|18711679|1999
5-9|0.6|1.5|1.0|19|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|19255907|1999
<1|~|~|~|~|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|3542217|1999
1-4|~|~|~|~|IX(c) Kaposi sarcoma|14328395|1999
10-14|~|~|~|~|IX(c) Kaposi sarcoma|18868530|1999
15-19|~|~|~|~|IX(c) Kaposi sarcoma|18711679|1999
5-9|~|~|~|~|IX(c) Kaposi sarcoma|19255907|1999
<1|~|~|~|~|IX(c) Kaposi sarcoma|3542217|1999
1-4|1.4|2.9|2.0|29|IX(d) Other specified soft tissue sarcomas|14328395|1999
10-14|3.1|5.0|4.0|75|IX(d) Other specified soft tissue sarcomas|18868530|1999
15-19|6.5|9.1|7.7|145|IX(d) Other specified soft tissue sarcomas|18711679|1999
5-9|1.4|2.7|2.0|38|IX(d) Other specified soft tissue sarcomas|19255907|1999
<1|~|~|~|~|IX(d) Other specified soft tissue sarcomas|3542217|1999
1-4|~|~|~|~|IX(e) Unspecified soft tissue sarcomas|14328395|1999
10-14|0.8|1.8|1.2|23|IX(e) Unspecified soft tissue sarcomas|18868530|1999
15-19|1.5|2.8|2.1|39|IX(e) Unspecified soft tissue sarcomas|18711679|1999
5-9|~|~|~|~|IX(e) Unspecified soft tissue sarcomas|19255907|1999
<1|~|~|~|~|IX(e) Unspecified soft tissue sarcomas|3542217|1999
1-4|~|~|~|~|Not classified by ICCC|14328395|1999
10-14|~|~|~|~|Not classified by ICCC|18868530|1999
15-19|~|~|~|~|Not classified by ICCC|18711679|1999
5-9|~|~|~|~|Not classified by ICCC|19255907|1999
<1|~|~|~|~|Not classified by ICCC|3542217|1999
1-4|7.8|11.0|9.3|133|V Retinoblastoma|14328395|1999
10-14|~|~|~|~|V Retinoblastoma|18868530|1999
15-19|~|~|~|~|V Retinoblastoma|18711679|1999
5-9|~|~|~|~|V Retinoblastoma|19255907|1999
<1|22.0|33.1|27.1|96|V Retinoblastoma|3542217|1999
1-4|16.1|20.6|18.3|262|VI Renal tumors|14328395|1999
10-14|0.8|1.9|1.3|24|VI Renal tumors|18868530|1999
15-19|1.0|2.1|1.4|27|VI Renal tumors|18711679|1999
5-9|4.2|6.3|5.1|99|VI Renal tumors|19255907|1999
<1|14.2|23.4|18.4|65|VI Renal tumors|3542217|1999
1-4|16.0|20.5|18.1|260|VI(a) Nephroblastoma and other nonepithelial renal tumors|14328395|1999
10-14|~|~|~|~|VI(a) Nephroblastoma and other nonepithelial renal tumors|18868530|1999
15-19|~|~|~|~|VI(a) Nephroblastoma and other nonepithelial renal tumors|18711679|1999
5-9|3.9|5.9|4.8|93|VI(a) Nephroblastoma and other nonepithelial renal tumors|19255907|1999
<1|12.7|21.5|16.7|59|VI(a) Nephroblastoma and other nonepithelial renal tumors|3542217|1999
1-4|~|~|~|~|VI(b) Renal carcinomas|14328395|1999
10-14|~|~|~|~|VI(b) Renal carcinomas|18868530|1999
15-19|0.5|1.5|0.9|17|VI(b) Renal carcinomas|18711679|1999
5-9|~|~|~|~|VI(b) Renal carcinomas|19255907|1999
<1|~|~|~|~|VI(b) Renal carcinomas|3542217|1999
1-4|~|~|~|~|VI(c) Unspecified malignant renal tumors|14328395|1999
10-14|~|~|~|~|VI(c) Unspecified malignant renal tumors|18868530|1999
15-19|~|~|~|~|VI(c) Unspecified malignant renal tumors|18711679|1999
5-9|~|~|~|~|VI(c) Unspecified malignant renal tumors|19255907|1999
<1|~|~|~|~|VI(c) Unspecified malignant renal tumors|3542217|1999
1-4|3.3|5.5|4.3|61|VII Hepatic tumors|14328395|1999
10-14|~|~|~|~|VII Hepatic tumors|18868530|1999
15-19|1.2|2.4|1.7|32|VII Hepatic tumors|18711679|1999
5-9|~|~|~|~|VII Hepatic tumors|19255907|1999
<1|5.9|12.4|8.8|31|VII Hepatic tumors|3542217|1999
1-4|3.0|5.1|3.9|56|VII(a) Hepatoblastoma|14328395|1999
10-14|~|~|~|~|VII(a) Hepatoblastoma|18868530|1999
15-19|~|~|~|~|VII(a) Hepatoblastoma|18711679|1999
5-9|~|~|~|~|VII(a) Hepatoblastoma|19255907|1999
<1|5.9|12.4|8.8|31|VII(a) Hepatoblastoma|3542217|1999
1-4|~|~|~|~|VII(b) Hepatic carcinomas|14328395|1999
10-14|~|~|~|~|VII(b) Hepatic carcinomas|18868530|1999
15-19|1.1|2.3|1.6|30|VII(b) Hepatic carcinomas|18711679|1999
5-9|~|~|~|~|VII(b) Hepatic carcinomas|19255907|1999
<1|~|~|~|~|VII(b) Hepatic carcinomas|3542217|1999
1-4|~|~|~|~|VII(c) Unspecified malignant hepatic tumors|14328395|1999
10-14|~|~|~|~|VII(c) Unspecified malignant hepatic tumors|18868530|1999
15-19|~|~|~|~|VII(c) Unspecified malignant hepatic tumors|18711679|1999
5-9|~|~|~|~|VII(c) Unspecified malignant hepatic tumors|19255907|1999
<1|~|~|~|~|VII(c) Unspecified malignant hepatic tumors|3542217|1999
1-4|1.0|2.3|1.5|22|VIII Malignant bone tumors|14328395|1999
10-14|12.8|16.2|14.4|272|VIII Malignant bone tumors|18868530|1999
15-19|12.3|15.7|13.9|260|VIII Malignant bone tumors|18711679|1999
5-9|4.6|6.8|5.7|109|VIII Malignant bone tumors|19255907|1999
<1|~|~|~|~|VIII Malignant bone tumors|3542217|1999
1-4|~|~|~|~|VIII(a) Osteosarcomas|14328395|1999
10-14|7.8|10.6|9.1|172|VIII(a) Osteosarcomas|18868530|1999
15-19|6.6|9.2|7.9|147|VIII(a) Osteosarcomas|18711679|1999
5-9|2.3|3.9|3.0|58|VIII(a) Osteosarcomas|19255907|1999
<1|~|~|~|~|VIII(a) Osteosarcomas|3542217|1999
1-4|~|~|~|~|VIII(b) Chondrosarcomas|14328395|1999
10-14|~|~|~|~|VIII(b) Chondrosarcomas|18868530|1999
15-19|0.6|1.5|1.0|18|VIII(b) Chondrosarcomas|18711679|1999
5-9|~|~|~|~|VIII(b) Chondrosarcomas|19255907|1999
<1|~|~|~|~|VIII(b) Chondrosarcomas|3542217|1999
1-4|~|~|~|~|VIII(c) Ewing tumor and related sarcomas of bone|14328395|1999
10-14|3.5|5.5|4.4|83|VIII(c) Ewing tumor and related sarcomas of bone|18868530|1999
15-19|3.0|4.8|3.8|71|VIII(c) Ewing tumor and related sarcomas of bone|18711679|1999
5-9|1.4|2.7|2.0|38|VIII(c) Ewing tumor and related sarcomas of bone|19255907|1999
<1|~|~|~|~|VIII(c) Ewing tumor and related sarcomas of bone|3542217|1999
1-4|~|~|~|~|VIII(d) Other specified malignant bone tumors|14328395|1999
10-14|~|~|~|~|VIII(d) Other specified malignant bone tumors|18868530|1999
15-19|0.7|1.7|1.1|20|VIII(d) Other specified malignant bone tumors|18711679|1999
5-9|~|~|~|~|VIII(d) Other specified malignant bone tumors|19255907|1999
<1|~|~|~|~|VIII(d) Other specified malignant bone tumors|3542217|1999
1-4|~|~|~|~|VIII(e) Unspecified malignant bone tumors|14328395|1999
10-14|~|~|~|~|VIII(e) Unspecified malignant bone tumors|18868530|1999
15-19|~|~|~|~|VIII(e) Unspecified malignant bone tumors|18711679|1999
5-9|~|~|~|~|VIII(e) Unspecified malignant bone tumors|19255907|1999
<1|~|~|~|~|VIII(e) Unspecified malignant bone tumors|3542217|1999
1-4|2.7|4.8|3.6|52|X Germ cell, trophoblastic tumors & neoplasms of gonads|14328395|1999
10-14|5.7|8.1|6.8|128|X Germ cell, trophoblastic tumors & neoplasms of gonads|18868530|1999
15-19|23.5|28.2|25.8|482|X Germ cell, trophoblastic tumors & neoplasms of gonads|18711679|1999
5-9|1.2|2.5|1.8|34|X Germ cell, trophoblastic tumors & neoplasms of gonads|19255907|1999
<1|14.4|23.7|18.6|66|X Germ cell, trophoblastic tumors & neoplasms of gonads|3542217|1999
1-4|~|~|~|~|X(a) Intracranial & intraspinal germ cell tumors|14328395|1999
10-14|1.9|3.4|2.5|48|X(a) Intracranial & intraspinal germ cell tumors|18868530|1999
15-19|1.1|2.4|1.7|31|X(a) Intracranial & intraspinal germ cell tumors|18711679|1999
5-9|0.5|1.4|0.9|17|X(a) Intracranial & intraspinal germ cell tumors|19255907|1999
<1|~|~|~|~|X(a) Intracranial & intraspinal germ cell tumors|3542217|1999
1-4|1.0|2.3|1.5|22|X(b) Malignant extracranial & extragonadal germ cell tumors|14328395|1999
10-14|~|~|~|~|X(b) Malignant extracranial & extragonadal germ cell tumors|18868530|1999
15-19|1.0|2.2|1.5|28|X(b) Malignant extracranial & extragonadal germ cell tumors|18711679|1999
5-9|~|~|~|~|X(b) Malignant extracranial & extragonadal germ cell tumors|19255907|1999
<1|8.5|16.0|11.9|42|X(b) Malignant extracranial & extragonadal germ cell tumors|3542217|1999
1-4|1.0|2.4|1.6|23|X(c) Malignant gonadal germ cell tumors|14328395|1999
10-14|2.5|4.2|3.2|61|X(c) Malignant gonadal germ cell tumors|18868530|1999
15-19|18.5|22.7|20.5|384|X(c) Malignant gonadal germ cell tumors|18711679|1999
5-9|0.5|1.3|0.8|16|X(c) Malignant gonadal germ cell tumors|19255907|1999
<1|3.2|8.4|5.4|19|X(c) Malignant gonadal germ cell tumors|3542217|1999
1-4|~|~|~|~|X(d) Gonadal carcinomas|14328395|1999
10-14|~|~|~|~|X(d) Gonadal carcinomas|18868530|1999
15-19|1.0|2.1|1.4|27|X(d) Gonadal carcinomas|18711679|1999
5-9|~|~|~|~|X(d) Gonadal carcinomas|19255907|1999
<1|~|~|~|~|X(d) Gonadal carcinomas|3542217|1999
1-4|~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|14328395|1999
10-14|~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|18868530|1999
15-19|~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|18711679|1999
5-9|~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|19255907|1999
<1|~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|3542217|1999
1-4|0.6|1.8|1.1|16|XI Other malignant epithelial neoplasms and malignant melanomas|14328395|1999
10-14|10.8|14.0|12.3|233|XI Other malignant epithelial neoplasms and malignant melanomas|18868530|1999
15-19|41.2|47.3|44.1|826|XI Other malignant epithelial neoplasms and malignant melanomas|18711679|1999
5-9|2.4|4.0|3.1|60|XI Other malignant epithelial neoplasms and malignant melanomas|19255907|1999
<1|2.8|7.7|4.8|17|XI Other malignant epithelial neoplasms and malignant melanomas|3542217|1999
1-4|~|~|~|~|XI(a) Adrenocortical carcinomas|14328395|1999
10-14|~|~|~|~|XI(a) Adrenocortical carcinomas|18868530|1999
15-19|~|~|~|~|XI(a) Adrenocortical carcinomas|18711679|1999
5-9|~|~|~|~|XI(a) Adrenocortical carcinomas|19255907|1999
<1|~|~|~|~|XI(a) Adrenocortical carcinomas|3542217|1999
1-4|~|~|~|~|XI(b) Thyroid carcinomas|14328395|1999
10-14|2.9|4.7|3.8|71|XI(b) Thyroid carcinomas|18868530|1999
15-19|16.0|19.9|17.8|334|XI(b) Thyroid carcinomas|18711679|1999
5-9|1.1|2.3|1.7|32|XI(b) Thyroid carcinomas|19255907|1999
<1|~|~|~|~|XI(b) Thyroid carcinomas|3542217|1999
1-4|~|~|~|~|XI(c) Nasopharyngeal carcinomas|14328395|1999
10-14|0.6|1.6|1.0|19|XI(c) Nasopharyngeal carcinomas|18868530|1999
15-19|0.6|1.6|1.0|19|XI(c) Nasopharyngeal carcinomas|18711679|1999
5-9|~|~|~|~|XI(c) Nasopharyngeal carcinomas|19255907|1999
<1|~|~|~|~|XI(c) Nasopharyngeal carcinomas|3542217|1999
1-4|~|~|~|~|XI(d) Malignant melanomas|14328395|1999
10-14|2.8|4.5|3.6|67|XI(d) Malignant melanomas|18868530|1999
15-19|12.2|15.6|13.8|258|XI(d) Malignant melanomas|18711679|1999
5-9|~|~|~|~|XI(d) Malignant melanomas|19255907|1999
<1|~|~|~|~|XI(d) Malignant melanomas|3542217|1999
1-4|~|~|~|~|XI(e) Skin carcinomas|14328395|1999
10-14|~|~|~|~|XI(e) Skin carcinomas|18868530|1999
15-19|~|~|~|~|XI(e) Skin carcinomas|18711679|1999
5-9|~|~|~|~|XI(e) Skin carcinomas|19255907|1999
<1|~|~|~|~|XI(e) Skin carcinomas|3542217|1999
1-4|~|~|~|~|XI(f) Other and unspecified carcinomas|14328395|1999
10-14|2.7|4.4|3.4|65|XI(f) Other and unspecified carcinomas|18868530|1999
15-19|9.6|12.7|11.1|207|XI(f) Other and unspecified carcinomas|18711679|1999
5-9|~|~|~|~|XI(f) Other and unspecified carcinomas|19255907|1999
<1|~|~|~|~|XI(f) Other and unspecified carcinomas|3542217|1999
1-4|~|~|~|~|XII Other and unspecified malignant neoplasms|14328395|1999
10-14|~|~|~|~|XII Other and unspecified malignant neoplasms|18868530|1999
15-19|1.2|2.5|1.8|33|XII Other and unspecified malignant neoplasms|18711679|1999
5-9|~|~|~|~|XII Other and unspecified malignant neoplasms|19255907|1999
<1|~|~|~|~|XII Other and unspecified malignant neoplasms|3542217|1999
1-4|~|~|~|~|XII(a) Other specified malignant tumors|14328395|1999
10-14|~|~|~|~|XII(a) Other specified malignant tumors|18868530|1999
15-19|~|~|~|~|XII(a) Other specified malignant tumors|18711679|1999
5-9|~|~|~|~|XII(a) Other specified malignant tumors|19255907|1999
<1|~|~|~|~|XII(a) Other specified malignant tumors|3542217|1999
1-4|~|~|~|~|XII(b) Other unspecified malignant tumors|14328395|1999
10-14|~|~|~|~|XII(b) Other unspecified malignant tumors|18868530|1999
15-19|1.0|2.1|1.4|27|XII(b) Other unspecified malignant tumors|18711679|1999
5-9|~|~|~|~|XII(b) Other unspecified malignant tumors|19255907|1999
<1|~|~|~|~|XII(b) Other unspecified malignant tumors|3542217|1999
1-4|199.4|214.4|206.8|2959|All ICCC Groups Combined|14307286|2000
10-14|119.7|129.7|124.7|2402|All ICCC Groups Combined|19268598|2000
15-19|200.0|213.0|206.4|3905|All ICCC Groups Combined|18916654|2000
5-9|111.8|121.6|116.6|2230|All ICCC Groups Combined|19120872|2000
<1|221.7|253.8|237.4|854|All ICCC Groups Combined|3597900|2000
1-4|79.9|89.5|84.6|1210|I Leukemias, myeloproliferative & myelodysplastic diseases|14307286|2000
10-14|22.6|27.1|24.8|478|I Leukemias, myeloproliferative & myelodysplastic diseases|19268598|2000
15-19|25.2|30.0|27.5|521|I Leukemias, myeloproliferative & myelodysplastic diseases|18916654|2000
5-9|35.6|41.2|38.3|732|I Leukemias, myeloproliferative & myelodysplastic diseases|19120872|2000
<1|40.9|55.5|47.8|172|I Leukemias, myeloproliferative & myelodysplastic diseases|3597900|2000
1-4|68.5|77.4|72.8|1042|I(a) Lymphoid leukemias|14307286|2000
10-14|15.9|19.7|17.7|342|I(a) Lymphoid leukemias|19268598|2000
15-19|14.5|18.2|16.3|308|I(a) Lymphoid leukemias|18916654|2000
5-9|29.9|35.1|32.4|620|I(a) Lymphoid leukemias|19120872|2000
<1|20.1|30.7|25.0|90|I(a) Lymphoid leukemias|3597900|2000
1-4|7.7|10.9|9.2|132|I(b) Acute myeloid leukemias|14307286|2000
10-14|4.1|6.2|5.1|98|I(b) Acute myeloid leukemias|19268598|2000
15-19|7.2|9.9|8.5|161|I(b) Acute myeloid leukemias|18916654|2000
5-9|3.4|5.3|4.2|81|I(b) Acute myeloid leukemias|19120872|2000
<1|12.2|20.8|16.1|58|I(b) Acute myeloid leukemias|3597900|2000
1-4|~|~|~|~|I(c) Chronic myeloproliferative diseases|14307286|2000
10-14|0.7|1.7|1.1|22|I(c) Chronic myeloproliferative diseases|19268598|2000
15-19|0.9|2.0|1.4|26|I(c) Chronic myeloproliferative diseases|18916654|2000
5-9|~|~|~|~|I(c) Chronic myeloproliferative diseases|19120872|2000
<1|~|~|~|~|I(c) Chronic myeloproliferative diseases|3597900|2000
1-4|~|~|~|~|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|14307286|2000
10-14|~|~|~|~|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|19268598|2000
15-19|~|~|~|~|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|18916654|2000
5-9|~|~|~|~|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|19120872|2000
