AGE|AGE_ADJUSTED_CI_LOWER|AGE_ADJUSTED_CI_UPPER|AGE_ADJUSTED_RATE|COUNT|EVENT_TYPE|POPULATION|SITE|YEAR
0-14|14.7|15.4|15.0|8445|Incidence|56294656|All Cancer Sites Combined|2000
0-19|16.2|16.7|16.4|12350|Incidence|75211310|All Cancer Sites Combined|2000
0-14|0.1|0.2|0.1|83|Mortality|60279841|Bones and Joints|2000
0-19|0.2|0.3|0.2|181|Mortality|80574796|Bones and Joints|2000
0-14|0.6|0.7|0.7|383|Incidence|56294656|Bones and Joints|2000
0-19|0.8|0.9|0.9|650|Incidence|75211310|Bones and Joints|2000
0-14|0.7|0.8|0.7|440|Mortality|60279841|Brain and Other Nervous System|2000
0-19|0.6|0.7|0.7|545|Mortality|80574796|Brain and Other Nervous System|2000
0-14|3.3|3.6|3.4|1933|Incidence|56294656|Brain and Other Nervous System|2000
0-19|3.0|3.3|3.1|2354|Incidence|75211310|Brain and Other Nervous System|2000
0-14|~|~|~|~|Mortality|60279841|Hodgkin Lymphoma|2000
0-19|0.0|0.1|0.0|29|Mortality|80574796|Hodgkin Lymphoma|2000
0-14|0.5|0.7|0.6|335|Incidence|56294656|Hodgkin Lymphoma|2000
0-19|1.2|1.3|1.2|930|Incidence|75211310|Hodgkin Lymphoma|2000
0-14|0.1|0.1|0.1|46|Mortality|60279841|Kidney and Renal Pelvis|2000
0-19|0.1|0.1|0.1|54|Mortality|80574796|Kidney and Renal Pelvis|2000
0-14|0.8|1.0|0.9|500|Incidence|56294656|Kidney and Renal Pelvis|2000
0-19|0.6|0.8|0.7|525|Incidence|75211310|Kidney and Renal Pelvis|2000
0-14|0.7|0.9|0.8|490|Mortality|60279841|Leukemia|2000
0-19|0.8|1.0|0.9|732|Mortality|80574796|Leukemia|2000
0-14|4.4|4.8|4.6|2590|Incidence|56294656|Leukemia|2000
0-19|4.0|4.3|4.1|3107|Incidence|75211310|Leukemia|2000
0-14|0.1|0.1|0.1|55|Mortality|60279841|Non-Hodgkin Lymphoma|2000
0-19|0.1|0.2|0.1|115|Mortality|80574796|Non-Hodgkin Lymphoma|2000
0-14|0.9|1.0|0.9|534|Incidence|56294656|Non-Hodgkin Lymphoma|2000
0-19|1.1|1.2|1.2|869|Incidence|75211310|Non-Hodgkin Lymphoma|2000
0-14|0.5|0.6|0.6|333|Mortality|60279841|Other|2000
0-19|0.5|0.6|0.6|471|Mortality|80574796|Other|2000
0-14|2.8|3.1|2.9|1633|Incidence|56294656|Other|2000
0-19|4.0|4.3|4.2|3142|Incidence|75211310|Other|2000
0-14|0.1|0.1|0.1|71|Mortality|60279841|Soft Tissue|2000
0-19|0.2|0.2|0.2|144|Mortality|80574796|Soft Tissue|2000
0-14|0.9|1.0|1.0|537|Incidence|56294656|Soft Tissue|2000
0-19|1.0|1.1|1.0|773|Incidence|75211310|Soft Tissue|2000
0-14|0.3|0.4|0.3|208|Mortality|60450257|Acute Lymphocytic|2001
0-19|0.3|0.4|0.4|313|Mortality|80906541|Acute Lymphocytic|2001
0-14|3.7|4.0|3.8|2174|Incidence|57180220|Acute Lymphocytic|2001
0-19|3.1|3.4|3.3|2473|Incidence|76516063|Acute Lymphocytic|2001
0-14|0.2|0.3|0.3|157|Mortality|60450257|Acute Myeloid|2001
0-19|0.2|0.3|0.3|227|Mortality|80906541|Acute Myeloid|2001
0-14|0.6|0.7|0.7|386|Incidence|57180220|Acute Myeloid|2001
0-19|0.7|0.8|0.7|545|Incidence|76516063|Acute Myeloid|2001
0-14|2.4|2.6|2.5|1494|Mortality|60450257|All Cancer Sites Combined|2001
0-19|2.6|2.9|2.8|2226|Mortality|80906541|All Cancer Sites Combined|2001
0-14|15.4|16.0|15.7|8973|Incidence|57180220|All Cancer Sites Combined|2001
0-19|16.8|17.4|17.1|13110|Incidence|76516063|All Cancer Sites Combined|2001
0-14|0.1|0.2|0.1|88|Mortality|60450257|Bones and Joints|2001
0-19|0.2|0.3|0.2|189|Mortality|80906541|Bones and Joints|2001
0-14|0.6|0.8|0.7|413|Incidence|57180220|Bones and Joints|2001
0-19|0.9|1.0|1.0|749|Incidence|76516063|Bones and Joints|2001
0-14|0.6|0.8|0.7|416|Mortality|60450257|Brain and Other Nervous System|2001
0-19|0.6|0.7|0.6|520|Mortality|80906541|Brain and Other Nervous System|2001
0-14|3.2|3.5|3.3|1911|Incidence|57180220|Brain and Other Nervous System|2001
0-19|2.9|3.2|3.1|2330|Incidence|76516063|Brain and Other Nervous System|2001
0-14|~|~|~|~|Mortality|60450257|Hodgkin Lymphoma|2001
0-19|0.0|0.1|0.0|31|Mortality|80906541|Hodgkin Lymphoma|2001
0-14|0.5|0.7|0.6|339|Incidence|57180220|Hodgkin Lymphoma|2001
0-19|1.2|1.3|1.3|965|Incidence|76516063|Hodgkin Lymphoma|2001
0-14|0.1|0.1|0.1|58|Mortality|60450257|Kidney and Renal Pelvis|2001
0-19|0.1|0.1|0.1|66|Mortality|80906541|Kidney and Renal Pelvis|2001
0-14|0.8|1.0|0.9|504|Incidence|57180220|Kidney and Renal Pelvis|2001
0-19|0.6|0.8|0.7|535|Incidence|76516063|Kidney and Renal Pelvis|2001
0-14|0.8|0.9|0.8|503|Mortality|60450257|Leukemia|2001
0-19|0.8|1.0|0.9|728|Mortality|80906541|Leukemia|2001
0-14|4.7|5.1|4.9|2782|Incidence|57180220|Leukemia|2001
0-19|4.2|4.5|4.4|3333|Incidence|76516063|Leukemia|2001
0-14|0.0|0.1|0.1|40|Mortality|60450257|Non-Hodgkin Lymphoma|2001
0-19|0.1|0.2|0.1|101|Mortality|80906541|Non-Hodgkin Lymphoma|2001
0-14|0.8|1.0|0.9|526|Incidence|57180220|Non-Hodgkin Lymphoma|2001
0-19|1.1|1.2|1.1|868|Incidence|76516063|Non-Hodgkin Lymphoma|2001
0-14|0.4|0.6|0.5|297|Mortality|60450257|Other|2001
0-19|0.5|0.6|0.6|444|Mortality|80906541|Other|2001
0-14|3.2|3.5|3.4|1934|Incidence|57180220|Other|2001
0-19|4.5|4.8|4.6|3553|Incidence|76516063|Other|2001
0-14|0.1|0.2|0.1|86|Mortality|60450257|Soft Tissue|2001
0-19|0.2|0.2|0.2|147|Mortality|80906541|Soft Tissue|2001
0-14|0.9|1.1|1.0|564|Incidence|57180220|Soft Tissue|2001
0-19|0.9|1.1|1.0|777|Incidence|76516063|Soft Tissue|2001
0-14|0.3|0.4|0.4|217|Mortality|60563030|Acute Lymphocytic|2002
0-19|0.4|0.4|0.4|323|Mortality|81173400|Acute Lymphocytic|2002
0-14|3.5|3.8|3.7|2089|Incidence|57184152|Acute Lymphocytic|2002
0-19|3.0|3.3|3.2|2402|Incidence|76630713|Acute Lymphocytic|2002
0-14|0.2|0.3|0.2|131|Mortality|60563030|Acute Myeloid|2002
0-19|0.2|0.3|0.3|209|Mortality|81173400|Acute Myeloid|2002
0-14|0.6|0.8|0.7|390|Incidence|57184152|Acute Myeloid|2002
0-19|0.7|0.8|0.7|558|Incidence|76630713|Acute Myeloid|2002
0-14|2.4|2.7|2.6|1548|Mortality|60563030|All Cancer Sites Combined|2002
0-19|2.7|2.9|2.8|2271|Mortality|81173400|All Cancer Sites Combined|2002
0-14|15.3|15.9|15.6|8919|Incidence|57184152|All Cancer Sites Combined|2002
0-19|16.8|17.4|17.1|13139|Incidence|76630713|All Cancer Sites Combined|2002
0-14|0.1|0.2|0.1|85|Mortality|60563030|Bones and Joints|2002
0-19|0.2|0.3|0.2|179|Mortality|81173400|Bones and Joints|2002
0-14|0.7|0.8|0.7|420|Incidence|57184152|Bones and Joints|2002
0-19|0.9|1.0|0.9|730|Incidence|76630713|Bones and Joints|2002
0-14|0.7|0.8|0.8|463|Mortality|60563030|Brain and Other Nervous System|2002
0-19|0.7|0.8|0.7|571|Mortality|81173400|Brain and Other Nervous System|2002
0-14|3.4|3.7|3.5|2022|Incidence|57184152|Brain and Other Nervous System|2002
0-19|3.1|3.3|3.2|2450|Incidence|76630713|Brain and Other Nervous System|2002
0-14|~|~|~|~|Mortality|60563030|Hodgkin Lymphoma|2002
0-19|0.0|0.1|0.0|33|Mortality|81173400|Hodgkin Lymphoma|2002
0-14|0.5|0.6|0.5|312|Incidence|57184152|Hodgkin Lymphoma|2002
0-19|1.1|1.3|1.2|941|Incidence|76630713|Hodgkin Lymphoma|2002
0-14|0.1|0.1|0.1|42|Mortality|60563030|Kidney and Renal Pelvis|2002
0-19|0.0|0.1|0.1|49|Mortality|81173400|Kidney and Renal Pelvis|2002
0-14|0.8|0.9|0.9|483|Incidence|57184152|Kidney and Renal Pelvis|2002
0-19|0.6|0.7|0.7|508|Incidence|76630713|Kidney and Renal Pelvis|2002
0-14|0.7|0.8|0.7|441|Mortality|60563030|Leukemia|2002
0-19|0.8|0.9|0.8|678|Mortality|81173400|Leukemia|2002
0-14|4.6|5.0|4.8|2715|Incidence|57184152|Leukemia|2002
0-19|4.1|4.4|4.3|3273|Incidence|76630713|Leukemia|2002
0-14|0.1|0.2|0.1|74|Mortality|60563030|Non-Hodgkin Lymphoma|2002
0-19|0.1|0.2|0.1|118|Mortality|81173400|Non-Hodgkin Lymphoma|2002
0-14|0.8|1.0|0.9|523|Incidence|57184152|Non-Hodgkin Lymphoma|2002
0-19|1.1|1.2|1.1|870|Incidence|76630713|Non-Hodgkin Lymphoma|2002
0-14|0.5|0.6|0.6|342|Mortality|60563030|Other|2002
0-19|0.6|0.7|0.6|490|Mortality|81173400|Other|2002
0-14|3.1|3.4|3.2|1858|Incidence|57184152|Other|2002
0-19|4.5|4.8|4.6|3573|Incidence|76630713|Other|2002
0-14|0.1|0.2|0.2|95|Mortality|60563030|Soft Tissue|2002
0-19|0.2|0.2|0.2|153|Mortality|81173400|Soft Tissue|2002
0-14|0.9|1.1|1.0|586|Incidence|57184152|Soft Tissue|2002
0-19|1.0|1.1|1.0|794|Incidence|76630713|Soft Tissue|2002
0-14|0.4|0.5|0.4|246|Mortality|60628650|Acute Lymphocytic|2003
0-19|0.4|0.4|0.4|328|Mortality|81425816|Acute Lymphocytic|2003
0-14|3.4|3.7|3.6|2148|Incidence|60628650|Acute Lymphocytic|2003
0-19|2.9|3.2|3.0|2449|Incidence|81425816|Acute Lymphocytic|2003
0-14|0.2|0.3|0.2|142|Mortality|60628650|Acute Myeloid|2003
0-19|0.2|0.3|0.3|207|Mortality|81425816|Acute Myeloid|2003
0-14|0.6|0.7|0.6|396|Incidence|60628650|Acute Myeloid|2003
0-19|0.6|0.7|0.7|564|Incidence|81425816|Acute Myeloid|2003
0-14|2.4|2.7|2.5|1543|Mortality|60628650|All Cancer Sites Combined|2003
0-19|2.6|2.9|2.7|2233|Mortality|81425816|All Cancer Sites Combined|2003
0-14|14.9|15.5|15.2|9231|Incidence|60628650|All Cancer Sites Combined|2003
0-19|16.4|17.0|16.7|13650|Incidence|81425816|All Cancer Sites Combined|2003
0-14|0.1|0.2|0.1|82|Mortality|60628650|Bones and Joints|2003
0-19|0.2|0.3|0.2|186|Mortality|81425816|Bones and Joints|2003
0-14|0.6|0.7|0.7|419|Incidence|60628650|Bones and Joints|2003
0-19|0.8|1.0|0.9|732|Incidence|81425816|Bones and Joints|2003
0-14|0.7|0.8|0.8|458|Mortality|60628650|Brain and Other Nervous System|2003
0-19|0.7|0.8|0.7|577|Mortality|81425816|Brain and Other Nervous System|2003
0-14|3.2|3.5|3.3|2025|Incidence|60628650|Brain and Other Nervous System|2003
0-19|2.9|3.2|3.1|2483|Incidence|81425816|Brain and Other Nervous System|2003
0-14|~|~|~|~|Mortality|60628650|Hodgkin Lymphoma|2003
0-19|0.0|0.0|0.0|21|Mortality|81425816|Hodgkin Lymphoma|2003
0-14|0.5|0.7|0.6|363|Incidence|60628650|Hodgkin Lymphoma|2003
0-19|1.2|1.3|1.2|1026|Incidence|81425816|Hodgkin Lymphoma|2003
0-14|0.1|0.1|0.1|54|Mortality|60628650|Kidney and Renal Pelvis|2003
0-19|0.1|0.1|0.1|65|Mortality|81425816|Kidney and Renal Pelvis|2003
0-14|0.8|1.0|0.9|528|Incidence|60628650|Kidney and Renal Pelvis|2003
0-19|0.6|0.8|0.7|559|Incidence|81425816|Kidney and Renal Pelvis|2003
0-14|0.8|0.9|0.8|505|Mortality|60628650|Leukemia|2003
0-19|0.8|0.9|0.8|688|Mortality|81425816|Leukemia|2003
0-14|4.4|4.7|4.5|2747|Incidence|60628650|Leukemia|2003
0-19|4.0|4.2|4.1|3313|Incidence|81425816|Leukemia|2003
0-14|0.1|0.1|0.1|50|Mortality|60628650|Non-Hodgkin Lymphoma|2003
0-19|0.1|0.2|0.1|103|Mortality|81425816|Non-Hodgkin Lymphoma|2003
0-14|0.8|1.0|0.9|547|Incidence|60628650|Non-Hodgkin Lymphoma|2003
0-19|1.0|1.2|1.1|881|Incidence|81425816|Non-Hodgkin Lymphoma|2003
0-14|0.5|0.6|0.5|311|Mortality|60628650|Other|2003
0-19|0.5|0.6|0.6|447|Mortality|81425816|Other|2003
0-14|3.2|3.5|3.3|2025|Incidence|60628650|Other|2003
0-19|4.5|4.8|4.7|3827|Incidence|81425816|Other|2003
0-14|0.1|0.2|0.1|78|Mortality|60628650|Soft Tissue|2003
0-19|0.2|0.2|0.2|146|Mortality|81425816|Soft Tissue|2003
0-14|0.9|1.0|0.9|577|Incidence|60628650|Soft Tissue|2003
0-19|0.9|1.1|1.0|829|Incidence|81425816|Soft Tissue|2003
0-14|0.3|0.4|0.3|202|Mortality|60651802|Acute Lymphocytic|2004
0-19|0.3|0.4|0.4|295|Mortality|81754354|Acute Lymphocytic|2004
0-14|3.7|4.0|3.9|2331|Incidence|60651802|Acute Lymphocytic|2004
0-19|3.2|3.4|3.3|2672|Incidence|81754354|Acute Lymphocytic|2004
0-14|0.2|0.3|0.2|147|Mortality|60651802|Acute Myeloid|2004
0-19|0.2|0.3|0.3|211|Mortality|81754354|Acute Myeloid|2004
0-14|0.6|0.8|0.7|423|Incidence|60651802|Acute Myeloid|2004
0-19|0.7|0.8|0.7|598|Incidence|81754354|Acute Myeloid|2004
0-14|2.3|2.6|2.5|1492|Mortality|60651802|All Cancer Sites Combined|2004
0-19|2.6|2.8|2.7|2223|Mortality|81754354|All Cancer Sites Combined|2004
0-14|15.7|16.3|16.0|9729|Incidence|60651802|All Cancer Sites Combined|2004
0-19|17.1|17.7|17.4|14288|Incidence|81754354|All Cancer Sites Combined|2004
0-14|0.1|0.2|0.1|75|Mortality|60651802|Bones and Joints|2004
0-19|0.2|0.3|0.2|189|Mortality|81754354|Bones and Joints|2004
0-14|0.7|0.8|0.7|451|Incidence|60651802|Bones and Joints|2004
0-19|0.9|1.0|0.9|768|Incidence|81754354|Bones and Joints|2004
0-14|0.7|0.8|0.7|446|Mortality|60651802|Brain and Other Nervous System|2004
0-19|0.6|0.7|0.7|555|Mortality|81754354|Brain and Other Nervous System|2004
0-14|3.4|3.7|3.6|2163|Incidence|60651802|Brain and Other Nervous System|2004
0-19|3.1|3.4|3.3|2655|Incidence|81754354|Brain and Other Nervous System|2004
0-14|~|~|~|~|Mortality|60651802|Hodgkin Lymphoma|2004
0-19|0.0|0.0|0.0|23|Mortality|81754354|Hodgkin Lymphoma|2004
0-14|0.5|0.6|0.5|324|Incidence|60651802|Hodgkin Lymphoma|2004
0-19|1.1|1.3|1.2|985|Incidence|81754354|Hodgkin Lymphoma|2004
0-14|0.1|0.1|0.1|51|Mortality|60651802|Kidney and Renal Pelvis|2004
0-19|0.1|0.1|0.1|59|Mortality|81754354|Kidney and Renal Pelvis|2004
0-14|0.8|0.9|0.8|507|Incidence|60651802|Kidney and Renal Pelvis|2004
0-19|0.6|0.7|0.7|549|Incidence|81754354|Kidney and Renal Pelvis|2004
0-14|0.7|0.8|0.8|455|Mortality|60651802|Leukemia|2004
0-19|0.8|0.9|0.8|665|Mortality|81754354|Leukemia|2004
0-14|4.8|5.1|4.9|2995|Incidence|60651802|Leukemia|2004
0-19|4.3|4.6|4.4|3596|Incidence|81754354|Leukemia|2004
0-14|0.1|0.1|0.1|44|Mortality|60651802|Non-Hodgkin Lymphoma|2004
0-19|0.1|0.1|0.1|100|Mortality|81754354|Non-Hodgkin Lymphoma|2004
0-14|0.9|1.0|0.9|575|Incidence|60651802|Non-Hodgkin Lymphoma|2004
0-19|1.0|1.2|1.1|918|Incidence|81754354|Non-Hodgkin Lymphoma|2004
0-14|0.5|0.6|0.5|317|Mortality|60651802|Other|2004
0-19|0.5|0.6|0.6|468|Mortality|81754354|Other|2004
0-14|3.3|3.6|3.4|2104|Incidence|60651802|Other|2004
0-19|4.6|4.9|4.8|3956|Incidence|81754354|Other|2004
0-14|0.1|0.2|0.2|98|Mortality|60651802|Soft Tissue|2004
0-19|0.2|0.2|0.2|164|Mortality|81754354|Soft Tissue|2004
0-14|0.9|1.1|1.0|610|Incidence|60651802|Soft Tissue|2004
0-19|1.0|1.1|1.0|861|Incidence|81754354|Soft Tissue|2004
0-14|0.3|0.4|0.3|188|Mortality|60519046|Acute Lymphocytic|2005
0-19|0.3|0.4|0.3|267|Mortality|82005260|Acute Lymphocytic|2005
0-14|3.6|3.9|3.7|2253|Incidence|60519046|Acute Lymphocytic|2005
0-19|3.1|3.3|3.2|2587|Incidence|82005260|Acute Lymphocytic|2005
0-14|0.2|0.3|0.2|137|Mortality|60519046|Acute Myeloid|2005
0-19|0.2|0.3|0.3|212|Mortality|82005260|Acute Myeloid|2005
0-14|0.6|0.7|0.6|389|Incidence|60519046|Acute Myeloid|2005
0-19|0.6|0.7|0.7|542|Incidence|82005260|Acute Myeloid|2005
0-14|2.3|2.5|2.4|1452|Mortality|60519046|All Cancer Sites Combined|2005
0-19|2.5|2.8|2.7|2183|Mortality|82005260|All Cancer Sites Combined|2005
0-14|15.2|15.9|15.5|9454|Incidence|60519046|All Cancer Sites Combined|2005
0-19|16.9|17.5|17.2|14206|Incidence|82005260|All Cancer Sites Combined|2005
0-14|0.1|0.2|0.1|88|Mortality|60519046|Bones and Joints|2005
0-19|0.2|0.3|0.3|212|Mortality|82005260|Bones and Joints|2005
0-14|0.6|0.8|0.7|420|Incidence|60519046|Bones and Joints|2005
0-19|0.8|1.0|0.9|748|Incidence|82005260|Bones and Joints|2005
0-14|0.6|0.8|0.7|426|Mortality|60519046|Brain and Other Nervous System|2005
0-19|0.6|0.7|0.7|544|Mortality|82005260|Brain and Other Nervous System|2005
0-14|3.2|3.5|3.4|2033|Incidence|60519046|Brain and Other Nervous System|2005
0-19|3.0|3.2|3.1|2505|Incidence|82005260|Brain and Other Nervous System|2005
0-14|~|~|~|~|Mortality|60519046|Hodgkin Lymphoma|2005
0-19|0.0|0.0|0.0|22|Mortality|82005260|Hodgkin Lymphoma|2005
0-14|0.5|0.7|0.6|359|Incidence|60519046|Hodgkin Lymphoma|2005
0-19|1.2|1.3|1.3|1067|Incidence|82005260|Hodgkin Lymphoma|2005
0-14|0.1|0.1|0.1|54|Mortality|60519046|Kidney and Renal Pelvis|2005
0-19|0.1|0.1|0.1|62|Mortality|82005260|Kidney and Renal Pelvis|2005
0-14|0.8|0.9|0.8|516|Incidence|60519046|Kidney and Renal Pelvis|2005
0-19|0.6|0.8|0.7|565|Incidence|82005260|Kidney and Renal Pelvis|2005
0-14|0.6|0.8|0.7|417|Mortality|60519046|Leukemia|2005
0-19|0.7|0.8|0.8|640|Mortality|82005260|Leukemia|2005
0-14|4.6|4.9|4.8|2886|Incidence|60519046|Leukemia|2005
0-19|4.1|4.4|4.3|3482|Incidence|82005260|Leukemia|2005
0-14|0.1|0.1|0.1|55|Mortality|60519046|Non-Hodgkin Lymphoma|2005
0-19|0.1|0.1|0.1|102|Mortality|82005260|Non-Hodgkin Lymphoma|2005
0-14|0.8|1.0|0.9|555|Incidence|60519046|Non-Hodgkin Lymphoma|2005
0-19|1.1|1.2|1.2|971|Incidence|82005260|Non-Hodgkin Lymphoma|2005
0-14|0.5|0.6|0.5|318|Mortality|60519046|Other|2005
0-19|0.5|0.6|0.5|438|Mortality|82005260|Other|2005
0-14|3.2|3.5|3.4|2074|Incidence|60519046|Other|2005
0-19|4.6|4.9|4.8|4009|Incidence|82005260|Other|2005
0-14|0.1|0.2|0.1|83|Mortality|60519046|Soft Tissue|2005
0-19|0.2|0.2|0.2|163|Mortality|82005260|Soft Tissue|2005
0-14|0.9|1.1|1.0|611|Incidence|60519046|Soft Tissue|2005
0-19|1.0|1.1|1.0|859|Incidence|82005260|Soft Tissue|2005
0-14|0.2|0.3|0.3|174|Mortality|60516709|Acute Lymphocytic|2006
0-19|0.3|0.4|0.3|266|Mortality|82324418|Acute Lymphocytic|2006
0-14|3.7|4.0|3.9|2344|Incidence|60516709|Acute Lymphocytic|2006
0-19|3.2|3.4|3.3|2701|Incidence|82324418|Acute Lymphocytic|2006
0-14|0.2|0.2|0.2|124|Mortality|60516709|Acute Myeloid|2006
0-19|0.2|0.3|0.2|195|Mortality|82324418|Acute Myeloid|2006
0-14|0.6|0.8|0.7|421|Incidence|60516709|Acute Myeloid|2006
0-19|0.7|0.8|0.7|597|Incidence|82324418|Acute Myeloid|2006
0-14|2.1|2.4|2.2|1360|Mortality|60516709|All Cancer Sites Combined|2006
0-19|2.4|2.6|2.5|2035|Mortality|82324418|All Cancer Sites Combined|2006
0-14|15.5|16.1|15.8|9618|Incidence|60516709|All Cancer Sites Combined|2006
0-19|16.9|17.5|17.2|14277|Incidence|82324418|All Cancer Sites Combined|2006
0-14|0.1|0.1|0.1|59|Mortality|60516709|Bones and Joints|2006
0-19|0.2|0.2|0.2|174|Mortality|82324418|Bones and Joints|2006
0-14|0.7|0.8|0.7|439|Incidence|60516709|Bones and Joints|2006
0-19|0.9|1.0|1.0|793|Incidence|82324418|Bones and Joints|2006
0-14|0.6|0.8|0.7|422|Mortality|60516709|Brain and Other Nervous System|2006
0-19|0.6|0.7|0.6|524|Mortality|82324418|Brain and Other Nervous System|2006
0-14|3.3|3.6|3.5|2097|Incidence|60516709|Brain and Other Nervous System|2006
0-19|3.0|3.3|3.2|2599|Incidence|82324418|Brain and Other Nervous System|2006
0-14|~|~|~|~|Mortality|60516709|Hodgkin Lymphoma|2006
0-19|0.0|0.0|0.0|23|Mortality|82324418|Hodgkin Lymphoma|2006
0-14|0.6|0.7|0.6|372|Incidence|60516709|Hodgkin Lymphoma|2006
0-19|1.2|1.3|1.2|1051|Incidence|82324418|Hodgkin Lymphoma|2006
0-14|0.1|0.1|0.1|43|Mortality|60516709|Kidney and Renal Pelvis|2006
0-19|0.1|0.1|0.1|54|Mortality|82324418|Kidney and Renal Pelvis|2006
0-14|0.8|0.9|0.9|522|Incidence|60516709|Kidney and Renal Pelvis|2006
0-19|0.6|0.8|0.7|569|Incidence|82324418|Kidney and Renal Pelvis|2006
0-14|0.6|0.7|0.7|411|Mortality|60516709|Leukemia|2006
0-19|0.7|0.8|0.7|618|Mortality|82324418|Leukemia|2006
0-14|4.8|5.1|4.9|3002|Incidence|60516709|Leukemia|2006
0-19|4.3|4.6|4.4|3652|Incidence|82324418|Leukemia|2006
0-14|0.1|0.1|0.1|44|Mortality|60516709|Non-Hodgkin Lymphoma|2006
0-19|0.1|0.1|0.1|89|Mortality|82324418|Non-Hodgkin Lymphoma|2006
