"","EdiblePoisonous","CapShape","CapSurface","CapColor","Odor","GrowsIn"
"89","Edible","Flat","Scaly","Brown","Anise","grasses"
"90","Edible","Sunken","Fibrous","Brown","None","urban"
"91","Edible","Convex","Fibrous","Brown","None","urban"
"92","Edible","Bell","Smooth","White","Anise","grasses"
"93","Edible","Convex","Scaly","Yellow","Almond","grasses"
"94","Edible","Convex","Scaly","Yellow","Anise","meadows"
"95","Edible","Convex","Smooth","Brown","None","grasses"
"96","Edible","Convex","Smooth","White","Almond","grasses"
"97","Edible","Flat","Scaly","Brown","Anise","grasses"
"98","Edible","Convex","Smooth","Yellow","Almond","grasses"
"99","Edible","Bell","Smooth","White","Almond","grasses"
"100","Edible","Convex","Scaly","White","Almond","grasses"
"101","Edible","Convex","Fibrous","Brown","None","grasses"
"102","Edible","Bell","Smooth","Yellow","Anise","grasses"
"103","Edible","Flat","Scaly","Yellow","Anise","grasses"
"104","Edible","Convex","Scaly","Yellow","Almond","paths"
"105","Edible","Bell","Scaly","White","Anise","grasses"
"106","Edible","Convex","Scaly","Yellow","Almond","meadows"
"107","Edible","Convex","Scaly","Yellow","Almond","grasses"
"108","Edible","Bell","Scaly","White","Anise","meadows"
"109","Edible","Bell","Scaly","White","Almond","meadows"
"110","Edible","Convex","Smooth","Yellow","Almond","meadows"
"111","Edible","Convex","Smooth","Yellow","Anise","grasses"
"112","Edible","Sunken","Fibrous","Gray","None","urban"
"113","Edible","Convex","Fibrous","White","Almond","woods"
"114","Edible","Convex","Smooth","Yellow","Almond","meadows"
"115","Poisonous","Convex","Scaly","White","Pungent","urban"
"116","Edible","Convex","Scaly","Yellow","Anise","grasses"
"117","Edible","Sunken","Fibrous","Gray","None","urban"
"118","Edible","Convex","Scaly","Yellow","Anise","grasses"
"119","Edible","Convex","Smooth","Yellow","Anise","woods"
"120","Edible","Sunken","Fibrous","Brown","None","urban"
"121","Poisonous","Convex","Smooth","White","Pungent","grasses"
"122","Edible","Convex","Scaly","White","Almond","meadows"
"123","Poisonous","Flat","Scaly","Brown","Pungent","grasses"
"124","Edible","Flat","Smooth","Gray","None","grasses"
"125","Edible","Convex","Smooth","Yellow","Anise","meadows"
"126","Edible","Convex","Smooth","White","None","grasses"
"127","Edible","Bell","Smooth","Yellow","Almond","grasses"
"128","Edible","Flat","Fibrous","Gray","None","grasses"
"129","Edible","Convex","Smooth","White","Anise","grasses"
"130","Edible","Bell","Smooth","White","Anise","meadows"
"131","Edible","Bell","Smooth","White","Anise","grasses"
"132","Edible","Bell","Scaly","White","Anise","meadows"
"133","Edible","Flat","Smooth","White","Anise","woods"
"134","Edible","Convex","Scaly","Yellow","Anise","meadows"
"135","Edible","Flat","Smooth","White","Almond","woods"
"136","Poisonous","Convex","Scaly","White","Pungent","urban"
"137","Edible","Flat","Fibrous","White","Anise","woods"
"138","Edible","Convex","Scaly","Yellow","Almond","grasses"
"139","Poisonous","Convex","Smooth","Brown","Pungent","grasses"
"140","Edible","Bell","Smooth","Yellow","Anise","grasses"
"141","Edible","Convex","Scaly","Brown","Almond","paths"
"142","Edible","Bell","Scaly","Yellow","Anise","meadows"
"143","Edible","Sunken","Fibrous","Brown","None","urban"
"144","Edible","Flat","Scaly","Brown","Almond","paths"
"145","Edible","Convex","Scaly","Yellow","Almond","grasses"
"146","Edible","Convex","Fibrous","Gray","None","grasses"
"147","Edible","Flat","Fibrous","White","None","grasses"
"148","Edible","Convex","Scaly","Yellow","Anise","meadows"
"149","Edible","Bell","Smooth","Yellow","Anise","grasses"
"150","Edible","Bell","Scaly","White","Almond","meadows"
"151","Edible","Convex","Scaly","White","Almond","grasses"
"152","Edible","Convex","Smooth","Brown","None","grasses"
"153","Edible","Convex","Scaly","White","Anise","grasses"
"154","Edible","Sunken","Fibrous","Brown","None","urban"
"155","Edible","Convex","Smooth","White","Almond","woods"
"156","Edible","Convex","Scaly","Brown","Anise","grasses"
"157","Edible","Bell","Scaly","Yellow","Almond","grasses"
"158","Edible","Convex","Scaly","White","Almond","grasses"
"159","Edible","Bell","Scaly","White","Almond","meadows"
"160","Edible","Bell","Smooth","Yellow","Almond","grasses"
"161","Edible","Bell","Smooth","Yellow","Anise","meadows"
"162","Edible","Bell","Scaly","Yellow","Almond","grasses"
"163","Edible","Convex","Fibrous","Brown","None","urban"
"164","Edible","Flat","Scaly","Brown","Anise","grasses"
"165","Edible","Convex","Scaly","White","Almond","grasses"
"166","Edible","Flat","Scaly","Yellow","Anise","paths"
"167","Edible","Bell","Smooth","White","Almond","grasses"
"168","Edible","Bell","Smooth","White","Almond","meadows"
"169","Edible","Convex","Scaly","Brown","Anise","grasses"
"170","Edible","Bell","Smooth","White","Almond","grasses"
"171","Edible","Convex","Fibrous","Gray","None","urban"
"172","Edible","Bell","Smooth","Yellow","Anise","grasses"
"173","Edible","Convex","Fibrous","Yellow","Anise","woods"
"174","Edible","Bell","Scaly","Yellow","Almond","grasses"
"175","Edible","Flat","Scaly","Yellow","Anise","grasses"
"176","Edible","Bell","Scaly","White","Anise","meadows"
"177","Edible","Bell","Scaly","White","Almond","meadows"
"178","Edible","Bell","Scaly","Yellow","Almond","grasses"
"179","Edible","Convex","Scaly","Yellow","Anise","meadows"
"180","Edible","Bell","Smooth","Yellow","Anise","grasses"
"181","Poisonous","Convex","Scaly","White","Pungent","urban"
"182","Edible","Sunken","Fibrous","Brown","None","urban"
"183","Edible","Flat","Fibrous","Brown","None","urban"
"184","Edible","Convex","Smooth","Yellow","Almond","meadows"
"185","Edible","Flat","Scaly","Brown","Almond","paths"
"186","Poisonous","Convex","Scaly","White","Pungent","grasses"
"187","Edible","Bell","Smooth","White","Anise","meadows"
"188","Edible","Flat","Fibrous","Gray","None","urban"
"189","Edible","Bell","Scaly","Yellow","Anise","grasses"
"190","Edible","Convex","Scaly","Brown","Almond","paths"
"191","Edible","Convex","Fibrous","White","None","grasses"
"192","Edible","Convex","Smooth","White","Anise","woods"
"193","Edible","Bell","Smooth","White","Anise","meadows"
"194","Edible","Flat","Smooth","Yellow","Almond","woods"
"195","Edible","Convex","Smooth","Yellow","Almond","meadows"
"196","Edible","Flat","Fibrous","Gray","None","urban"
"197","Edible","Bell","Smooth","Yellow","Almond","grasses"
"198","Edible","Convex","Smooth","White","Anise","meadows"
"199","Edible","Convex","Scaly","White","Anise","meadows"
"200","Edible","Flat","Smooth","White","Almond","woods"
"201","Edible","Convex","Scaly","Yellow","Anise","grasses"
"202","Edible","Bell","Smooth","White","Anise","grasses"
"203","Edible","Convex","Smooth","White","Almond","grasses"
"204","Edible","Convex","Fibrous","White","None","grasses"
"205","Edible","Flat","Scaly","Brown","Anise","paths"
"206","Poisonous","Convex","Smooth","White","Pungent","urban"
"207","Edible","Bell","Smooth","White","Almond","grasses"
"208","Edible","Bell","Smooth","White","Almond","meadows"
"209","Edible","Bell","Scaly","White","Anise","grasses"
"210","Edible","Bell","Scaly","White","Almond","grasses"
"211","Edible","Convex","Smooth","Yellow","Almond","grasses"
"212","Edible","Bell","Smooth","White","Anise","meadows"
"213","Edible","Convex","Fibrous","Yellow","Almond","woods"
"214","Edible","Convex","Fibrous","Gray","None","urban"
"215","Edible","Flat","Scaly","Yellow","Almond","grasses"
"216","Edible","Bell","Smooth","White","Anise","meadows"
"217","Edible","Convex","Smooth","Yellow","Almond","grasses"
"218","Edible","Convex","Scaly","Yellow","Almond","grasses"
"219","Edible","Convex","Scaly","White","Anise","grasses"
"220","Edible","Sunken","Fibrous","Gray","None","urban"
"221","Edible","Convex","Smooth","White","Almond","meadows"
"222","Poisonous","Convex","Smooth","White","Pungent","grasses"
"223","Edible","Convex","Scaly","Yellow","Almond","grasses"
"224","Edible","Flat","Fibrous","White","Almond","woods"
"225","Edible","Convex","Scaly","White","Anise","meadows"
"226","Edible","Bell","Scaly","White","Anise","grasses"
"227","Edible","Convex","Smooth","White","Almond","grasses"
"228","Edible","Convex","Smooth","Yellow","Almond","grasses"
"229","Poisonous","Convex","Scaly","Brown","Pungent","urban"
"230","Edible","Bell","Smooth","Yellow","Almond","grasses"
"231","Edible","Convex","Fibrous","Gray","None","urban"
"232","Poisonous","Convex","Scaly","White","Pungent","urban"
"233","Edible","Convex","Scaly","Yellow","Anise","paths"
"234","Edible","Flat","Fibrous","Brown","None","urban"
"235","Edible","Bell","Smooth","White","Anise","grasses"
"236","Edible","Convex","Fibrous","White","Anise","woods"
"237","Edible","Convex","Scaly","White","Anise","grasses"
"238","Edible","Bell","Scaly","Yellow","Anise","grasses"
"239","Edible","Convex","Scaly","Yellow","Anise","grasses"
"240","Edible","Flat","Scaly","Yellow","Almond","paths"
"241","Edible","Flat","Scaly","Yellow","Almond","paths"
"242","Edible","Convex","Smooth","White","Anise","grasses"
"243","Edible","Convex","Smooth","White","Almond","meadows"
"244","Poisonous","Convex","Smooth","White","Pungent","urban"
"245","Edible","Flat","Fibrous","White","Almond","woods"
"246","Edible","Convex","Smooth","White","Anise","grasses"
"247","Edible","Convex","Smooth","White","Anise","woods"
"248","Edible","Convex","Scaly","White","Almond","meadows"
"249","Edible","Flat","Scaly","Yellow","Anise","paths"
"250","Edible","Convex","Smooth","Brown","None","grasses"
"251","Edible","Flat","Scaly","Yellow","Almond","grasses"
"252","Poisonous","Convex","Smooth","Brown","Pungent","grasses"
"253","Edible","Sunken","Fibrous","Brown","None","urban"
"254","Edible","Bell","Scaly","Yellow","Anise","meadows"
"255","Edible","Bell","Smooth","White","Anise","grasses"
"256","Edible","Bell","Scaly","White","Anise","meadows"
"257","Edible","Flat","Fibrous","Brown","None","urban"
"258","Edible","Convex","Smooth","White","Almond","meadows"
"259","Edible","Bell","Scaly","White","Anise","grasses"
"260","Edible","Bell","Scaly","White","Almond","meadows"
"261","Edible","Flat","Scaly","Brown","Anise","grasses"
"262","Poisonous","Convex","Scaly","White","Pungent","grasses"
"263","Edible","Convex","Smooth","White","Almond","grasses"
"264","Edible","Convex","Scaly","White","Almond","meadows"
"265","Edible","Flat","Fibrous","White","Anise","woods"
"266","Edible","Flat","Fibrous","Gray","None","urban"
"267","Edible","Flat","Smooth","Gray","None","grasses"
"268","Edible","Convex","Scaly","Yellow","Almond","meadows"
"269","Edible","Bell","Smooth","White","Almond","meadows"
"270","Poisonous","Flat","Scaly","Brown","Pungent","urban"
"271","Edible","Convex","Smooth","White","Anise","meadows"
"272","Poisonous","Flat","Smooth","Brown","Pungent","urban"
"273","Edible","Convex","Scaly","White","Anise","grasses"
"274","Edible","Convex","Scaly","Yellow","Almond","meadows"
"275","Edible","Flat","Scaly","Yellow","Almond","paths"
"276","Edible","Convex","Scaly","Brown","Almond","paths"
"277","Edible","Flat","Scaly","Brown","Almond","grasses"
"278","Edible","Convex","Scaly","White","Almond","meadows"
"279","Edible","Flat","Fibrous","Brown","None","grasses"
"280","Edible","Convex","Smooth","Yellow","Anise","meadows"
"281","Poisonous","Convex","Scaly","White","Pungent","grasses"
"282","Edible","Bell","Scaly","Yellow","Almond","meadows"
"283","Edible","Sunken","Fibrous","Brown","None","urban"
"284","Edible","Convex","Smooth","Yellow","Anise","meadows"
"285","Edible","Bell","Scaly","White","Anise","meadows"
"286","Edible","Flat","Scaly","Brown","Almond","grasses"
"287","Edible","Bell","Scaly","Yellow","Almond","meadows"
"288","Edible","Bell","Scaly","White","Almond","grasses"
"289","Edible","Convex","Scaly","Brown","Anise","paths"
"290","Edible","Flat","Fibrous","Gray","None","urban"
"291","Edible","Convex","Fibrous","Gray","None","urban"
"292","Edible","Bell","Scaly","Yellow","Anise","grasses"
"293","Edible","Convex","Smooth","Yellow","Anise","meadows"
"294","Edible","Bell","Scaly","White","Anise","grasses"
"295","Edible","Convex","Smooth","White","Almond","meadows"
"296","Edible","Bell","Smooth","Yellow","Almond","meadows"
"297","Edible","Convex","Smooth","Yellow","Almond","meadows"
"298","Edible","Convex","Fibrous","Gray","None","grasses"
"299","Edible","Flat","Smooth","Yellow","Almond","woods"
"300","Poisonous","Convex","Scaly","White","Pungent","grasses"
"301","Edible","Convex","Fibrous","White","None","grasses"
"302","Edible","Bell","Scaly","White","Almond","grasses"
"303","Edible","Convex","Smooth","Yellow","Anise","woods"
"304","Edible","Bell","Scaly","White","Almond","grasses"
"305","Edible","Convex","Scaly","White","Anise","grasses"
"306","Edible","Convex","Fibrous","Brown","None","woods"
"307","Edible","Bell","Scaly","White","Anise","meadows"
"308","Edible","Convex","Smooth","Yellow","Anise","meadows"
"309","Edible","Flat","Scaly","Brown","Almond","grasses"
"310","Edible","Convex","Fibrous","White","None","grasses"
"311","Edible","Convex","Smooth","Yellow","Anise","grasses"
"312","Poisonous","Convex","Scaly","White","Pungent","grasses"
"313","Edible","Convex","Scaly","Yellow","Anise","grasses"
"314","Edible","Convex","Fibrous","White","Almond","woods"
"315","Edible","Bell","Smooth","Yellow","Almond","grasses"
"316","Poisonous","Convex","Scaly","White","Pungent","urban"
"317","Edible","Convex","Smooth","Yellow","Almond","woods"
"318","Edible","Convex","Scaly","White","Almond","meadows"
"319","Edible","Convex","Fibrous","White","Anise","woods"
"320","Edible","Flat","Smooth","White","Anise","woods"
"321","Edible","Convex","Scaly","Yellow","Anise","meadows"
"322","Edible","Flat","Fibrous","Yellow","Almond","woods"
"323","Edible","Convex","Smooth","White","Almond","grasses"
"324","Edible","Bell","Scaly","Yellow","Almond","meadows"
"325","Edible","Convex","Scaly","Brown","Anise","paths"
"326","Edible","Bell","Scaly","White","Anise","grasses"
"327","Edible","Convex","Smooth","Yellow","Almond","meadows"
"328","Poisonous","Convex","Scaly","Brown","Pungent","urban"
"329","Edible","Bell","Smooth","Yellow","Anise","grasses"
"330","Edible","Bell","Scaly","White","Almond","grasses"
"331","Poisonous","Convex","Scaly","Brown","Pungent","urban"
"332","Edible","Bell","Smooth","White","Anise","meadows"
"333","Edible","Bell","Scaly","Yellow","Anise","meadows"
"334","Edible","Bell","Scaly","Yellow","Almond","grasses"
"335","Edible","Convex","Scaly","White","Anise","grasses"
"336","Edible","Convex","Fibrous","Brown","None","woods"
"337","Edible","Convex","Scaly","Brown","Almond","grasses"
"338","Edible","Bell","Smooth","Yellow","Anise","grasses"
"339","Edible","Convex","Fibrous","Gray","None","urban"
"340","Edible","Convex","Scaly","Brown","Anise","grasses"
"341","Edible","Convex","Smooth","White","Almond","grasses"
"342","Edible","Bell","Scaly","White","Almond","grasses"
"343","Edible","Convex","Smooth","Yellow","Almond","meadows"
"344","Edible","Flat","Fibrous","Yellow","Almond","woods"
"345","Edible","Bell","Scaly","Yellow","Anise","grasses"
"346","Edible","Convex","Fibrous","Brown","None","grasses"
"347","Edible","Convex","Fibrous","Yellow","Anise","woods"
"348","Edible","Convex","Smooth","Yellow","Almond","meadows"
"349","Edible","Flat","Smooth","Gray","None","grasses"
"350","Edible","Convex","Fibrous","Brown","None","urban"
"351","Edible","Flat","Smooth","Gray","None","grasses"
"352","Edible","Flat","Scaly","Brown","Almond","paths"
"353","Edible","Bell","Scaly","White","Almond","grasses"
"354","Edible","Bell","Smooth","Yellow","Almond","meadows"
"355","Edible","Convex","Scaly","Yellow","Anise","paths"
"356","Edible","Sunken","Fibrous","Gray","None","urban"
"357","Edible","Flat","Scaly","Brown","Almond","paths"
"358","Poisonous","Convex","Scaly","Brown","Pungent","urban"
"359","Edible","Convex","Scaly","Yellow","Almond","paths"
"360","Edible","Convex","Scaly","Yellow","Almond","grasses"
"361","Edible","Convex","Fibrous","Brown","None","grasses"
"362","Edible","Convex","Fibrous","Brown","None","grasses"
"363","Edible","Flat","Smooth","Brown","None","grasses"
"364","Edible","Flat","Scaly","Brown","Almond","paths"
"365","Edible","Convex","Smooth","Yellow","Almond","grasses"
"366","Edible","Flat","Fibrous","Brown","None","urban"
"367","Edible","Convex","Scaly","Yellow","Almond","paths"
"368","Edible","Convex","Fibrous","Yellow","Almond","woods"
"369","Edible","Bell","Scaly","Yellow","Almond","grasses"
"370","Edible","Convex","Fibrous","Gray","None","grasses"
"371","Edible","Convex","Scaly","Yellow","Almond","grasses"
"372","Edible","Flat","Scaly","Brown","Anise","grasses"
"373","Edible","Convex","Smooth","Yellow","Almond","meadows"
"374","Edible","Sunken","Fibrous","Brown","None","urban"
"375","Edible","Convex","Smooth","White","Almond","meadows"
"376","Edible","Bell","Smooth","White","Anise","grasses"
"377","Edible","Sunken","Fibrous","Brown","None","urban"
"378","Edible","Bell","Scaly","Yellow","Anise","meadows"
"379","Edible","Convex","Scaly","Yellow","Anise","grasses"
"380","Edible","Bell","Scaly","Yellow","Almond","grasses"
"381","Poisonous","Convex","Scaly","Brown","Pungent","urban"
"382","Edible","Convex","Smooth","White","None","grasses"
"383","Edible","Convex","Scaly","White","Almond","meadows"
"384","Edible","Bell","Smooth","White","Almond","grasses"
"385","Edible","Convex","Fibrous","Brown","None","woods"
"386","Poisonous","Convex","Smooth","Brown","Pungent","urban"
"387","Edible","Convex","Scaly","Brown","Anise","paths"
"388","Edible","Convex","Smooth","Brown","None","grasses"
"389","Edible","Bell","Scaly","Yellow","Anise","meadows"
"390","Edible","Convex","Smooth","Yellow","Almond","meadows"
"391","Edible","Bell","Smooth","Yellow","Almond","meadows"
"392","Edible","Convex","Smooth","Yellow","Anise","meadows"
"393","Edible","Bell","Scaly","White","Almond","grasses"
"394","Edible","Convex","Fibrous","Gray","None","urban"
"395","Edible","Flat","Scaly","Brown","Almond","grasses"
"396","Edible","Convex","Fibrous","Gray","None","grasses"
"397","Edible","Convex","Smooth","White","Anise","meadows"
"398","Edible","Convex","Scaly","Yellow","Anise","meadows"
"399","Edible","Convex","Fibrous","Gray","None","urban"
"400","Poisonous","Convex","Smooth","Brown","Pungent","urban"
"401","Edible","Bell","Scaly","White","Anise","grasses"
"402","Edible","Bell","Scaly","White","Almond","meadows"
"403","Poisonous","Convex","Scaly","Brown","Pungent","urban"
"404","Edible","Bell","Smooth","Yellow","Anise","meadows"
"405","Edible","Convex","Smooth","White","Anise","meadows"
"406","Edible","Convex","Scaly","Yellow","Anise","meadows"
"407","Edible","Bell","Scaly","Yellow","Anise","grasses"
"408","Edible","Convex","Smooth","White","Almond","meadows"
"409","Edible","Convex","Smooth","White","Almond","grasses"
"410","Edible","Convex","Scaly","Brown","Anise","paths"
"411","Edible","Convex","Smooth","White","Almond","meadows"
"412","Edible","Convex","Smooth","Brown","None","grasses"
"413","Edible","Convex","Scaly","Brown","Anise","paths"
"414","Edible","Convex","Scaly","Yellow","Anise","grasses"
"415","Poisonous","Convex","Scaly","Brown","Pungent","grasses"
"416","Edible","Bell","Scaly","Yellow","Almond","grasses"
"417","Edible","Convex","Fibrous","White","Anise","woods"
"418","Poisonous","Convex","Smooth","Brown","Pungent","urban"
"419","Edible","Convex","Scaly","Yellow","Anise","grasses"
"420","Edible","Flat","Fibrous","Gray","None","grasses"
"421","Edible","Convex","Scaly","White","Anise","grasses"
"422","Edible","Bell","Scaly","White","Almond","meadows"
"423","Poisonous","Convex","Scaly","Brown","Pungent","urban"
"424","Edible","Flat","Scaly","Brown","Anise","grasses"
"425","Edible","Convex","Smooth","White","Anise","meadows"
"426","Edible","Convex","Smooth","White","Almond","woods"
"427","Edible","Flat","Scaly","Brown","Almond","paths"
"428","Edible","Bell","Smooth","White","Almond","meadows"
"429","Edible","Convex","Smooth","White","None","grasses"
"430","Edible","Flat","Fibrous","Gray","None","urban"
"431","Edible","Convex","Scaly","White","Almond","grasses"
"432","Edible","Convex","Scaly","Yellow","Anise","grasses"
"433","Edible","Bell","Smooth","Yellow","Anise","grasses"
"434","Edible","Bell","Smooth","Yellow","Anise","grasses"
"435","Edible","Flat","Smooth","White","Anise","woods"
"436","Edible","Bell","Smooth","White","Almond","meadows"
"437","Edible","Convex","Fibrous","Yellow","Almond","woods"
"438","Edible","Convex","Scaly","White","Anise","meadows"
"439","Edible","Bell","Scaly","Yellow","Anise","meadows"
"440","Edible","Convex","Scaly","Brown","Almond","paths"
"441","Edible","Convex","Scaly","White","Anise","meadows"
"442","Edible","Convex","Scaly","White","Anise","meadows"
"443","Edible","Convex","Scaly","Yellow","Almond","paths"
"444","Edible","Convex","Scaly","White","Anise","meadows"
"445","Edible","Convex","Smooth","Yellow","Anise","meadows"
"446","Edible","Convex","Scaly","Brown","Anise","grasses"
"447","Edible","Convex","Smooth","White","Anise","grasses"
"448","Edible","Flat","Scaly","Brown","Anise","grasses"
"449","Edible","Bell","Smooth","White","Anise","meadows"
"450","Edible","Convex","Fibrous","Brown","None","woods"
"451","Edible","Convex","Scaly","White","Anise","meadows"
"452","Edible","Bell","Smooth","White","Anise","grasses"
"453","Edible","Bell","Smooth","Yellow","Anise","meadows"
"454","Edible","Convex","Fibrous","Yellow","Anise","woods"
"455","Edible","Bell","Smooth","White","Anise","meadows"
"456","Edible","Convex","Smooth","Gray","None","grasses"
"457","Edible","Bell","Smooth","White","Almond","grasses"
"458","Edible","Bell","Smooth","Yellow","Anise","meadows"
"459","Edible","Flat","Scaly","Yellow","Almond","paths"
"460","Edible","Flat","Scaly","Brown","Almond","paths"
"461","Edible","Convex","Smooth","White","Almond","meadows"
"462","Edible","Flat","Scaly","Yellow","Anise","grasses"
"463","Edible","Bell","Smooth","White","Almond","grasses"
"464","Edible","Convex","Scaly","Yellow","Almond","meadows"
"465","Edible","Convex","Fibrous","Brown","None","urban"
"466","Edible","Flat","Scaly","Brown","Almond","grasses"
"467","Edible","Convex","Smooth","White","Almond","meadows"
"468","Edible","Convex","Smooth","Yellow","Anise","grasses"
"469","Edible","Bell","Scaly","Yellow","Anise","grasses"
"470","Edible","Flat","Scaly","Yellow","Almond","paths"
"471","Edible","Convex","Scaly","Yellow","Anise","grasses"
"472","Edible","Convex","Scaly","White","Almond","meadows"
"473","Edible","Flat","Fibrous","White","Almond","woods"
"474","Edible","Sunken","Fibrous","Gray","None","urban"
"475","Edible","Flat","Smooth","Yellow","Anise","woods"
"476","Edible","Flat","Fibrous","Gray","None","urban"
"477","Edible","Convex","Fibrous","Brown","None","urban"
"478","Edible","Bell","Scaly","White","Almond","grasses"
"479","Edible","Convex","Smooth","White","Almond","woods"
"480","Edible","Bell","Scaly","Yellow","Anise","meadows"
"481","Edible","Bell","Scaly","Yellow","Almond","meadows"
"482","Edible","Bell","Scaly","Yellow","Anise","grasses"
"483","Edible","Flat","Smooth","White","Anise","woods"
"484","Edible","Flat","Fibrous","Gray","None","urban"
"485","Edible","Flat","Smooth","White","Almond","woods"
"486","Edible","Flat","Scaly","Yellow","Almond","grasses"
"487","Edible","Convex","Scaly","White","Anise","meadows"
"488","Edible","Sunken","Fibrous","Brown","None","urban"
"489","Edible","Convex","Scaly","Brown","Anise","paths"
